androidx/appcompat: {androidx/appcompat, 6a501b12db3e294afa9d321ad6d606a6}
kotlin/collections: {kotlin/collections, 8128dd68a0244def394acb90be1bd072}
com/kunzisoft/encrypt: {com/kunzisoft/encrypt, 9fe7486fa786a050c9425daaf26c36fc}
kotlin: {kotlin, ea679fdc545c0c87233cbccaaca35cee}
kotlin/io: {kotlin/io, 5cdf3e00659f3aee5edf78bbcd99e10a}
org/joda/time: {org/joda/time, 4e562514e3df65d894ab426b923b00ee}
androidx/room: {androidx/room, bb5d049cd9be97ca44025e18153db86c}
com/google/errorprone: {com/google/errorprone, 490aec19a7c612fd9bfafffb9dacde26}
androidx/activity: {androidx/activity, 36b38b1fcc5d644e24689d578dd9dd64}
androidx/profileinstaller: {androidx/profileinstaller, 379cd62f165a5f0d864816d8eb5038dc}
androidx/core: {androidx/core, 3fdab7cfc6d9e7828f29d4416dbc31e3}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, 6d1e1a4b4f175ff6358f70f945be6b5f}
androidx/preference: {androidx/preference, eaa85a057e4028bc1ce643c9ffef9703}
androidx/sqlite/db: {androidx/sqlite/db, b4a98fc82530a4f785e345b40c8522d4}
androidx/lifecycle: {androidx/lifecycle, 894a4d6723a5a82447044520813d419b}
androidx/fragment: {androidx/fragment, 26637bd0111ce49429cafe1d227551be}
androidx/loader: {androidx/loader, 82fc2e03714d644ae8ca6e697b638374}
androidx/vectordrawable: {androidx/vectordrawable, f2e7bd953c3a7458a95a33d9e44cd8dd}
androidx/recyclerview: {androidx/recyclerview, 68ec227893a6673bd1533e5ea673da22}
androidx/viewpager: {androidx/viewpager, 8c8ec96f4a67d65cf707d9f4117bce0a}
com/google/android: {com/google/android, 7535ef275d0d4e34c1ba665bbefbbb05}
androidx/interpolator: {androidx/interpolator, e32effd5aad27dabdd49bfe10025a181}
androidx/autofill: {androidx/autofill, 9fdd17a3cb481db9ea1008e2c6ce6cf5}
androidx/versionedparcelable: {androidx/versionedparcelable, 78c453644274c7281775890406a731de}
org/intellij/lang: {org/intellij/lang, 08fcc9fe620b2a07273a23f0194df8ee}
androidx/constraintlayout/core: {androidx/constraintlayout/core, 7750dc5b09a68eaef2f63fef4270785a}
androidx/coordinatorlayout: {androidx/coordinatorlayout, c9fb1f13858cb721800acb4f76cc101e}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, d1fe78a68274b48bab4aed5d173027ad}
androidx/collection: {androidx/collection, 6a58620c00bb4a620902592580a840d2}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 748291c3a495c2adc8fef91675a303b7}
androidx/sqlite/util: {androidx/sqlite/util, 3e6119397cc758ad6a0cf1a3077e021d}
androidx/transition: {androidx/transition, b7dbb18cebcb794c8dbe666c4f137149}
com/kunzisoft/androidclearchroma: {com/kunzisoft/androidclearchroma, eaf865e22a79aa732ddee23363af17bc}
androidx/arch/core: {androidx/arch/core, dd913f26cf55c642d5012e249ddf4eeb}
androidx/cursoradapter: {androidx/cursoradapter, f70b0bfe455d900d7aa0350915fdc2be}
kotlin/coroutines/jvm: {kotlin/coroutines/jvm, 8f460011ea59255f7b61d71fd382efdb}
androidx/slidingpanelayout: {androidx/slidingpanelayout, a251a99d7b531f15742d79a0ff565bb9}
androidx/multidex: {androidx/multidex, 7a39ef5eee8095fa3006822f083966e2}
androidx/cardview: {androidx/cardview, 20926fe7ad2b681a4e9945c7b5b70ecc}
androidx/drawerlayout: {androidx/drawerlayout, f15903e09d6b233fef6082170270d68e}
androidx/legacy/coreutils: {androidx/legacy/coreutils, da1c5c0e9e4d4de1ee6852a39fa1fee1}
androidx/media: {androidx/media, 2b6b49e160fd0371bea14d04a860945c}
androidx/legacy/preference: {androidx/legacy/preference, a163ddcf7bdbf2ad01dc0fc75affe62e}
org/jetbrains/annotations: {org/jetbrains/annotations, b0a74309ee391d554cae699bd2538bf5}
androidx/emoji2: {androidx/emoji2, cc50822ff71d94bed83c3e7675c0986a}
kotlin/sequences: {kotlin/sequences, 1d6ba92984499a63ea55536bc4c56f4b}
com/getkeepsafe/taptargetview: {com/getkeepsafe/taptargetview, 35d83929b2ec94003bef1e72adee6434}
com/kunzisoft/keepass: {com/kunzisoft/keepass, 40d1873862de48bc56ba922a68174968}
kotlin/text: {kotlin/text, 22560bf306c6cf170ccb590693bbb55b}
kotlinx/android/extensions: {kotlinx/android/extensions, 4af66094d1fb5a08f58d9a640cda241a}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 7a91cafd86adde64e8d105471ccf1560}
com/google/common: {com/google/common, acf7ef943fdeb3cbfed8dd0d8f584731}
kotlin/time: {kotlin/time, f442bd39a73581ee8204ca4f91d72b2e}
kotlin/annotation: {kotlin/annotation, 21df8e441d5d3d9a41990a382884260a}
kotlin/ranges: {kotlin/ranges, b97d5b870d7bb64c5df68182b851ad7e}
androidx/viewpager2: {androidx/viewpager2, 07de0d8b76ed15010b518ec1f6158211}
androidx/legacy/content: {androidx/legacy/content, 07faabcafda309b615198d4b582b9cb3}
androidx/savedstate: {androidx/savedstate, 01de918064242af21d181d572af10987}
androidx/documentfile: {androidx/documentfile, e810807575ee3e5d5a276928548e416c}
androidx/print: {androidx/print, 97082f343ee7d573eccc4e015e6f55a9}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 6ebc77e12e441e27163318a8d404e9ac}
kotlinx/parcelize: {kotlinx/parcelize, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/resourceinspection/annotation: {androidx/resourceinspection/annotation, a4bd91c515d62e517c2896e81b40cc24}
androidx/biometric: {androidx/biometric, f3a2daa4fcf04d18deea0c25bcde5839}
kotlinx/coroutines: {kotlinx/coroutines, bdccd361120682366d13b106626bab3c}
androidx/tracing: {androidx/tracing, 27fbbf7090d2e7afb6da7c9cdfdb966d}
com/igreenwood/loupe: {com/igreenwood/loupe, b169115de07176c0560d08717639cb42}
kotlinx/android/parcel: {kotlinx/android/parcel, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/startup: {androidx/startup, 53d0e3d6f93384a3e10a3ad1f634fc94}
androidx/concurrent/futures: {androidx/concurrent/futures, d63dd281133de44e8c8c836385e4e12e}
androidx/customview: {androidx/customview, 76c1d991b3aff33ca1a753ebe52b03e9}
androidx/window: {androidx/window, 0695cbc483c88156d6b7167da86e4a5b}
androidx/annotation: {androidx/annotation, 89bbdc285a7755ef31c2bd010e40f482}
androidx/dynamicanimation: {androidx/dynamicanimation, 647fb6a9e74089b69a8f9af554e05412}
