p2: {p2, 317e066009b332be5d74fd2a1f601966}
A: {A, 1714efc427acfb942aa75cb0e01849ad}
j: {j, 5d1baa8bd2bd824ba0a3dc53304e7354}
c1: {c1, 355636b48409ceb43f07bd5ce9b26423}
H2: {H2, 6651d70d169ef8400b2addd9008dfac8}
androidx/activity: {androidx/activity, d32248dbf24af52bc839f2e1de907c54}
l1: {l1, 4542c02a328f156a40ea5a5d2a6d5065}
androidx/preference: {androidx/preference, 1e17d7dfda8087c1317a9fc262bbc129}
J2: {J2, 43de1392c4fba336b03106946cab883b}
o0: {o0, c251a6a3af69d09babb309c5ba8cbeb8}
K0: {K0, 645195496ec060cb300e59c8e4bbd9ba}
R0: {R0, 4b793ff7801ad2ae1a92b9904fec0e31}
y0: {y0, 0dbff0c12622692df0e88d0150eeb896}
com/google/android: {com/google/android, b239f9370baa8c3c4431f135db76acb8}
D0: {D0, 8301dd8744e9b2a6df31f97069f922ed}
v2: {v2, 3623192dd4c75d7fe8afdf681cd40299}
H: {H, 2dde28286a7369665f68be03baedeaa9}
z1: {z1, 6f481a6e302e5cd9f3bcbc09a41a3d35}
t2: {t2, b05bad57997974dab53599e2c8f28a3f}
P: {P, 33fd0c1513804235ef181bcecd932db2}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, e7d9e97e18132793282fa9f9cd8d6f12}
r1: {r1, 7ad966b5bf4c88d72eb8995f4003f8cc}
Z0: {Z0, 823c7792b77f6add58ae7d153c63efa1}
A0: {A0, 11ccf0a38d7474e353dbcffdebf60822}
android/window: {android/window, e079f4fb8febf5b63effbb6583d13a90}
O0: {O0, d5c3213d8fa47977291fe0c067a40e1c}
I2: {I2, 858463b999deb120c7f048b7898d4c61}
d0: {d0, e9d6b398cc9a58a93845518e0c55ef04}
b: {b, 41ab326af6cd0368d42fa567a3dd8d1a}
k1: {k1, cff2b2f1eb9cfc29fb347f193aecba64}
k: {k, 4bcaef31efbbbd85bf2ae9140d055f27}
g1: {g1, d8f09329306385c1e0265c23f3051d2e}
c0: {c0, a63abd678bfc0d953c3eba2ee1faca1f}
Z1: {Z1, 30a059febd79ab1e270d8f5540972365}
b2: {b2, d9b60710f50923ddd27ba7b908341f42}
R1: {R1, 13122a7279843fad445fd8c6d8598e8f}
androidx/cardview/widget: {androidx/cardview/widget, e3d7a66ae76912a28a78fdf4be005958}
l2: {l2, b3121b0fadb9e0aa7a8278eeb84e0d54}
V0: {V0, ebdf86c53a4d358d5da22bd18d5bea7b}
Y: {Y, 4ba651430e14b41989fc321f4a4ef91a}
V: {V, 66bb90614939e2c6b7e7528b61245075}
B: {B, cd64b9015f1879028a6cf5322e1adee3}
androidx/savedstate: {androidx/savedstate, 2c8cf68ef3323adaf6670e76ed81dc0a}
androidx/core/graphics: {androidx/core/graphics, 8b8e9077ecdd64e4682119302f327d96}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 7d70fdfff45ca9bb21a9ff4007a01ba7}
h2: {h2, df1d20d8818ba3182ef4dd6d8d556008}
I: {I, 5cea9ee2d2a20fd3658a5fd94c70a41b}
r: {r, 67eb47a6c8be3262f81a2e3bd9970d79}
androidx/documentfile/provider: {androidx/documentfile/provider, 8769630ec8bd5f0a36d270f273a2c664}
androidx/startup: {androidx/startup, 08c5775df7901f348750f14f4def3be5}
L0: {L0, ac40e8ea988d554b5f7513cb940ba0a3}
androidx/navigation/fragment: {androidx/navigation/fragment, 64b33059d948bb877faf2398e4332d36}
z: {z, 8d1d26fb67d4da3add32bfa315ef7590}
d1: {d1, 9f29662572d2dd1fa66b588ee09721d7}
Y1: {Y1, 465adad6aecc01a0f54940e756f573ac}
k0: {k0, 4494558caa17bfb630b166d1126b190e}
g0: {g0, 70ec80dfdb1cf1a0a5c85811e444560d}
androidx/viewpager2/adapter: {androidx/viewpager2/adapter, 359d35646220e525dde5ce0f5407d17c}
J0: {J0, c62f498fc7ba283a2451c62231bd9d1f}
x0: {x0, e51749f95fd815b09d40e4f7273e930a}
androidx/room: {androidx/room, 069cdb710880d9bf5d0584e1f0bc49a5}
w2: {w2, 65e8cad8b7925f0383871d618d3562da}
q2: {q2, a32f8a1999ee3652584272261708dd2f}
U1: {U1, d64fa259d870cf476dfe0b3a73322eb7}
R: {R, 4df3c0e3e1584d3fc7187d00666d8b1a}
androidx/core/widget: {androidx/core/widget, 0aedf72cb5b9cde9da5b95ccf93c666d}
X: {X, c3e30fcc764687720060b4055e191288}
o2: {o2, 8204ab992518525b3a448c173d73efb1}
i2: {i2, 4e3c2e2696060d9fe245d067f532ba37}
androidx/lifecycle: {androidx/lifecycle, 0e4fd2d4abef00abbc2b419d8d2bd402}
K2: {K2, 0431748f843cbdf07290bc3de5de2932}
androidx/appcompat/view: {androidx/appcompat/view, ee91a6d34b61beb114d00ea1b7315dfc}
C: {C, dacfc9ff2780ab2d88bf840006ca218f}
t: {t, 144db2b4664e2f3e5f76953af961a092}
g2: {g2, 274e3671f6a7b5b03b58ccd1c054daa8}
V1: {V1, 0a0f0d55c14d295c5f8d044eef6d675b}
J: {J, 60d2b53235a10bd7c5c4127f10b9e5c8}
C1: {C1, be01269c4915c7a0bf5a6113c73034da}
u2: {u2, eb07f0cb4f1d9771b3e5093515cd84be}
s: {s, 115f9c275e57826d39427a88fefd99de}
android/view: {android/view, e079f4fb8febf5b63effbb6583d13a90}
androidx/swiperefreshlayout/widget: {androidx/swiperefreshlayout/widget, 232d8a476077033220643d8c84d66b74}
n2: {n2, 18bc6b2a0e797e110e7de80df388b458}
L1: {L1, 82e28ff8f8a69c8e397197684617ff2c}
Q: {Q, f847901d4598ab3cb80101f0bb9d4973}
l: {l, 265360899ea4ed0cc6d2b100dd9fe836}
I1: {I1, 97e3879d730aa7decde54317bf259840}
Y0: {Y0, 2e7aed9c59dcfc79495e464a8447079a}
q1: {q1, 674b3f886584bdb4995d5a0441d1542c}
U0: {U0, 37001f7065c3133dc6eed0fec2556e27}
x1: {x1, dfeb8c23a20731e9fbcfbf28b235fe78}
androidx/media: {androidx/media, 0091dfecadba6e798005d7b419d9d871}
n0: {n0, fee2861ac68882d1c272fd9220ea9703}
S: {S, fa91772ab70bcdd83509b60e4bdc13f7}
D: {D, 305a2fe46345e3eea5ba76e84def979e}
b0: {b0, 3f2ec35b087553d86f48b7dc52110b0b}
m2: {m2, 1e70960fd92f93ed2513fc766ad9616e}
L: {L, 23b0fc4c4ff64cda9ec5760d935023a1}
android/app: {android/app, c4e9eeb25e17c46354752ac4239a9772}
F2: {F2, c99d1baa98eba7d0b1035bc6cdd3c0aa}
androidx/emoji2/text: {androidx/emoji2/text, 72ef53e220b480430bfbaae4fc7a4e99}
J1: {J1, 2bab8d34df6003fcbe39afe3d18226fb}
D2: {D2, 5c18ed7788c14eeb98b0a66aed22af6a}
c2: {c2, 121309f7e821b9bf0822aa4211b0ddfc}
u: {u, 50886289d13b0ec1cf8d1147c6a4dd5f}
Q1: {Q1, bddd707880c6603296937070cd585573}
androidx/fragment/app: {androidx/fragment/app, 5294030130111404a094b50fa58555bf}
G1: {G1, aab023d99dde32dda5b622fb4280f498}
C0: {C0, e0fc2986c3da3cfc83fced6482152a68}
j0: {j0, 43f97a9fc0c34b6b619c9944fd93b6c8}
B2: {B2, 72945cf125835e621fa96996707c160e}
u1: {u1, 9ed787c5da5342e07630fbc24df66f0d}
e: {e, c09c568cfb3cea7ba94da8ad8608e74b}
l0: {l0, b6e30cada7c83e5224ec56202f2273a8}
L2: {L2, aebf6eb2e52f29095f8e9d9c16dbc65d}
k2: {k2, 28bc356eaa5a0823aae57607aed9c730}
m: {m, e78f54e6aea7ec7d0252a16bc13aa4c7}
f2: {f2, d293f9dd17b0847dc7218649ae83a1f5}
v1: {v1, 05f53a1f1c8a78bf68f7d2c3fac72be8}
b1: {b1, 499b1646ba510c6befac165efdcbeb1f}
f0: {f0, f051d7a789949fa787f0985fab623093}
androidx/core/app: {androidx/core/app, ce84b6a9787c9e0e8c1c6ba8fe27bc1c}
androidx/profileinstaller: {androidx/profileinstaller, 4910a6b390a6fe8e784d6e1ab7118c37}
I0: {I0, 8c2d231bd19337ad812b3a44b5bc5284}
E: {E, dab3502b97a6cd923d9a8e5d7b705f3b}
z2: {z2, 936f16434565e7a23b317212b28cd282}
androidx/appcompat/widget: {androidx/appcompat/widget, aa762a9c2d53f2ca378a62763c85ce3c}
m1: {m1, 2809de677e8d6edb9b686879fa64a17a}
M: {M, 53db96a87469d5dfe12bb94eb8bed421}
x2: {x2, 29ef5b87252321561a119fe294cf2dad}
v: {v, b20775dcfb19d0d519371bffffab7a5f}
a2: {a2, d9b60710f50923ddd27ba7b908341f42}
G: {G, a5d0babb368c9fa668e11a87a51c04bb}
G0: {G0, 9d6eff3db7b71dd76bb2b16c9852c3a5}
w0: {w0, 9b82085092e89e59f61f92818735e8ba}
u0: {u0, 28bde5f920c7a338b06aa6cfea2e920b}
X0: {X0, fca77c066dedeeac3ef9e1d0728e4dc9}
i1: {i1, 500ed7f7dffecd38f1e652d0c85a1b3c}
f: {f, 85d250c6c1c25dff6138bb20285d0d5f}
T1: {T1, 732499f3e2a4f8536f3360a740b8a090}
n: {n, dc0e5ae4c881984d3aee43d3ec03d20b}
s1: {s1, 30d4f7e6cf35094df47102263d476c96}
e2: {e2, 99bc1326bc2722e74f394811d7d87c3e}
j1: {j1, fc553e5ba0a6fc6a0c011ee298e117c4}
T: {T, f877579e021222462213878fd8a96fab}
N0: {N0, fda4d766f0d5ee6924f385c43ee07e9f}
K: {K, 19c4f0f738a2e28ff6d59a2745090897}
F: {F, 36abf5e67f40ec0ff34fde40d99dab99}
T0: {T0, fc4878a0fe861775d3b18bc3df3b51ba}
o: {o, f1a7ce1b3a1ffca3dfb57e7b8c8cf649}
f1: {f1, 123c38b127a4756a8e987f07dca81a0f}
a1: {a1, efeec0b4b7c869926b8c502b1ffb7fa3}
N: {N, 3ca3c4db42f3e972351957bda976d8b1}
w: {w, 082cc525a805cbf474a117534e014f8d}
S1: {S1, f327a7e06c25283d1c7138443e72fe84}
E2: {E2, 925ab924fb23798965ce3d865983f7dd}
y: {y, b1c52fb393bba272a29cb405c0ad8746}
X1: {X1, c1359effee6bef9b1e552ae8cbe126a5}
g: {g, c3fca5feb023f0a8a4e2be852a9391d1}
B0: {B0, e645a6e933b64aa3749f12e3eda20cfc}
i0: {i0, f564ce5b733140a70d060aaaa5c03908}
org/koin/androidx: {org/koin/androidx, d64d2c0371f638a548a9f98931735d5c}
androidx/appcompat/app: {androidx/appcompat/app, 3f3ab22244848a0c2a85497200846a4a}
s0: {s0, 099e001aef24c225fd6aa469ed9ae48f}
r2: {r2, 68da1d6ef1b73e882bf09773bb8fc314}
e1: {e1, a9cf1cda8492b14642627c18adb17a30}
C2: {C2, b12b4d4c8ca252f86806775f4177bf3b}
U: {U, ccf84dda00181632c93b89f81c5604a1}
y2: {y2, baee6d31290d601f6f4292263352073b}
Z: {Z, b75ba01eaeb94b0b70611e251d94335f}
N1: {N1, 118a0d5c3cc6b9ca475dbb66a6bec98e}
h: {h, 812c6c311024a83e7fe3b6703ea8cb4d}
p0: {p0, 63b1f1af53a368c3120959a44ca86362}
p: {p, c62d7bffa3ceeb4d39f10c43bf0cdbdc}
com/afollestad/materialdialogs: {com/afollestad/materialdialogs, 3b2d0286facee98c9cd5d7c17bc06aa0}
W1: {W1, 5fc1967d8a7773d302663c84e457443f}
S0: {S0, 4496e924f96d14ff9709f9d869403009}
z0: {z0, 4b59ad9a379a1b5d5a0ae9f2e8657e48}
a0: {a0, f3482296fc281cb3158a753f52c434a5}
h0: {h0, 2f3772a870e023cf3ff7026d9e72a264}
E1: {E1, ca91e1cbc627e477cb64ed80477160eb}
androidx/coordinatorlayout/widget: {androidx/coordinatorlayout/widget, d944cd2eaac983ccebed8c94383bfda1}
B1: {B1, 3286a688d4987762b94bf751f8e5b050}
F0: {F0, d7954ccb43a4c3fb4f0d94ed000c7960}
m0: {m0, ed803f135a13e41c80485504041d5608}
t0: {t0, c4db6f508f4d02584fa2b274d4826073}
com/lolo/io: {com/lolo/io, 84256f5aa46701f68815d1b95585845f}
P0: {P0, 5d836e1f254f2969c53a18548c7ad249}
e0: {e0, 2d76c1504225a2af51953e6430c110e9}
com/google/gson: {com/google/gson, 90f5270dcd38527169cc908cb331b107}
M1: {M1, 62585aad6e6485f791fe074511c7af12}
H0: {H0, 6dd6b3d12d1b7c9ec2808fc46146df99}
G2: {G2, 2e859b12333e51e7dc1f440a61cb6dff}
M0: {M0, 74551fea8d90d7b0937859800ac2ddcf}
i: {i, 4a8b034f7b94a055c3d8eac3456ffab6}
p1: {p1, 9b9a67c30f4730f42b4a8ce0afb4707e}
s2: {s2, 01b766750d348e435acd5342b9639a7c}
W0: {W0, 58a5bef283a1b529a7f6b3194254914a}
E0: {E0, f8fc872dcf4d11a7ebd7608061046e35}
q: {q, 91e932e00b74c805433edcc436147741}
h1: {h1, 4192ad6b15b34970165bd16647f6ff93}
c: {c, 465575bb1d25d51405ca485ba5266559}
y1: {y1, e42e57441f11bfcb1a04411936e5d01f}
K1: {K1, 05879b8f759f743dfd12a0881cce8295}
a: {a, 8a3f4d51a23835de082649f90f7e1943}
t1: {t1, bf1e99297656107ff82dc8f8a24037b2}
androidx/versionedparcelable: {androidx/versionedparcelable, 9d566c8bb72bf85d0f4cf8e4e857ebc9}
P1: {P1, 79f71a66c2021dedc4885b9177969dbd}
O: {O, 5ff902e0633cf15227158628a8ad1896}
F1: {F1, 173b9f7a539d398de0ac586bbe58cf0c}
A1: {A1, d3c201dbd2cf71f6b0f925c9d8b59a6a}
w1: {w1, e6163f4450907aefb7c75a3de975b882}
H1: {H1, 635185a4e849523f1b8c8808620e6e42}
W: {W, 7e43c0e6bb8d9fb03f27645dcc3e959c}
androidx/recyclerview/widget: {androidx/recyclerview/widget, e95d45b927571584cd6c73262053218d}
x: {x, 7ab61e383cf6e39943ca0c3fab771c4a}
O1: {O1, 9edf1e4489eb11f0e2ad845f0d8a4d59}
r0: {r0, 0680b50d4b0167e2d4a8694f1f380d1e}
androidx/drawerlayout/widget: {androidx/drawerlayout/widget, ca8a0f5efb69f47a67e70cf41d54521a}
