androidx/appcompat: {androidx/appcompat, 043b1b12b95b317eab06e5dd08ddfe63}
coil: {coil, 57fd80524512decd6927d36de755c737}
retrofit2/http: {retrofit2/http, 084c6c1a83e4f48381cdfa6517fbf60b}
coil/fetch: {coil/fetch, 8362cf641244d1657dbeade35c8ff090}
kotlin/internal: {kotlin/internal, 03f86ec83f4e74dc3df5fb4ef24a40fc}
androidx/activity: {androidx/activity, 762c5b4ced8062effe6dac4379d73253}
kotlin/sequences: {kotlin/sequences, b87e5a0e2bf22f656a0d0037a88fb521}
androidx/compose/foundation: {androidx/compose/foundation, 73f1d93cc81157469e06eb611a750ee9}
androidx/preference: {androidx/preference, 9dba1101b23b8ac8639d2766823b1b0e}
kotlinx/serialization: {kotlinx/serialization, 5ef47856c1de0ca4e0004b0e6f970913}
kotlin/math: {kotlin/math, 5829d5a3e5b3faaf2e7d9e3d4beb2a58}
androidx/compose/runtime: {androidx/compose/runtime, 0fbc1e021d7d0d89e7a125c548168b0e}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 014afaedc764e66ca24819f3165a4a19}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, acd1d2d6846b666254c5093a0bd04ea3}
kotlin/random: {kotlin/random, ef176d54bd21f617e5856b8151cf5a6b}
coil/map: {coil/map, a4a21e440d783baef05d2993da7d6d27}
io/reactivex/rxjava3: {io/reactivex/rxjava3, fc8e6fb46beb4cb3fcbd6d54cf906a5c}
androidx/cardview/widget: {androidx/cardview/widget, dee93b6dd8dcd666852ab7189e45aa81}
com/topjohnwu/superuser: {com/topjohnwu/superuser, 5b9418f60692f1925dbd23d6b494a697}
com/google/common: {com/google/common, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/savedstate: {androidx/savedstate, 848776cdadd78465489935f00bd4d0a7}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 5dced6b4c9072a5b77ae0d193018439a}
kotlinx/coroutines: {kotlinx/coroutines, 3a9fdc944b8492141d65cfe0faa925cc}
com/anggrayudi/storage: {com/anggrayudi/storage, db11c44058f32ba7697505ce0e451a07}
androidx/documentfile/provider: {androidx/documentfile/provider, 1bc30248672825e1f832633006b8f97c}
androidx/startup: {androidx/startup, 596fc2b8023a5043f9e9cf35d2cac646}
coil/intercept: {coil/intercept, bd898d3e900f1ec25f79c73c457f0740}
androidx/compose/ui: {androidx/compose/ui, a802091f2d3d238f7d8dd2c85b24518a}
androidx/loader/app: {androidx/loader/app, 316026cb82e76817293b215ceee18534}
coil/drawable: {coil/drawable, 775390cc32c419411b09412026cce22c}
androidx/room: {androidx/room, c0499595227dfd631aecd955af75e842}
okhttp3/internal/http: {[okhttp3/internal/http, okhttp3/internal/connection, okhttp3/internal/concurrent, ], a66cc02612ad653629c0c964320629c2}
coil/compose: {coil/compose, 52be591e1abc35c8c0abdf8484e8007e}
androidx/sqlite/db: {androidx/sqlite/db, 450a7b176a29a5b84c85391fb2f43af1}
