androidx/appcompat: {androidx/appcompat, cd780a4fd116190bd763e7d6aa1784d7}
kotlin/experimental: {kotlin/experimental, 182585c3458d700187699e2ae5989a66}
retrofit2/http: {retrofit2/http, 084c6c1a83e4f48381cdfa6517fbf60b}
kotlin/internal: {kotlin/internal, 0b6891b48f9dc285392fb66d678eddfc}
androidx/activity: {androidx/activity, d07a94300a22071f3e2f61344e851c08}
kotlin/sequences: {kotlin/sequences, 71f64a9b9cc06e19a0d785eecf563625}
kotlin/annotation: {kotlin/annotation, 9c84b6b379832b459364b2001ca18a6a}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, 416fc851cce054a5445f13b7d7d74f2d}
androidx/vectordrawable: {androidx/vectordrawable, 62a40362fb1b0efbb8d0d7011b6754a4}
kotlin/math: {kotlin/math, 2e4254faee66d53bb84b10ab3d0543ca}
androidx/constraintlayout/core: {androidx/constraintlayout/core, 72f7c4ac58e1494bb886c424b8854d5b}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 1b94a8a1bb313b7e779c92fb8abfd2c0}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 72b653815fd73993bccacfa49d1befb4}
kotlin/random: {kotlin/random, 23db6ca9a14484c34b31fc9a53e3f518}
kotlin/streams/jdk8: {kotlin/streams/jdk8, cfc6903569ed97112fde3772985cb7b4}
androidx/cardview: {androidx/cardview, 74ebf48089f5668f00fd35daf374fb0a}
org/jetbrains/annotations: {org/jetbrains/annotations, b5ec2ecc3d568c9ea13d2c8e6b8ad1e4}
com/google/common: {com/google/common, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/savedstate: {androidx/savedstate, 3b083eb9dc2d2c39c439fc3878d004e4}
com/arthenica/mobileffmpeg: {com/arthenica/mobileffmpeg, a7bd2335cc32e1a8407669eaf631705d}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 0f4fab2b1f6d76b10026b39c31488fb2}
kotlinx/coroutines: {kotlinx/coroutines, e038df025026a16d52c41837fff4f530}
uk/co/samuelwall: {uk/co/samuelwall, a97c6bea0e4db5797197ef1244433235}
com/manimarank/spell4wiki: {com/manimarank/spell4wiki, da86f4b4223d9c59089589a4be25587d}
androidx/annotation: {androidx/annotation, b470f029a9bf7713689ba7283fa8e794}
androidx/room: {androidx/room, 039a7c221634a87a1953b6b732a7134a}
okhttp3/internal/http: {[okhttp3/internal/http, okhttp3/internal/connection, okhttp3/internal/ws, ], 67a26166ec34788b53719211d202fbec}
br/com/simplepass: {br/com/simplepass, 6045d3cbe19a6e61dda59b8f8450b9ae}
androidx/sqlite/db: {androidx/sqlite/db, 694785e83d4d051f10cd8d0af7278a2a}
androidx/lifecycle: {androidx/lifecycle, 7466fd0c7a84ac3207a3c876a87bda84}
kotlin/reflect: {kotlin/reflect, 78db7eb6172561453bae2dd6dcd3ec48}
androidx/legacy/app: {androidx/legacy/app, 062cdfa6acbd2876b4c02bb6b6404f04}
androidx/versionedparcelable: {androidx/versionedparcelable, 2271646c79843cd2bb8612a7d013d075}
okhttp3: {okhttp3, d119e2236d1e6b3b1247e0ead7873756}
androidx/core: {androidx/core, 719eab13f87e8c1bc0723be6596565a5}
androidx/collection: {androidx/collection, 61492551ebb496236d815c70495da17e}
androidx/transition: {androidx/transition, f345716f2f7937e3cc6d578086fda1d6}
androidx/asynclayoutinflater: {androidx/asynclayoutinflater, 0520e84f7ceaa9763ff257c57077e11f}
androidx/cursoradapter: {androidx/cursoradapter, 383d520a11b62a6e28bfcf6810337e95}
androidx/multidex: {androidx/multidex, 903f2bd691859506bb806c968dd4e463}
com/airbnb/lottie: {com/airbnb/lottie, 5e8feb758e84986315b8c5ec4a216b0b}
androidx/legacy/widget: {androidx/legacy/widget, 82049910e9994fb88dab5c38292b7abd}
com/google/android: {com/google/android, 853ddeb82e2db6f94229360be85af0e9}
kotlin/jdk7: {kotlin/jdk7, 83767bb79fa0044ca1efb24a1496ff37}
androidx/documentfile: {androidx/documentfile, e22976f96cd13bde836300f702c8fc60}
com/franmontiel/persistentcookiejar: {com/franmontiel/persistentcookiejar, b649849732fb72466b6315c9b4201422}
androidx/recyclerview: {androidx/recyclerview, 2787003a55c1bb3452fb694d503169ad}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, be7b95b5e936d11ecd049cd3794356cb}
kotlin/jvm: {kotlin/jvm, 3d6e3acba485068a39d8461d50b83c40}
okhttp3/internal/cache: {[okhttp3/internal/io, okhttp3/internal/cache, ], 48c9846b6f5635421fb848dc61fb48aa}
kotlin/io: {kotlin/io, bb95ae3e6d26faf966da23e7660d9bb1}
androidx/loader: {androidx/loader, aa967ac842bb064837420613cea0024a}
androidx/interpolator: {androidx/interpolator, 9520954530ce7215903ebf692e2215c5}
androidx/coordinatorlayout: {androidx/coordinatorlayout, ebb6d7c9ea7d35939f1722602fc018cf}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, 3af32e239c2835ac2bd0c7386fe79949}
androidx/slidingpanelayout: {androidx/slidingpanelayout, 8528ad3d434333164336d3f6f45bd5ec}
androidx/drawerlayout: {androidx/drawerlayout, 95657cc3208db16287281d89b7394dfe}
androidx/legacy/coreui: {androidx/legacy/coreui, e97521e81a9f1d37da0597160bf5ab00}
androidx/viewpager: {androidx/viewpager, 5c6a428df6532f6761d17e9f5809e324}
androidx/exifinterface: {androidx/exifinterface, 1eb08836120f33b1300e44ededc8a0a6}
kotlinx/android/extensions: {kotlinx/android/extensions, 39e7fa8342d8a0a13a4b676b8c90cc42}
