androidx/appcompat: {androidx/appcompat, 5bd61fb0405e8efba279d5e285854cb5}
androidx/viewpager2/adapter: {androidx/viewpager2/adapter, 0882bfe7904e328bfe66192e77050659}
com/mindprod/ledatastream: {com/mindprod/ledatastream, 37d51dfc171b37e60e4b606348aee251}
androidx/browser/browseractions: {androidx/browser/browseractions, 3a683c9ce8ce141ff2dc7a90ad57e143}
com/mikepenz/materialize: {com/mikepenz/materialize, 090f55adc0cfec81531608aebdcade82}
com/dd/processbutton: {com/dd/processbutton, 74811a654fd6c201ffbbc20a910b4d2d}
androidx/activity: {androidx/activity, 6d49ee832728d0e2f66171cbe29b11bc}
org/bouncycastle/util: {[org/bouncycastle/util, org/bouncycastle/jcajce, org/bouncycastle/jce, org/bouncycastle/math, org/bouncycastle/crypto, org/bouncycastle/asn1, org/bouncycastle/x509, ], 1a5cf96ec6f8f8f8205e310e8d94e708}
androidx/customview/widget: {androidx/customview/widget, 71ab6bff6899061929309038b944f771}
com/owncloud/android: {com/owncloud/android, 9585fffcb899bd89b037c035aa03e756}
androidx/coordinatorlayout: {androidx/coordinatorlayout, b0f8de8f60a2c25764321b01ee38854d}
androidx/preference: {androidx/preference, 27c3c89fbf8a022d5fa192fc6d441808}
com/mikepenz/materialdrawer: {com/mikepenz/materialdrawer, 1e389fb0e547ead363f3ff1938f556b6}
de/greenrobot/event: {de/greenrobot/event, 0ebeb58c88b0c30d8d8dfe2fdac23b2e}
androidx/lifecycle: {androidx/lifecycle, d829e1c6dafd7c7dfd0ad5b3bdbd32b1}
androidx/fragment: {androidx/fragment, 67ab2d449ccaeec7c18acc4eed63b4b6}
ch/qos/logback: {ch/qos/logback, 8ccf8403338625e28b9303c44b4ea91b}
com/mendhak/gpslogger: {com/mendhak/gpslogger, d67ae862d219107aa40aae157245a741}
androidx/cursoradapter/widget: {androidx/cursoradapter/widget, 86968f0cc3982deb80e9273cf0ccf037}
com/google/android: {com/google/android, 38f707e0047d68e633e9d8f01d196317}
brut/androlib/res: {brut/androlib/res, 48e6b226c6320f9244af9b39d846a03e}
androidx/versionedparcelable: {androidx/versionedparcelable, a30de75d6f97dba1417a468bb6610693}
com/ms/square: {com/ms/square, 4040592378f530bf6339cd16a803e942}
okhttp3: {okhttp3, 14f98dcbfb0a58150a38449775917f47}
androidx/constraintlayout/core: {androidx/constraintlayout/core, 41f9eb139600a0f1ea806151d98ad992}
androidx/core: {androidx/core, f7c268b5906744cde3bf9e838516752d}
okhttp3/internal/cache: {[okhttp3/internal/io, okhttp3/internal/cache, ], 438b86d67684db94f94fa4d8bc255ae1}
androidx/collection: {androidx/collection, bfa303a1e1b6002144a6599b5b7602d4}
androidx/transition: {androidx/transition, cdc5336fde9d3c07c76196a58e1ba74f}
net/openid/appauth: {net/openid/appauth, 8a00a2d94c75fe93b9bd03acd57554d5}
androidx/interpolator/view: {androidx/interpolator/view, ee54aef26025686b20793115ba6db979}
org/apache/jackrabbit: {org/apache/jackrabbit, 29b47268bae9e867d8f74dbd52cecda1}
com/commonsware/cwac: {com/commonsware/cwac, b5777b13771ed62ee0e4ea6c2726c4e6}
com/amulyakhare/textdrawable: {com/amulyakhare/textdrawable, 4824e5f89928b4132d23e6feba043e00}
androidx/cardview: {androidx/cardview, 63cd6fc50802aaf7f29220c2d3665ba5}
org/slf4j: {org/slf4j, 1a727c522528febd4325602d8e1b5e90}
androidx/media: {androidx/media, d18cc192f97e103b8462dde64497a4e4}
androidx/browser/customtabs: {androidx/browser/customtabs, e12e3ab388b1fa86d5cb3f14d48444d7}
com/fasterxml/jackson: {com/fasterxml/jackson, d372c904e90438558ee7d0af108624ea}
com/mikepenz/iconics: {com/mikepenz/iconics, 4c0b54416e8e2756863f01187a85e6c8}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 113821dbcfd998e3a3b8f2891fb44e36}
androidx/arch/core: {androidx/arch/core, e670af69d020d96ed5403022b3ed85ef}
com/codekidlabs/storagechooser: {com/codekidlabs/storagechooser, 9d799ae2ce9bdac31d8552cd459de988}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, 0b413ff09c87fe3ef1144c051bd9eda2}
androidx/savedstate: {androidx/savedstate, b514f181a8627d046c247a1209cb2e98}
androidx/customview/view: {androidx/customview/view, c3b3beb9393315adfa34bad026d4a89d}
org/apache/commons: {org/apache/commons, a61a49f36a8b934b0b2584b301d5233f}
android/support/customtabs: {android/support/customtabs, 6d9788195b09791fbb29688ed16366ec}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, c7484eb70e4b2eeac9b009c6f53610fe}
com/jcraft/jsch: {com/jcraft/jsch, 4a912bdebf516474a79b6c4bc9a360a8}
com/birbit/android: {com/birbit/android, 0b9d84d5df7375dca87d69f907e929a2}
brut/util: {brut/util, a64dbb4e9c4baba862daa2695e97a553}
okhttp3/internal: {okhttp3/internal, dc8381e8c2279fba86f77a5ab282f317}
androidx/tracing: {androidx/tracing, 51ae78ed779db0d7975c162bad136cbf}
eltos/simpledialogfragment: {eltos/simpledialogfragment, ee31cc59d47ea6f6a8b263f3dc726365}
androidx/recyclerview: {androidx/recyclerview, 864795564f86f3e95fdb11b5abcdc184}
com/dropbox/core: {com/dropbox/core, a9b3ef874f92eb43bf3e1eb776b49f3f}
com/alimuzaffar/lib: {com/alimuzaffar/lib, 9cd5c29b9383d93db664531809a560aa}
okio: {okio, ecd4b4ec057a0dabbd0e6a81cae97064}
org/bouncycastle/pqc: {[org/bouncycastle/pqc, org/bouncycastle/crypto, org/bouncycastle/util, org/bouncycastle/math, org/bouncycastle/asn1, ], 46a963e6eb6a3b908e0d333bd9d66572}
androidx/drawerlayout/widget: {androidx/drawerlayout/widget, bc0fde5d4d81c2243be2ef258317a562}
androidx/loader/app: {androidx/loader/app, 3d54e00d2f51c28a85b6bd60ed677889}
