b/y: {b/y, 50b24fa511a8c98e447c89e4f7208ab1}
g/a/a: {g/a/a, 77480ec22f5e1779ac097474536ebcea}
androidx/viewpager2/adapter: {androidx/viewpager2/adapter, 359d35646220e525dde5ce0f5407d17c}
com/anysoftkeyboard: {com/anysoftkeyboard, 05eb9c5f8ebb11c13dd1b4f17f2ef6f8}
e/a: {e/a, 58c42f89536c020e3b5cc863b231b9bd}
b/d/a: {b/d/a, f9ceb0e5677c1ec94ddcac5afd9adec3}
net/evendanan/pixel: {net/evendanan/pixel, 5f0933c16f8520b31ed4499339f8522f}
androidx/activity: {androidx/activity, 27d90d0ad483237808d28a8053643e7a}
b/h/a: {b/h/a, 2a47a0f0eeeff30f73e7ea563756ac24}
c/b: {c/b, 8b294ff40737a57a98637fa4912de291}
androidx/core/widget: {androidx/core/widget, 8fbd4dca0d424a38dc4acde1e1f7c634}
androidx/preference: {androidx/preference, d2735f0ee6e528a922f0dd96732f1a15}
androidx/appcompat/view: {androidx/appcompat/view, 2b91bc3f39b2b12b9d7185afced67975}
androidx/appcompat/widget: {androidx/appcompat/widget, 3f2f3d909cd7326fcf5bde1ffd0c1b6c}
androidx/lifecycle: {androidx/lifecycle, e7706c393389f15dd951c08aa836144a}
b/c: {b/c, 5a9fc69ae4c1b7358164cad0a432cbde}
b/g: {b/g, 7520df7ff4518b8f411f5fe4093a5ca9}
c/a/a: {c/a/a, 145131f3b49451585e242264d44cb927}
androidx/coordinatorlayout/widget: {androidx/coordinatorlayout/widget, 9d8c22da877c8448c402643e056ce24c}
b/l/b: {b/l/b, 3a3b9b5e1a935a28b1e9242d7b345cab}
b/s/a: {b/s/a, fd01930657120b94049efa07fbb6b4b5}
com/google/android: {com/google/android, aaa43f7d70465d74f1adf2d09a2dadcf}
c/f/a: {c/f/a, 247bc5c96ff5e596f9765951dabc4aef}
androidx/versionedparcelable: {androidx/versionedparcelable, 532f854255d4fd660f60d13fa46d5df5}
b/w: {b/w, 237eca5ffd22e1b0a9a75dabf178e884}
f/a/b: {f/a/b, 724e0a28d8ce929ed96e152deb4e351f}
b/u: {b/u, 47f6c2bf481860da18a403b7fa24fe6a}
pub/devrel/easypermissions: {pub/devrel/easypermissions, 6824e529d0d89c15110a4509f836f712}
d/a: {d/a, b5b0855923fd6d4b325bf01c5431ae87}
b/x/a: {b/x/a, 542a25933213b06b09da7f384d08f9cc}
net/evendanan/chauffeur: {net/evendanan/chauffeur, 9d21cd8e1c7135cca13a0909c2cb6f48}
com/menny/android: {com/menny/android, 931180d5191a11906d61e99fef3280e2}
b/q: {b/q, e9815bc40d336fddfaf3ebab6aab9ed8}
androidx/fragment/app: {androidx/fragment/app, b4c0907c6304f29d424f9a9068d512cb}
c/g/a: {c/g/a, 9f6abdc352d6572e9714364674bfbe65}
androidx/core/content: {androidx/core/content, 4ab2c0cee0b27b52045b97f44011997c}
androidx/multidex: {androidx/multidex, a387bf8e7600cd507c3384545a63805d}
b/j: {b/j, edef9106b8b90acef7b2da4017e5dbcb}
c/d/a: {c/d/a, 9a38b35cb8011deb0ad0f53f77e81791}
androidx/core/graphics: {androidx/core/graphics, 2b7c6c101a987a566f94f973a995566a}
b/z/a: {b/z/a, 1be41d2354e0efedfa72014e67f1485e}
androidx/media: {androidx/media, a7341deda2617f5b142afb11ebb472b7}
a/a/a: {a/a/a, f5529aad0a5ee08c464a9f57d430ba77}
c/e/a: {c/e/a, 1e6d5ac0d2e9de80123a06e64f9d7fb2}
c/c: {c/c, b809c1e4247165353381831463370373}
androidx/viewpager/widget: {androidx/viewpager/widget, 267fbd7b75b6e5e7a42b3ec83a4422c2}
b/n/a: {b/n/a, 4243a4e08e7144b988fa3574abdaa7e8}
androidx/appcompat/app: {androidx/appcompat/app, 67f4616fd428177688124a540a2376fa}
androidx/cardview/widget: {androidx/cardview/widget, d9de4c31243a29ac8b80223663ebf63d}
com/astuetz: {com/astuetz, 3eec975fdc455b2bd984c79dd7472902}
b/k/a: {b/k/a, 0d7028964d7fde451e4c6ff4ab64ad6d}
b/f: {b/f, 07eead75a8781e06fd5ccfa52b36b7c9}
b/e/a: {b/e/a, dc02286f2227d7ecfa0e57de95238b74}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 0fa511a104609d4b9e49032e502ae133}
androidx/savedstate: {androidx/savedstate, e6e29f881d47ef6283667ba50d04670f}
androidx/core/app: {androidx/core/app, 087b4ca4142b67435dcc3e398eb2487e}
b/o: {b/o, 8a9b517ca5d5add6c2c5ed5fa8a69a70}
b/t: {b/t, eb5605ecaf300d5dc7345c2f6267b331}
b/m: {b/m, 47f6d17ef66ffe928099d861145ac976}
b/r: {b/r, 128370d03aab78d92bea24b5f73be0fb}
androidx/legacy/content: {androidx/legacy/content, 63006038118614eb3131bc2f972f4b35}
b/a: {b/a, 9e09bdd42729ad837b643cf7af18e560}
b/v: {b/v, 8fcc3c063dace25b2154e37890f12de0}
c/h/a: {c/h/a, b9b72476678337d7b12b253cad3faab5}
f/a/a: {f/a/a, 83d0f6dab36dc1e52bb3fb395e999c98}
b/i: {b/i, 37b04165838c32f67198b0614889fd99}
io/reactivex/exceptions: {io/reactivex/exceptions, 6b47b43ba6983d07ff83216087f6344b}
b/h/b: {[b/h/b, b/h/c, ], ab945607910bc2ebf43c5d0fccc08184}
androidx/recyclerview/widget: {androidx/recyclerview/widget, e57dcb49f98ffb6d882ce52cbc7ed09d}
b/p/a: {b/p/a, bafb2969253615850c251063f0e544fc}
com/getkeepsafe/relinker: {com/getkeepsafe/relinker, 14d0637af36a2faa45b62edde825011b}
b/l/a: {b/l/a, 2ad25d3b4675affb164b2ebde1cbc4ca}
androidx/customview/view: {androidx/customview/view, 91207fe21cc68d4f2c23d332af4529be}
androidx/core/os: {androidx/core/os, f9658b3afd5bc8a8db21168d75f7f4ce}
