e/p/a: {e/p/a, c639ef962100615605efe1915f4a9f70}
androidx/viewpager2/adapter: {androidx/viewpager2/adapter, 47901c1b65a9f1dffc3f3f6a95fb8b0f}
e/g: {e/g, 371cc190e4aec0f76b492dbb5f24e7ac}
e/a: {e/a, 71542412318f35d0329f75621626cdaa}
com/github/appintro: {com/github/appintro, 6bffe47491b1e4a3b804f65df7fa5af3}
e/r: {e/r, 39f5897273cc9a5c64a1df1fa31e222a}
androidx/room: {androidx/room, 6d04bdb1f2a42d302da18bc22d7cf3ee}
e/b/a: {e/b/a, e8abe7e3028972618c3172fea729f415}
androidx/activity: {androidx/activity, eb3f16afffcd766b591d14df7fd520e3}
e/j/b: {e/j/b, e626bd7132e687b49dd795f5d1a5a336}
androidx/core/widget: {androidx/core/widget, 75967e2861e4bdd7427a5d6cef7e58b5}
androidx/preference: {androidx/preference, 053e9fbc4db62127890eeab338df9539}
androidx/appcompat/view: {androidx/appcompat/view, ea1bc67ba9770df684b5b09a43d63d32}
androidx/appcompat/widget: {androidx/appcompat/widget, 9f359b13b289fd342dabf0f267b527b9}
androidx/lifecycle: {androidx/lifecycle, 11acbddb2f1721025e8dbd4924222dca}
androidx/navigation: {androidx/navigation, caffe9be82a6c71ebbaa4dd7f59649e8}
androidx/coordinatorlayout/widget: {androidx/coordinatorlayout/widget, d316d0988bee35ac260d00d78845e319}
com/google/android: {com/google/android, 44c2d6158427872a0ea5c3d674bf0d21}
g/q: {g/q, 6081da47121e49b082d5cd4f055cb235}
g/w: {g/w, 11e47df2564b2d02ff168ad1de1b77f9}
androidx/versionedparcelable: {androidx/versionedparcelable, def5cf88a63db55f63fd592fc93dc352}
g/s: {g/s, 12b8b67b81dbfca5a3fe0b1c4ddfef69}
f/a/b: {f/a/b, d6d773a741d6bbfea4ff737fccc38559}
h/a/a: {h/a/a, 094bf5f13549818e57793b6e43736d3e}
g/z: {g/z, 63bb5074289bf6648a8dd01c330f1d73}
e/h: {e/h, 84b9ffed9b41c69ffca81d206a216100}
androidx/appcompat/app: {androidx/appcompat/app, afef0a812f2c5215f26d526cf8e2c795}
e/f/b: {e/f/b, 1cb44296cc381ebc4d2681e35758afea}
com/meteocool: {com/meteocool, 60d8549541820eb6be9909f7d12518c8}
g/u: {g/u, a8a33973ce8725de2124e584473f45db}
i/a: {i/a, 4d42820eaa05a6ecd517d8a3869a6dee}
e/j/a: {e/j/a, c3b3beb9393315adfa34bad026d4a89d}
g/y: {g/y, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/media: {androidx/media, 2143aa0e8a259a672db96290414a856c}
e/f/a: {e/f/a, 3c6a9417c71e0ccf1affa1baafbfea7d}
d/a/a: {d/a/a, 26aad4887ac247a0c69eea01fdb396ed}
e/e/a: {e/e/a, 1e01b3d10f468f6eac2b3b2495696d6e}
e/d: {e/d, 2db000040d4c4412e92976882b55fb82}
androidx/work: {androidx/work, 38af953a4ac7db99fa13447a262bed71}
e/l: {e/l, 049ed6b40b8d38e8e0dc09006b3110ed}
e/s/a: {e/s/a, f2aacd0fbdb9e344ddea68a9daaacfef}
e/c/a: {e/c/a, 6c54004b43ed51ac39d2f18244a0966f}
e/n/a: {[e/n/b, e/n/a, ], 237b18cbf6dfd46ef908d426eee611d7}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 5605b23f23886c34b36f188c4f328602}
androidx/savedstate: {androidx/savedstate, 3a20c42a936df2f74b43ad578eaddaeb}
androidx/core/app: {androidx/core/app, 7b3d908e7a953a311ee265745e922804}
androidx/fragment/app: {androidx/fragment/app, 3717e3c1adf06fa5f81e5a68f887d26e}
e/i/a: {e/i/a, 8863920b6fcfe6564b9533cdad0d8bd1}
androidx/core/graphics: {androidx/core/graphics, 4868932983635a7fbe1f70c32b4d2ae6}
g: {g, 502f8ca9814b95690d3c975ffb7a1233}
g/v: {g/v, e203665c5273098e2ad836a40bb56275}
e/k: {e/k, cfc2854b01af83b4f3c0818f2e906278}
f/a/c: {f/a/c, 962d953ccc9a914ce877eaba3708b97e}
g/r: {g/r, 38f51cc419f278022f1cec5ec8c55061}
e/o: {e/o, f52d68340ea05c762f4afa458743f4c6}
kotlinx/coroutines: {kotlinx/coroutines, d7b186cad6d21eeab060a5c9086044fe}
f/a/a: {f/a/a, 194edbbf9ea5cd7c267c171a98bfed86}
g/a0: {g/a0, 995916703c14b73a3e30617eedbac48b}
g/x: {g/x, ff97c4c253ffdeab9c400660bfd05041}
e/q: {e/q, 96a443a1e0eaa479308218d34274d8ae}
androidx/recyclerview/widget: {androidx/recyclerview/widget, e9f70bfdf2af6d756fddcef7fe8fccee}
g/t: {g/t, 96bcc3b63ac2ce5994b51759d9b66b29}
androidx/drawerlayout/widget: {androidx/drawerlayout/widget, 5b7646aea54a22c8490774c51fb3df6f}
e/t/a: {e/t/a, eb1cd15dbec39e4ed0fc9c5aed956f50}
androidx/databinding: {androidx/databinding, 3f6696f095c765b08fa82080319f0cd7}
e/m/a: {e/m/a, e6a91907d18bae0b14ba167df3c7be64}
