androidx/appcompat: {androidx/appcompat, 4f03325a700821aa7bf47dfc008fc66d}
com/jakewharton/rxbinding2: {com/jakewharton/rxbinding2, a1a70d764b8231b438a6b92d7d329fc9}
kotlin/internal: {kotlin/internal, 8bf388535ea9e7ad5eb0f53d72b2f348}
androidx/activity: {androidx/activity, a4fdf8053c33d20eceff8d84b37b2e41}
kotlin/sequences: {kotlin/sequences, 3d2421e0a7e2d88bef515c009faab984}
timber/log: {timber/log, fa1f18187e0a55ad47956074ab92f37e}
com/google/android: {com/google/android, c3d3b5d7bdd0e9da748e4934886c3ccd}
android/os: {android/os, fc6f99f70236ce11eac0fb3d6aeb3b33}
com/uber/autodispose: {com/uber/autodispose, 17d30309ea17dba984beff9c79c26716}
kotlin/random: {kotlin/random, af435efc57a7fef7fb2e83a9e9719110}
ezvcard/io/chain: {[ezvcard/io/chain, ezvcard/io/text, ], d6df44ce852f4d7714c589a237edda8a}
android/database/sqlite: {android/database/sqlite, 42deacb79a3a8f12e2df282d4a8ccbd8}
ezvcard/util: {ezvcard/util, e6be6b405ec73611faeb05a10b1d886b}
ezvcard/property: {ezvcard/property, ce9bd31c3f22dd74587ff1b2cfe901e1}
androidx/cardview/widget: {androidx/cardview/widget, 9d108d55f60516955524db52584e7f1e}
android/icu/text: {android/icu/text, bcd1e092f17df46a7d2aca17234dcf08}
android/media: {android/media, 6723f1657dbcc437fe83e925686999ed}
androidx/savedstate: {androidx/savedstate, c52f0b032b29f930b096ab947e7e8789}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 173f075a8efba2b2a236020589595de5}
me/leolin/shortcutbadger: {me/leolin/shortcutbadger, 2d6e8eb12aa7a57b74a8e7bfffd2e62b}
io/reactivex: {io/reactivex, 1370cd49e026bf358c55306ffae6eeae}
kotlinx/coroutines: {kotlinx/coroutines, 815f1f9bbe648e390e27c147951c332a}
androidx/documentfile/provider: {androidx/documentfile/provider, 1d4df1e7b976a86959240afbfbe0c028}
com/getkeepsafe/relinker: {com/getkeepsafe/relinker, 86b18756503b96eb00c427ea20361a97}
androidx/loader/app: {androidx/loader/app, 3d54e00d2f51c28a85b6bd60ed677889}
