a6: {a6, 093c99d6891787218018866fb3062b15}
p2: {p2, a2dcf86c995e93423dd883f226385f39}
t0: {t0, 180ca29d9539748f1dee645f7e71aa66}
j: {j, 68ef710969c655ea30be50f119dbc431}
c1: {c1, 08845b9f9b2a51ceda0bc3518d2ae690}
android/view: {android/view, e079f4fb8febf5b63effbb6583d13a90}
q4: {q4, 5ce68c83866dc8ef6905967f94a0bd81}
androidx/activity: {androidx/activity, 85e6d023e7f28c26a7207f5822155315}
b1: {b1, a762f7da3bf602fcf323790a54d086fa}
androidx/swiperefreshlayout/widget: {androidx/swiperefreshlayout/widget, a15a5bd10ecf1bdfb2388ad269c90de6}
l1: {l1, 7dec944634d4a18abf3f2d6ed9a78cba}
i4: {i4, 420e47386ebcf746d825287010bb5395}
androidx/core/widget: {androidx/core/widget, ff6487b9c8b41a892554d1c3f9d0aa1a}
g6: {g6, add152f354a2b31c9edcdc931b709e1e}
o0: {o0, 5ced2876b87cc4b7d20e513819adc60d}
y0: {y0, 7f5ce5405a89889aaf3e9a491510bfe7}
com/google/android: {com/google/android, 34217328cfb08965d12e2052c1e2655c}
v2: {v2, 2c0a914b0ebfd25dbbc82b27efe6690e}
androidx/core/content: {androidx/core/content, cbf69c24c7b559a74d64586f5e1f8281}
z1: {z1, e1e108b27f0f4ddd57cf872d09ca875a}
m6: {m6, 7a3c587335e60d498e4b1f817c3b9997}
t2: {t2, cfe3eacf647ed81a6beece87a89302a7}
w0: {w0, 6650a77edb307ae48792dd5216076b3e}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 7fdce51ce9ee59efb3a6f22846df538c}
r1: {r1, a8d340e37062c31427f9dfcffc4f33d4}
e6: {e6, dbae496c0c1203d9d1115d82e84c8bc9}
j5: {j5, ed9349f1a76c8214f99e84bf198b7bce}
android/window: {android/window, e079f4fb8febf5b63effbb6583d13a90}
coil/request: {coil/request, 44f4802e46d289713e2b0571f51f9597}
d0: {d0, 4bfb7ae115346fce755da6ddfc41fa6f}
f4: {f4, 4e2fec1725778126ce1d60a74f3c1920}
b: {b, d2a217ac8f733fa06bc9d307a17b0e26}
k1: {k1, 6e6b85caafb54a284971d63ebcb8f4ad}
k: {k, 1aed3a537304ca241e10445aff78a914}
g1: {g1, ee10429d1bbf18e7b2a69021c81605e8}
c0: {c0, edd96795ae719981af0a05107a52c9dd}
androidx/core/os: {androidx/core/os, 18a59c0e414c634268119f783636d473}
p3: {p3, e390427fbde6480a61b0c07a813c8f55}
e5: {e5, d52206726ec63ebc292d6eaf2d490911}
b2: {b2, a5199d57da0e13117ac30ebb087aeffd}
q3: {q3, 7f66dcad94fbc2527bfc69b0046fe985}
d6: {d6, 938afe1349328c339f77ad35c62cfcaa}
l2: {l2, 1015d1f8bfaf767346174eb6edddc9ed}
i3: {i3, a2b5d9dc2ece3a48be8a731adf2d2c78}
androidx/core/graphics: {androidx/core/graphics, 9bfc0efc935d99b2931386599538f451}
o3: {o3, 2e8a25b707575bc3df683ebfdf5036aa}
androidx/savedstate: {androidx/savedstate, fd9f7ea18997b41e4076c3930b35ba39}
m5: {m5, a594106bde0f691f746de18aae10889f}
t3: {t3, e1779180212aaeac906eb052b91eb910}
j2: {j2, 24d84475e2a77e754ced9f09c3f910c6}
v3: {v3, a58aac26d42d059e72b60405148cba0f}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 16d95876f9aeca16b0b32694abd46ed6}
h2: {h2, 30f3638f7526ac4bd33f35b88438fb50}
n5: {n5, fe04e3169ea4408b17a45ad73704564c}
u3: {u3, b5c7672f5df5165482e8a09064c86a89}
kotlinx/coroutines: {kotlinx/coroutines, 851f817425065d64f7e72ab3a1692bb4}
r: {r, 01c8ec9d27e84375cb2dc0b8e6a8f9f3}
f5: {f5, 6f82b49c585955dadef53c30eab630a1}
androidx/appcompat/view: {androidx/appcompat/view, 50f0255217550156f9c95c5eae0e3d87}
androidx/navigation/fragment: {androidx/navigation/fragment, b1ba86aeb9729f7f17dd138cc8e5444b}
w3: {w3, 7a313b504cc961aacceec2c13b358ae7}
z: {z, a087bac288ebdbae5e2c131bf58af43d}
s4: {s4, 1829a9574b35e701b2ce18bd854706cd}
