androidx/appcompat: {androidx/appcompat, 3fc409713723c529d0d583dd1ec204a1}
coil: {coil, ab400036cbc910cf8933817a7407bd22}
retrofit2/http: {retrofit2/http, 084c6c1a83e4f48381cdfa6517fbf60b}
coil/fetch: {coil/fetch, c68b608ebbe49290aa16db24070da7fa}
kotlin/internal: {kotlin/internal, e7b34893d98ec069395754d82fbcd75e}
androidx/activity: {androidx/activity, b0ac2bf0f4ae63db7208aeb7b2e4f48f}
kotlin/sequences: {kotlin/sequences, fc40d422866034fba924565108c92741}
androidx/compose/foundation: {androidx/compose/foundation, 0171f1b6522f328804ed34aa35b9b1d8}
androidx/preference: {androidx/preference, 7d8863a27b4fcb15f4817eab08172672}
androidx/collection: {androidx/collection, 5ce00c5466db8f7f56d35c6a29e3cec3}
kotlin/math: {kotlin/math, a15da52ec314393b54dc8a763efe1dec}
androidx/compose/runtime: {androidx/compose/runtime, 0cc1e7b73b4da94fdf0173b67fb25117}
kotlin/random: {kotlin/random, c678a6a05af87543e672bbbc3951f4f0}
coil/map: {coil/map, fb1d24ffb1a96ace5563c5fdcd8182d6}
go/gofeedandroid/gojni: {go/gofeedandroid/gojni, 542dd9699021b2a489ba6c7d8f6e4a23}
androidx/browser/browseractions: {androidx/browser/browseractions, 82ebd8c8f40e5c3c35cdc0c56c2182de}
com/google/common: {com/google/common, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/savedstate: {androidx/savedstate, 87daaa5e7dee90ae0e35c54a8d643d4f}
javax/net/ssl: {javax/net/ssl, e079f4fb8febf5b63effbb6583d13a90}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 190e315dbd2ff1dd80bf00bf4b222a9f}
com/caverock/androidsvg: {com/caverock/androidsvg, 028b482ce358ce4bf3c1dbdf168e924a}
org/kodein/di: {[org/kodein/di, org/kodein/type, ], 8b1a5ed6a740e75976deb5aee04ce39a}
kotlinx/coroutines: {kotlinx/coroutines, 33b28cb53102e992b2767a24d13cb703}
androidx/startup: {androidx/startup, 2cfee549e8eb46f01243bb01d25edb49}
coil/intercept: {coil/intercept, 43797565c7ce0628e0a63801e225b8de}
androidx/compose/ui: {androidx/compose/ui, a7faa2cb04180607853e98f683d34c3f}
androidx/loader/app: {androidx/loader/app, 1fd13ea3a5768478f3125c0c63594dbc}
coil/drawable: {coil/drawable, 85850fd74c6b12a57edf759293f752c2}
androidx/room: {androidx/room, dae6830d81a8e1f47bec752f2915df32}
okhttp3/internal/http: {[okhttp3/internal/http, okhttp3/internal/connection, okhttp3/internal/concurrent, ], 8a6c63a86596a098e8e77ea78edd8b42}
com/squareup/moshi: {com/squareup/moshi, f10f708edcce0f16e1abbdf321cbbf0c}
coil/compose: {coil/compose, b44313a614406c8bd3c3d488e8bf867d}
androidx/sqlite/db: {androidx/sqlite/db, d6566e33c1486e90439f47345ee01684}
androidx/lifecycle: {androidx/lifecycle, 46bd0dc85304ecdaa7bace27741bb81c}
androidx/viewpager2/adapter: {androidx/viewpager2/adapter, 359d35646220e525dde5ce0f5407d17c}
kotlin/enums: {kotlin/enums, 3ea805ce4b34511347c45720c7b8b744}
androidx/navigation: {androidx/navigation, f2addec0e3acc9b15654a8138a8ee474}
androidx/cursoradapter/widget: {androidx/cursoradapter/widget, 2df8f2ee35dff938ad7ef841215d5d19}
kotlin/reflect: {kotlin/reflect, 7e658db55156427e329fb5baf0ced4db}
retrofit2/converter/moshi: {retrofit2/converter/moshi, 8b3a2ca5656b5af6caff2f6e6e1fda5a}
org/conscrypt: {org/conscrypt, fe267d557a5446617f14399506650993}
kotlin/text: {kotlin/text, 92cbbc30df89d354614eb7f80707d2ca}
android/graphics: {android/graphics, c4e9eeb25e17c46354752ac4239a9772}
androidx/exifinterface/media: {androidx/exifinterface/media, 014b5ad9d5fe2f2ffacde88f9ab86ac1}
androidx/versionedparcelable: {androidx/versionedparcelable, 20fa76686c14cb51e7c8d889b83b628e}
okhttp3: {okhttp3, c5ddbbcc9b4b160b17af7d1fa7c30ae9}
android/view: {android/view, de1c2b92945417ecd988923d07abfa41}
androidx/core: {androidx/core, 76c6f944e59f32f5fe7e77528fa44c8d}
kotlinx/serialization: {kotlinx/serialization, 185923dbf6ce0b6e0a01df82bc3a42b7}
androidx/transition: {androidx/transition, 4ef5a4b8de6f63b7821602ec63ede2ce}
coil/request: {coil/request, 8fda5708490e7d99042e6643a058b55d}
org/ccil/cowan: {org/ccil/cowan, 3132cd8b9e5a874abd440dcfdbf11474}
coil/key: {coil/key, fdec7c141703560d86df48660ec7814f}
org/slf4j: {org/slf4j, 343355107fe83c2f34c2c7169c2e51bf}
androidx/browser/customtabs: {androidx/browser/customtabs, 029b5ef43443f3a67c285861149d1f7e}
com/danielrampelt/coil: {com/danielrampelt/coil, 662c69a82707dfa52dd0d79800b67f2e}
com/google/android: {com/google/android, e026d4709ca55ca0ab2be6086451d384}
android/app: {android/app, de1c2b92945417ecd988923d07abfa41}
coil/target: {coil/target, d4c2d566ec9b6ab1fc0496aa40d3ca2d}
