a6: {a6, 568af1a99ee5e497814912708d71129a}
p2: {p2, 2ab03edb62d1b04c7c064b0ecece2a27}
t0: {t0, d09fa02d5a4cf46cd32102532acfdf36}
j: {j, 8c256c83a0902cbeb60f2a4822750b44}
c1: {c1, 7e381d25df7067cccd29a0d814a06f5a}
android/view: {android/view, de1c2b92945417ecd988923d07abfa41}
q4: {q4, 69d6e366fe980a3d5c7f2d62323182d5}
androidx/activity: {androidx/activity, 212373a7c0163ade3d4cdf59ecb8e78f}
b1: {b1, c777288878ebceef066fbaeb8d388b0d}
l1: {l1, 3055e59865aa13daf07709370f2c21a0}
androidx/datastore/preferences: {androidx/datastore/preferences, e01b535698df3ff6a7cca3b77c9b325b}
i4: {i4, 21144a5742783804fa2c7a05195550f0}
androidx/core/widget: {androidx/core/widget, f3d35796877f7f844176410736890b31}
o0: {o0, adeafe5e79570825993bd2ed464eb8e0}
b5: {b5, 3835e249172724fcc3a1e7347d0f55b6}
androidx/test/annotation: {androidx/test/annotation, 542dd9699021b2a489ba6c7d8f6e4a23}
v2: {v2, ff1ff53269758e9c5a24f3302c0139fd}
z1: {z1, ad8a2cfb419ff108acf057bc7b020d9e}
t2: {t2, 1cad30e524c541a9a931bdb89547572d}
w0: {w0, 757451d1e63b2ec6d73f0b1c1c2ea802}
r1: {r1, b72b19a74924ac71f4eb1d0229c72729}
e6: {e6, 61fdfd94fd1f0096efa3e4c8765d6d8b}
j5: {j5, 3b12239d58009270d2032ed6039e71f1}
androidx/core/provider: {androidx/core/provider, b35b315c5c3a65a62baa5e0503e6ab47}
d0: {d0, eb2a009c29f18255db34f6b18f7a1ee5}
f4: {f4, 0a8e50ee4a5667c97d7afb1ef816faf8}
b: {b, 9cc5d502600745b115e10c1180f68c99}
k1: {k1, 5eb3f0bce90e0b6199b0c220d5533487}
k: {k, 3dfca003d4a37f732a471b998d7857de}
g1: {g1, 029e89c9cc1af71116dc322925cb2abf}
c0: {c0, 15da1b3207211143eed96f3f232aa7b7}
a5: {a5, c78b53b15023fd37994a7ccf3079221d}
e5: {e5, 9539323ede3329812f60c5ab9c48ef73}
b2: {b2, 6b11e36c5a946ba8ce87d9b40e83dabe}
d6: {d6, 9aecc9eb1530e1c5d28fa05a23a946a9}
com/omelan/cofi: {com/omelan/cofi, 02021a5a4fbd5d588969acc3a9a278c1}
l2: {l2, c66d0dff2aa1559a9cab19df711cdf26}
i3: {i3, 29922d318cabd5404e4321abe536abba}
androidx/core/graphics: {androidx/core/graphics, c84a61d63ba26f34a14137bce41862da}
o3: {o3, ddc765985a44a4746582748c97ad50d9}
androidx/savedstate: {androidx/savedstate, 47fd39b87ecd4ececc955c5a74485564}
m5: {m5, e110eb9eca17b8323426156b9bbf85b5}
t3: {t3, 36efcacf447d04761093edc4400d98c3}
j2: {j2, 0b0a4010a227fa75916f60e0d482d567}
v3: {v3, 9700317e8f01a0c7c5cf648b1726269d}
h2: {h2, ea06108d29d21682149d7387ab382e2c}
n5: {n5, f7506d490c02062ab2a18ab614f18d9f}
u3: {u3, fec0d5bc3e0b71a9ba5a348f956b08d0}
r: {r, 33dfec80e64eed8a8e55b36babc1b16c}
androidx/test/internal: {androidx/test/internal, a2966d479b1569e26a5e4f32cc521ca2}
f5: {f5, 6b9116b695b6817cb4442d6cb48951e5}
androidx/appcompat/view: {androidx/appcompat/view, d951ceccf8f6c641bd5cb5fd1e0f62b1}
w3: {w3, 3ec3aa8949db005a161ff048a959a6ce}
z: {z, 774f6ccd13f7e36a043e4dc67efb78b8}
androidx/compose/ui: {androidx/compose/ui, 123eee98ba141f4b3872be91a5c11dcd}
s4: {s4, 6390e6253bab4fce9ba56342f73b9dc4}
c: {c, 5765a19476aa04c6cb4965b1d1f49f32}
k0: {k0, 3a60f230565ffcc6ac3270928c978ad5}
androidx/loader/app: {androidx/loader/app, b8e96757bd38a00cd4ec8750e5a2feac}
g0: {g0, c1073767acc2b442366fc093a0a6eba5}
x0: {x0, c8c58d4a856999d33e900c806affada2}
b3: {b3, 505d3119cd29cdfc0162ff3da76e6b98}
androidx/room: {androidx/room, 6788a6599ddff9a54e27a446df1fe32b}
w2: {w2, fae3c215cdbf12fd6b58a5334a0e5778}
q2: {q2, f191e36f61ad39f21cd759dd21c113a1}
e4: {e4, 68c72d3012513117b74dc986d56872a6}
o2: {o2, 358136b37635aa2a1e739182f096d4d5}
m3: {m3, 1c65556b756b1b2410acd7f5b9cb7e6d}
i2: {i2, 65d72160fcc3f99cd74895e9430a171a}
androidx/lifecycle: {androidx/lifecycle, ead6bd047880520d3d3ca9c99e0ef9af}
c3: {c3, a9fe5f91d3fd614b12a5d9c5587bc55e}
a4: {a4, 70a0bb16e35d5e656738454087792e80}
h4: {h4, 91d3095aeac8aab38e72916ccc9ccfa5}
t: {t, f1b8869695574f8056d9ca3698708757}
g2: {g2, 632fa45aac7bec247c9edec7cc6e30c2}
androidx/test/core: {androidx/test/core, ed76349f835dfc0e170fbcfb377ec58c}
j3: {j3, e7730f6f679fdf458b7f017a01517d1b}
m4: {m4, 8d84004d27c81da2c8f947edeea0eb0b}
t4: {t4, a4fa02f658f9a0add368dc2754788f4f}
u2: {u2, 7c10a657790a9fbea2d7fd2ca8500184}
s: {s, 735ebfd3d40a600efc79def0f1ba9527}
d: {d, 1b4c2110837456f72cfcab07f19f5bb9}
androidx/startup: {androidx/startup, 131abce5fc5ebe7e1684037bc13d5652}
h3: {h3, 10c82596038462648513995c92d1736a}
n2: {n2, 7920420e0295ed3fae296415e22e832a}
k3: {k3, ac062b42baf16776346cf08ae70827e6}
p4: {p4, 303a2905cf0073102d970b3d80419bf4}
l: {l, ba27cf715aade362c76f2f0d5e66739c}
y0: {y0, 39d8b503d300399f42845f0c9bfc79bd}
androidx/compose/material3: {androidx/compose/material3, 3e5524d38574ad1f1b3212bc89acfd6e}
f2: {f2, 8ab15c4be4e09bc7196364b29fff88c6}
v0: {v0, 352f5941adc654f5f02f89e663b2cb81}
d2: {d2, 660863c46c0c1bacad757abcb090862e}
q1: {q1, cbc21c6b9f3cb999ca0b1a4744254252}
x1: {x1, 3b7bb140aa14d41e3a2d26393b079db0}
g3: {g3, 66edc7fc897794eb8fa4dabe4ab85216}
r4: {r4, 918b98e1aa5910499ef25ee3b7a0ad72}
b0: {b0, a8e7dcc891075c18b9712392be1e470c}
y5: {y5, c5bcfa7be5d504c2049e2b093339a6f8}
m2: {m2, 9f3aacdc4e01935e83870702fea9fa77}
d1: {d1, 17409dd3fa1a63644e9befd4a093a050}
android/app: {android/app, de1c2b92945417ecd988923d07abfa41}
o5: {o5, 40b355d1a8a50b1a2eb6e130b393cb2e}
h5: {h5, 3d602e576d19307ca6d7944f81c9cb60}
androidx/navigation/compose: {androidx/navigation/compose, ce166d1ff010741066e848d4a584b623}
w5: {w5, e456c176acdff061ace8ba202b2ee78b}
c2: {c2, 7f3905e21e551183e8355e979ef97c7f}
u: {u, 60121ea592ec4629f4b958f0acf63e23}
z4: {z4, 72aaaff3d2c133eeffe9e0f02339f040}
androidx/fragment/app: {androidx/fragment/app, 40b437a664a1ec2a3f6955a1d31453bb}
t5: {t5, 11e47df2564b2d02ff168ad1de1b77f9}
j0: {j0, 7c17d85047c7e038d3100c1a2ca2e0a2}
l3: {l3, bdbc1d15071c25167f7074bb1033ddf8}
n3: {n3, c135ee2aacf5c5cb460a430f8975aae8}
u1: {u1, 145369fe0b603a9be27ddb606555589f}
e: {e, 5f264f9379ef77b9f9538c6a4897a8e7}
p5: {p5, 05491cf1dc321b4f38ed790c3a157f24}
d3: {d3, fc1123b3332fbf39baef90ade3c4a9be}
l0: {l0, 51c7bce7a5957013bde90d244137d164}
f3: {f3, db666a699070f4535fd6f4a014dc2444}
k2: {k2, 7dca73aa6c3dd962353f257ed110055a}
m: {m, e76c674dbc2491c7ffffe638ce1ac844}
e3: {e3, 80810e7eec3223b17612868b0b3163de}
v1: {v1, 5f18d5e6d98bba059fb6935686e2dedd}
kotlinx/coroutines/sync: {[kotlinx/coroutines/internal, kotlinx/coroutines/sync, ], 370957da6a6391d76a058bb89a4de531}
y4: {y4, a3d668c5801fe6b96818ea7904fa279d}
q0: {q0, eb7aa1b7807cf3f0ebc337865a1c1ac7}
f0: {f0, 6c0d87ae2da90991c5de41d621f2f119}
c5: {c5, a35887ab21ccc32c98f57e6956885012}
w4: {w4, 9837167965c58b5f9c3ed78bcc929b22}
androidx/profileinstaller: {androidx/profileinstaller, 56a85b5114b7d70932cd1c70a6a74acd}
r5: {r5, bcf3a6a3b2e3642064057bb7bc109b6d}
z2: {z2, cf80661f6552037d8469d244004b4aa8}
o4: {o4, 25f29e2511646365912c2ddf1a26e279}
m1: {m1, 4fd8410c901c725135f3b3549d0bb314}
b4: {b4, 6d9dbdd23e075c203df6561af37a0df6}
x2: {x2, f22cea921283959bec2d2ec5526c2c34}
v: {v, 1a9781e6c266295cfe319ce11b7a4dc0}
a2: {a2, 9303cba15d90b742266ad90445662c10}
androidx/core/text: {androidx/core/text, 1b29d1d5a362d0a596c72fe83947966e}
androidx/core/app: {androidx/core/app, c071f01a47bcb21d758f3439246760f0}
n0: {n0, 760590080d757c7b21892f1e57bc991a}
u0: {u0, de0980c156ff6c4535ea0db241add892}
