a6: {a6, 9db25cae80d8945758adbdf5c332aa7f}
android/view: {android/view, 00196ac1354b6e3f7e2952d8514e2375}
x6: {x6, cb5a18e2525c8d7d75bee829ab3f9711}
l1: {l1, e5174595d75d5c01704e9e37a6b2496d}
i4: {i4, 701fbee895b2c996244de4c19006d1d7}
na: {na, 8b5f2ce9b00bc40d8ba40e4d7c785fb1}
r9: {r9, 82b2dda9e1c5ed0a949a0c2a769aeb33}
ua: {ua, 05760515cc6d6e99a80c321250967e85}
v2: {v2, 9d28ad4528a85e45211c1a9eed7e1e92}
w8: {w8, 517f0081cc6dd7638fdfc2b76df640c8}
androidx/core/provider: {androidx/core/provider, b7b7547f66d1a32a8d3eb85dfb742e31}
h9: {h9, c4c214003df7e9bfb0d06daad0484130}
u4: {u4, eb757670ed38d7850293d97d52667ce7}
g1: {g1, ef4f4d65c8f32e6ec2e63d6d9c97e5e8}
c0: {c0, 64b9fd5fd7d22344200aed33e2569828}
ea: {ea, 9c6c0b66d6c47154da14ad4cd741c190}
android/media: {android/media, a8522f0bc8656146eeb074b655f45770}
o3: {o3, 6e242682fbc96bba22d3888db914ccf8}
o8: {o8, 0dd4cc5e8af803944f459d13e072b4de}
t3: {t3, af4bf310cbb1a88060a4fdce775c2713}
androidx/core/graphics: {androidx/core/graphics, 1fb6eee988e008b6602fae34f9e8e4a5}
h2: {h2, b54fbb6b983b0fd79e5781f9ad95e0f5}
u3: {u3, 5826fd60e75b096ba8b48de9b9af5a80}
c9: {c9, c40646736e4d87fef92cbd717273c495}
z: {z, a85a8ff2a71e05c99cbe048fa3748d3d}
r6: {r6, ccf314ab076a21d2355914d8e31db9fa}
s4: {s4, 85586eb191773044ebe93f1c5697f110}
g6: {g6, 93d63709a83c3c56a7f34135c106a889}
b3: {b3, 6b05213a576b1614a3cf56be7e9ae037}
q2: {q2, 038bab10acbeb1f4ecdd8361011c3c6b}
e4: {e4, 4935ad0425cfd67c3daeea41f902a75f}
ta: {ta, 46b5a4dafcce5e004ee56b874af26687}
t: {t, aa9cdd32302cbf832b84ab49af67ff8a}
androidx/versionedparcelable: {androidx/versionedparcelable, a345a6ebff7d3e0a1c5619fabcb0180a}
s: {s, 676712513da623bc145b8f48d59e7bb6}
f2: {f2, d7b58aa2468c84f6e281ac35da85d2fd}
g8: {g8, 666b7798caa9838e817c2fbada11e83b}
v9: {v9, 8a6c9af246a9edb35c5112ef2681718d}
da: {da, 46f0a066946fbb83994c6c05df259798}
w5: {w5, be055bdb7b18819e876e244a66853561}
z4: {z4, 02a18d668a846737453fbb61889022c8}
p5: {p5, 478b68e3a0b091bde43a4afc7f67b59c}
d3: {d3, ca55bfb4a7570839e90dccf559634510}
k2: {k2, 7eed86678cea8aa937ef17e2fec6852e}
m: {m, 9b2c2160572b0020563d70715f344a73}
q9: {q9, f5b4d5edf76afe20ed1c7ce577193b85}
e3: {e3, 05879b8f759f743dfd12a0881cce8295}
y4: {y4, 0e20c8d15c1e240562810af8e0113ac0}
u8: {u8, 45e34dbc8dab9322b477dff02fe32544}
m1: {m1, 2bfcd7c98df033ad1ec2545961e82e4f}
x2: {x2, 238a43ebf3fdc0433b2f73ac5f006f9d}
a2: {a2, 6050abc57bfc56190099ffdd9058b7f6}
n9: {n9, 975b0c2d65ace635074b559b68a025e9}
s9: {s9, f6a9fd7d7ea04bcea1b5f66a40cf66e0}
n0: {n0, abfa42f58f7e620f2a142a8015d6b597}
k5: {k5, 516a5db6470f055605cdbff183888907}
f: {f, ce6389e2519e08171bac351104df080f}
x9: {x9, 31403a5f4d4e7657393f8ba5dfa4834d}
i9: {i9, 75fd8217a51df7412bc613d8b3c9b2d9}
androidx/core/net: {androidx/core/net, dcc6de5161752d18e30169f090b592b7}
j1: {j1, 654832b82213eda3b54bde1de012c9fe}
m8: {m8, 54d00fedce89b511a02068afe284e7e7}
a9: {a9, 4414fac0f135304ebae45bfa82352085}
h7: {h7, d3008d0e481e03b889d033c2c886788d}
f9: {f9, 7e221a62f433653d83cd6a8f3ae1816b}
i7: {i7, 87916510addf821b1854b875da804033}
g5: {g5, 62224c4afb10a3e8c955a168508b91ef}
u7: {u7, 1554ed19b09b22a1f9303abc9b84a318}
l5: {l5, 06d69d3054c03f922d81e70babd03c32}
i0: {i0, df60ca93cd2f843b4d94c218f81734f6}
s0: {s0, d7c5e15389f1d25b88522730b0033b39}
t7: {t7, e381f6991873210ea6cc1b6be99b5314}
b7: {b7, 399bba1810eb6bba36b48ca3feb61770}
c7: {c7, a6a6556d6bc390ed4e9b69b473cda0dd}
p: {p, dbec5c48e9e2cb63dc3d1cb11e50cdb5}
e8: {e8, acf7ef943fdeb3cbfed8dd0d8f584731}
x8: {x8, 8778aa559b642068d80abf30ccf5084d}
o7: {o7, 0d9fb56b5d384537ff943148cf456968}
t0: {t0, a3b55f6b4d9a70f28545937f74ac5b13}
ca: {ca, 281153ab69d99bdbfc49958c85773b20}
android/net/ssl: {android/net/ssl, fc6f99f70236ce11eac0fb3d6aeb3b33}
com/fasterxml/jackson: {com/fasterxml/jackson, 0eb0f3ef15443f292edf6bfa8e754573}
i: {i, 5a7d9364a46a831127d7bfa51a46f982}
p1: {p1, 25d78c2605428591afbaab6c82b3b133}
d7: {d7, f4462fcec5f257ba0e7f86ad45816f58}
q5: {q5, 8785042b68a4b43f8590e1b253ef1d08}
e7: {e7, acf7ef943fdeb3cbfed8dd0d8f584731}
f7: {f7, 79d25fd449abfbb97dde1975d68939f9}
androidx/activity: {androidx/activity, 223eeb02efa000316991bd602e45987b}
k8: {k8, 290c4d0a4c488f37ca9937928fa784c4}
y0: {y0, 3a65fd1d21c8ba211cb6b345b387a59b}
y9: {y9, c59d01bcf602b211731aa86d973b1e61}
com/google/android: {com/google/android, 94526eb7790647a6e2398bc3334314f1}
android/os: {android/os, 3ef3d1823ac4c8a03c4402610a70d6de}
z1: {z1, 08e896b9d905990d8a3016872e1d3970}
w0: {w0, a46ccb061277b3cae1d8ac54279d1565}
ba: {ba, 3be386a6da19108a8e1d45da9ead6ee9}
j5: {j5, e1a7b972a29cd3536f5641f7cf301d4e}
ia: {ia, 5f2b7818c66008a3691f15823e9039df}
d0: {d0, d5fab1e23b26a2342f9f26e985595a5b}
b: {b, efc495d37263693ee9fa03374eab89bc}
k1: {k1, 86e13c124daa7a1c2715cac3350f9b26}
x7: {x7, d52206726ec63ebc292d6eaf2d490911}
a5: {a5, 87e679c063b7bf0933fdaa504edba7d0}
y7: {y7, b07ce47b1bea50425b167557153ffaf7}
r3: {r3, e2ad2715932265e34e3e9661e8c4e82f}
l2: {l2, 23e501d7356bc8c3775a3deb8b4d6a61}
i3: {i3, 8e16a98387725736ecb2fe7ee3652f38}
androidx/savedstate: {androidx/savedstate, 0ef030f80dfe9d4473b1cef9df710d0a}
m5: {m5, 21d8993dda9359724bf6176efe7e4f2d}
j2: {j2, c88763fd24ba1e206c70f799d4cc4d4c}
v3: {v3, 1858d35cceff2e3788bfc0aa9589ab70}
n5: {n5, 38aa2e67fbf22c0a7be120a559516e88}
z2: {z2, edf23541a62dff0ef5331015e44b7545}
xa: {xa, e0c39f57b811f3cb6dece654d1d1e066}
o4: {o4, 49253e41b462176098dd6e140686d9e5}
g0: {g0, 9a60efd58d09aa77e270b0a22a4d3129}
androidx/viewpager2/adapter: {androidx/viewpager2/adapter, 0882bfe7904e328bfe66192e77050659}
o2: {o2, 5e6622f5073643a2fda94f7c3ba45cb8}
androidx/lifecycle: {androidx/lifecycle, b42231d13b4bd10a97c19fbf9c0e8b60}
c3: {c3, c797cf4b5f186183cbc01af1e6b55998}
h4: {h4, 11695e0e9aae3178f8d133da9141a02c}
ha: {ha, 8b234fe1153b197cf405623f68a9274c}
t4: {t4, 6b72978b1f4deed42ab39b05f53f6d63}
u2: {u2, dedd8f96f1b5c3358cbafa660c29bb80}
c8: {c8, bfd2111c88f92de53d5b438b0528b55b}
h3: {h3, 05879b8f759f743dfd12a0881cce8295}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 9967bb81d7cc8cea0e401a3226849367}
r7: {r7, d556a0569f8badb5fac9eec4f8e80749}
s7: {s7, 5fa3cc830afaf1277e47d9c5b238472a}
q1: {q1, 0b0212731b91dee01a0b25c5471cd34f}
b0: {b0, 323475e1a704c7636d8a694d18647713}
u: {u, b4b46339d04b3ff162ef61d7a1ff4db5}
f3: {f3, 67a7eeb3750b389bff585967c4df44e1}
v6: {v6, bae58de0f9f93045e098f8c047f789aa}
w4: {w4, e12937766108537d7518386f9143d6cc}
android/security: {android/security, fc6f99f70236ce11eac0fb3d6aeb3b33}
androidx/appcompat/view: {androidx/appcompat/view, 98563f26460f5c51c8241f67c58e6b65}
androidx/core/text: {androidx/core/text, 0b57829805477db7beb6dc50ef8eddd6}
z5: {z5, fee626c30b75689a6d2ab5cf590290f1}
kotlinx/coroutines/android: {kotlinx/coroutines/android, 7c4f3cb846db32d337c684dfe64de90e}
n: {n, 296faf5943bc0ca8c7e5af06e47d9bba}
p6: {p6, 84acdc9af7b0b63b050ecec4ad5802dd}
d4: {d4, c50f7df0735274e42a0aacf1abdf3ec4}
e2: {e2, f66ca4371f02b1e02d1412f423165d52}
q8: {q8, 23b158438854fcaf860a631c619be051}
y3: {y3, ac020985ba35397a7c408e80cb852bd1}
a1: {a1, 3d22f1e2f4bde96096f49d6907308143}
n6: {n6, 3ddaff182eb7e6e4d11c4a56e349639e}
s8: {s8, 6e222a2a6be42a1fd9d71a50f9875f1c}
x3: {x3, 573e23a209d40a06198e7469bf0b8b25}
k4: {k4, 35186c3f71cc4db994f5103c52d002f8}
wa: {wa, b9d90ae1b852c139bfbd6674b6f3de83}
g: {g, b0908176a67041a30615afed21289d18}
n1: {n1, c16ae72dc5c6dcc5f06a838008ed1424}
i8: {i8, d7152bb11dada3a478b6b4909f4a868b}
j6: {j6, c24343ad1dc9c3fa85bcc7f5b411cbf8}
okhttp3/internal/publicsuffix: {okhttp3/internal/publicsuffix, 2f16ceab60d1cfd7adb3f4c7318283b9}
sa: {sa, 7109719efc803996c97dfd532e80532c}
s3: {s3, cf6e31e57c5f03dbeab4c2c7b7d87730}
x4: {x4, 8abf88ceee7a6c4e05b14545b1c5188c}
a8: {a8, 7cb50b5f51f778e943accb3743e905e0}
h0: {h0, f5f521549414d0697ec95b11296c54a2}
i6: {i6, b7378804be6f21052a75e602a4744611}
g4: {g4, 983e71e5d049c40a058afa7e71de0b83}
androidx/core/content: {androidx/core/content, 8af9fd64a2b1308686dc9885159ab2db}
u6: {u6, 4ba342a829c6bb78c1ea5436b707ac8d}
m0: {m0, 1371efec130d6850baaa3507833feb3b}
v4: {v4, a834b3b2467355e55e285cbd10a94dca}
t8: {t8, c8a66c144beb0bd2768152ffcc8158d8}
c6: {c6, 103fd7e81911d9bf83bf22d9804a22a9}
l8: {l8, aa332f6927db0f84a1147b14c6201ae5}
q: {q, 71c60cdde53ba5f66128125d1847a26c}
b4: {b4, 0d5a22cd060d8291456821fe27ac0fd6}
o1: {o1, f276eb06718855a7244dd115642ad3f1}
fa: {fa, 79f2f5d72b8d83eb13e19dc6fa65089b}
t1: {t1, e85942bba39e9e9eec843ebb749e6d19}
o6: {o6, 41d84ac1d462d0e0c970512260b929b4}
ga: {ga, 6037df00620453b9e37e34a565f7c754}
x: {x, 9ccb9db9abec5999c706388635bc0f74}
androidx/drawerlayout/widget: {androidx/drawerlayout/widget, fce63ba666b3f6611ef4d4d7fb6a715d}
r0: {r0, c1ab75d7fc9f45d383ab978ab370994d}
p2: {p2, 0e3ee2d2451715f68904fc2f964e0655}
d8: {d8, 202b98a585f710baf923d0ca024239a1}
j: {j, c800589dc2a87e41c32740c301a6f252}
q4: {q4, bd464db52d0fc3272a01215d36bf4f02}
e6: {e6, 5e35ffb43f5056e350e178a6075bebeb}
f4: {f4, f502a51c9125d8cb07abd3ae405ae176}
kotlinx/coroutines/internal: {kotlinx/coroutines/internal, 75d7f184eee810a8329b84bf14de7e14}
com/dropbox/core: {com/dropbox/core, b1c09f96b673cfe2ae253d4ba6d59ded}
y8: {y8, 7aed42be03d2cb85049434fb6e24fc5a}
ab: {ab, 0a022935e72ac4f5e2f27094258fb7e3}
z6: {z6, 529a8080c49c7c19acb0c1ec763c00e1}
androidx/test/internal: {androidx/test/internal, 1ec33529454ac8990479bf74d5abcaac}
androidx/startup: {androidx/startup, 131abce5fc5ebe7e1684037bc13d5652}
w3: {w3, d2fc2105191a6d3aa585c8e02cee6562}
