androidx/appcompat: {androidx/appcompat, c8f5571a4d6a448e8a3942a0b2ac9089}
kotlin/collections: {kotlin/collections, b047f69a785786c2b4d3c1e9cd282c0c}
kotlin/experimental: {kotlin/experimental, dfbe392b0c2a27f18e6927ec524f8462}
kotlin: {kotlin, 85cf77a0cf5f4400ffbc1dd65d44dbcf}
kotlin/io: {kotlin/io, d1a7095c00601f324bcaad021e3195b5}
androidx/arch/core: {androidx/arch/core, a59cadfb1f89c065a19cfef41c8e88ed}
androidx/room: {androidx/room, 31d1b6fbd52ed3d5d64a80399cd04248}
androidx/activity: {androidx/activity, b0cf580169b09d72dbe71c4f03a81a1e}
kotlin/contracts: {kotlin/contracts, 22b9d8be7f5f1239cdf7ff3c6a091a13}
androidx/profileinstaller: {androidx/profileinstaller, 4e56b12b69c8cfae23b7689c754267f3}
androidx/core: {androidx/core, 03373e0b0291246b30a09deea64f3343}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, f3b63439f69b169b5ec5a82863e30091}
androidx/preference: {androidx/preference, 64628829796fbfdda085f8e74bcb43d0}
androidx/sqlite/db: {androidx/sqlite/db, 433eb9fb6dcaa81fb0449c03118d7935}
com/blankj/utilcode: {com/blankj/utilcode, 2f51f10d33485622d87e7b1e9a7e8190}
androidx/lifecycle: {androidx/lifecycle, 6a0198203715c0eac1800320935edfd8}
androidx/fragment: {androidx/fragment, ae160cf607a2151de3857d223a36fc8a}
com/charleskorn/kaml: {com/charleskorn/kaml, 7531446e177389f1d447d92590436631}
kotlin/enums: {kotlin/enums, cd0fa8aa56cf8c762e43806d8b5108de}
androidx/navigation: {androidx/navigation, 1428397874bb1a4c7f7d5ed71b4eb836}
androidx/loader: {androidx/loader, df455fe6ddf5f37fdf76ace19b1f2535}
androidx/vectordrawable: {androidx/vectordrawable, 1db4a5557a0b9f9cae9a42d2424c478b}
androidx/recyclerview: {androidx/recyclerview, 0ce0fe4df589e3f4946fde48719229c5}
kotlinx/serialization/encoding: {[kotlinx/serialization/descriptors, kotlinx/serialization/encoding, ], 020eb29b524d7ba672d9d48bc72db455}
kotlin/coroutines: {kotlin/coroutines, 0688a74a8d506447956cabf788c63214}
com/google/android: {com/google/android, 4a7d283325c6671650166caf6e4e6637}
androidx/interpolator: {androidx/interpolator, e32effd5aad27dabdd49bfe10025a181}
androidx/viewbinding: {androidx/viewbinding, 320e4a218483379fe56d033b368fe113}
androidx/versionedparcelable: {androidx/versionedparcelable, 35d15b808d818dae4ead63913a1bd71d}
androidx/constraintlayout/core: {androidx/constraintlayout/core, a3c6de987e9bf9f617d9edbbadb19fa2}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 220888082fc54a224fd8c47ed5f2e9cd}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, 629fe126eec0d66ee8f14735370c1d65}
androidx/collection: {androidx/collection, cd648389b6965078c352db5968abf416}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 713093c09aef9e7f8351fed22582db05}
androidx/sqlite/util: {androidx/sqlite/util, 3e6119397cc758ad6a0cf1a3077e021d}
androidx/transition: {androidx/transition, f2c05b7517144a567649c63e9b5c2633}
kotlinx/coroutines/flow: {[kotlinx/coroutines/channels, kotlinx/coroutines/flow, ], 020eb29b524d7ba672d9d48bc72db455}
kotlin/internal: {kotlin/internal, 25fd9d19307b374bb32dfb7591dd0bd9}
androidx/cursoradapter: {androidx/cursoradapter, e4b6904182097e12ad2b34a05994d750}
androidx/slidingpanelayout: {androidx/slidingpanelayout, 83659dab87cd09072fffa464a61f7440}
androidx/cardview: {androidx/cardview, 66488820fbbf820772dff5461d30fb0b}
com/hjq/permissions: {com/hjq/permissions, 768bfabd20f8c1db5473f01f13cc6ce9}
com/google/gson: {com/google/gson, 7a82bcb80deeb31defb226d17ad4205f}
androidx/drawerlayout: {androidx/drawerlayout, 9c213b6fc352ec2d3a29cfdff37d718a}
androidx/legacy/coreutils: {androidx/legacy/coreutils, 73459e05781063da65dda8c716b44d0f}
androidx/viewpager: {androidx/viewpager, adc3fb650b54aeafb31d18abe303e7a7}
com/mikepenz/aboutlibraries: {com/mikepenz/aboutlibraries, ee5ae6ffe78ffa56e643493c294e6a31}
org/koin/android: {[org/koin/android, org/koin/core, ], 020eb29b524d7ba672d9d48bc72db455}
androidx/emoji2: {androidx/emoji2, e2f35fb7be680728fb2de619293891c5}
androidx/resourceinspection/annotation: {androidx/resourceinspection/annotation, a4bd91c515d62e517c2896e81b40cc24}
kotlinx/serialization/internal: {[kotlinx/serialization/descriptors, kotlinx/serialization/internal, ], 020eb29b524d7ba672d9d48bc72db455}
kotlin/concurrent: {kotlin/concurrent, 8fe51e1e1c252bb3f3c91cb42839a784}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, ff1b5b4a8152c23d704f959081b0e488}
com/google/common: {com/google/common, acf7ef943fdeb3cbfed8dd0d8f584731}
_COROUTINE: {_COROUTINE, 969e426354e9bf7a21a6f4cc2ba3b6be}
kotlin/annotation: {kotlin/annotation, f3950e884821c38027c428fc214a8a08}
androidx/viewpager2: {androidx/viewpager2, c80d8de27ff8504604538e91144b3a43}
androidx/legacy/content: {androidx/legacy/content, 07faabcafda309b615198d4b582b9cb3}
androidx/savedstate: {androidx/savedstate, a4416d427892ffa942cadc1ea18c7cea}
androidx/documentfile: {androidx/documentfile, 405e864284a52aa0ff49fac74ee2910d}
androidx/print: {androidx/print, 26f5f8b102a2f3012b8e62df0ea2094e}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 5a22e064ce7d148c7698901aa9fb545e}
androidx/tracing: {androidx/tracing, 19dc4800d07cef03fee0db9d834512bb}
androidx/startup: {androidx/startup, 86fcc9acd3be58c7de92432067895bf4}
