androidx/appcompat: {androidx/appcompat, deeaeadaa087785fd848a72a7b17d30b}
kotlin/collections: {kotlin/collections, e1b54b01efac5cdf6d7fca10c115ad26}
kotlin/experimental: {kotlin/experimental, 182585c3458d700187699e2ae5989a66}
retrofit2/http: {retrofit2/http, 084c6c1a83e4f48381cdfa6517fbf60b}
kotlin: {kotlin, 6e7bdb8d5d8ea30e650633bf54a0c95e}
kotlin/io: {kotlin/io, fedce3bdccf08f2850854e1efa2da40d}
androidx/drawerlayout: {androidx/drawerlayout, 95657cc3208db16287281d89b7394dfe}
kotlin/internal: {kotlin/internal, 02c66ac406dbd0dbac431c13ee9325bf}
okhttp3/internal/http: {okhttp3/internal/http, 7df00a59d7bb1738ac7cfd87089174bf}
androidx/activity: {androidx/activity, e2927bf49cf3ac105c648c382ed9b387}
kotlin/contracts: {kotlin/contracts, 9fd3b4e8fa5f4d904edc67b3ae889ff5}
kotlin/sequences: {kotlin/sequences, 2eb98a488ce439667bd843c898f34462}
kotlin/annotation: {kotlin/annotation, 27a89864425155d3f81778ed8c9f7390}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, 416fc851cce054a5445f13b7d7d74f2d}
androidx/preference: {androidx/preference, b607bd700ec69dc66f728601a4dc4a2a}
androidx/legacy/v4: {androidx/legacy/v4, f5649c67bb0f45aebcffe7a7a3f8e869}
androidx/lifecycle: {androidx/lifecycle, 57f52267e5717a68fdbe536e4b8e0100}
androidx/fragment: {androidx/fragment, 6a167d3ffb1ffa9eca532a8928391431}
timber/log: {timber/log, d10b1174ac4d5254fc89a759c863d375}
androidx/navigation: {androidx/navigation, b700ae94bc908222c502345c1ea82ef9}
androidx/loader: {androidx/loader, 9ce49e3c5325632dbc214354996d4145}
androidx/vectordrawable: {androidx/vectordrawable, cdcba2523e329ce38f427cd4d0f3ffce}
androidx/viewpager: {androidx/viewpager, 5c6a428df6532f6761d17e9f5809e324}
kotlin/reflect: {kotlin/reflect, 9be8099d7ac2762ccc3a8d44b5f9d4f9}
