androidx/appcompat: {androidx/appcompat, c5cbd1a87a2f419a7c70acdfaf2a76f6}
com/google/auto: {[com/google/android, com/google/auto, com/google/common, ], 6d344778e3cfe5afd7c525b3826bec8c}
androidx/room: {androidx/room, 3c8325ee51f43984b785bd7d9b8c900c}
androidx/activity: {androidx/activity, 86c487c065115fc71badb69f902b0d66}
androidx/profileinstaller: {androidx/profileinstaller, 3684e36326bdac7f8d22933d989395c3}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 1b57215d89a5981a9a52e43c91ad4d96}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, f3b63439f69b169b5ec5a82863e30091}
androidx/preference: {androidx/preference, 4f7fd8f3d96265c3f29b61594f87b42b}
androidx/sqlite/db: {androidx/sqlite/db, a3cd2360e1207a4827cd38ac8ed6e73a}
androidx/lifecycle: {androidx/lifecycle, 4805ff618692caeb7f646be94b3ddc92}
androidx/fragment: {androidx/fragment, f7e1ec74001f03b89d4f9cba36b0746a}
androidx/navigation: {androidx/navigation, 9e98de79fec11806ebad5017fe55b3b0}
androidx/loader: {androidx/loader, df455fe6ddf5f37fdf76ace19b1f2535}
androidx/vectordrawable: {androidx/vectordrawable, 0ff334097d5aa181e5e000528b7179f7}
androidx/recyclerview: {androidx/recyclerview, 7d27f7a6c7ff9133da6239f18b4d4e6d}
androidx/interpolator: {androidx/interpolator, e32effd5aad27dabdd49bfe10025a181}
androidx/viewbinding: {androidx/viewbinding, 320e4a218483379fe56d033b368fe113}
androidx/versionedparcelable: {androidx/versionedparcelable, 35d15b808d818dae4ead63913a1bd71d}
androidx/constraintlayout/core: {androidx/constraintlayout/core, 76f22a6c6986d6d23929701684d4ab2b}
androidx/core: {androidx/core, 7bb2accaa8f531d5d7d197f1ed2f3c76}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, 68b6b7cd9f7794226a85814ec4dd01c2}
androidx/collection: {androidx/collection, cd648389b6965078c352db5968abf416}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 212afb512b0f35c7dafa0cdb92a3ed1d}
androidx/sqlite/util: {androidx/sqlite/util, 3e6119397cc758ad6a0cf1a3077e021d}
androidx/transition: {androidx/transition, 068085ec4374225b071bf5d6f24bc60f}
kotlinx/coroutines/flow: {[kotlinx/coroutines/channels, kotlinx/coroutines/flow, ], 020eb29b524d7ba672d9d48bc72db455}
androidx/cursoradapter: {androidx/cursoradapter, f70b0bfe455d900d7aa0350915fdc2be}
androidx/slidingpanelayout: {androidx/slidingpanelayout, aacc96fdfb26ac2160e0dc27a4dbbb32}
androidx/cardview: {androidx/cardview, 66488820fbbf820772dff5461d30fb0b}
androidx/drawerlayout: {androidx/drawerlayout, 9c213b6fc352ec2d3a29cfdff37d718a}
androidx/legacy/coreutils: {androidx/legacy/coreutils, 73459e05781063da65dda8c716b44d0f}
androidx/viewpager: {androidx/viewpager, 586a79548bd25c3240ae55df346c7b02}
androidx/inspection/work: {androidx/inspection/work, 542dd9699021b2a489ba6c7d8f6e4a23}
androidx/emoji2: {androidx/emoji2, c8d166a72d8ccca3ee723d69abf69b7f}
androidx/webkit: {androidx/webkit, 5d23311fc92a20c69df9907bc06957ca}
androidx/work: {androidx/work, 25785ddfacd8b75edc3706bca7836400}
com/aptabase: {com/aptabase, 808fd8898305dbd952c42723a93c8434}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, a49093d9517c4a52bd3feade3819b01c}
androidx/arch/core: {androidx/arch/core, a59cadfb1f89c065a19cfef41c8e88ed}
androidx/resourceinspection/annotation: {androidx/resourceinspection/annotation, a4bd91c515d62e517c2896e81b40cc24}
androidx/viewpager2: {androidx/viewpager2, 8a4c5210a3c2b68aad773e66ade06575}
androidx/legacy/content: {androidx/legacy/content, 07faabcafda309b615198d4b582b9cb3}
androidx/savedstate: {androidx/savedstate, d81e89465de8c2fd23376893a9e58a11}
androidx/documentfile: {androidx/documentfile, 405e864284a52aa0ff49fac74ee2910d}
androidx/print: {androidx/print, 26f5f8b102a2f3012b8e62df0ea2094e}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 465b910310fc0ec31fae6a8fc3644b4e}
androidx/tracing: {androidx/tracing, 2d98630fdd7eab859b703765aa06263d}
androidx/startup: {androidx/startup, 86fcc9acd3be58c7de92432067895bf4}
androidx/concurrent/futures: {androidx/concurrent/futures, a747627292a6de1bb8fd3e1d71f7ae31}
androidx/customview: {androidx/customview, eb3ab367ff2b705c6c43077aca7fd508}
androidx/window: {androidx/window, 72ae345ceb6ccf8521d6c3cc4b97c3cb}
androidx/annotation: {androidx/annotation, 89bbdc285a7755ef31c2bd010e40f482}
androidx/test: {androidx/test, 7512478eed5a1e311a123d8938bb4956}
androidx/dynamicanimation: {androidx/dynamicanimation, c088dee57aaa297b903272698d7ed6ca}
