androidx/appcompat: {androidx/appcompat, c8db957bd2f32c653013fab5d927c354}
kotlin/internal: {kotlin/internal, 799a747207a27429b2142715ea9a8fd5}
androidx/media3/common: {androidx/media3/common, 79fe61bca134ccfa1c084d1eeb458bdc}
androidx/activity: {androidx/activity, c1e33274734d3ef91d3f66d9fb0ae900}
kotlin/sequences: {kotlin/sequences, 51b3eef54b0a8d9fefe984f982163bda}
androidx/preference: {androidx/preference, 643a47ef0c03a380f76b1a305df5f4a4}
androidx/media3/datasource: {androidx/media3/datasource, 6b32d4e76333ace41d8f3f9f3eefb7b0}
com/google/android: {com/google/android, 1cb1987b9e46128a98bff790b5b973b4}
androidx/constraintlayout/core: {androidx/constraintlayout/core, 72f270b56ede4290781495fc5428ff65}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, e2bfe24c17aed3c16fd5c9ae56e55d78}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, db50ebb94cae19863032b6d8ebbf3086}
kotlin/random: {kotlin/random, af435efc57a7fef7fb2e83a9e9719110}
org/greenrobot/eventbus: {org/greenrobot/eventbus, 219097e3afcfb8475db1a262f2c9fb3c}
androidx/cardview: {androidx/cardview, f2458489f7eeff22afc5a4d1ea0c9dca}
com/hjq/permissions: {com/hjq/permissions, 914373da1f56968abe718e547bd92215}
androidx/dynamicanimation/animation: {androidx/dynamicanimation/animation, 0e7ca213d5877080b329cd3562b93c6f}
io/reactivex/rxjava3: {io/reactivex/rxjava3, 6fd9cee9b9e7dc730d60e5610a3b4794}
androidx/localbroadcastmanager/content: {androidx/localbroadcastmanager/content, 4d4b1ca27cf90224fd867408ba4aced1}
com/google/common: {com/google/common, 47a80cb59b53d733cfada57fc9b014be}
androidx/savedstate: {androidx/savedstate, 80062631f34f546a4e87526677a24e9e}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, c58ee3e8e75d664c33946882617ed7d3}
kotlinx/coroutines: {kotlinx/coroutines, 5ef9f6c08ccabe934406800b1e52c384}
androidx/startup: {androidx/startup, 3e65518dc1783a5b4e0396a0c8ec0298}
org/spongycastle/util: {org/spongycastle/util, a7400b01d7a4fd796b0f57f0813bc9ec}
com/joanzapata/iconify: {com/joanzapata/iconify, 7d47cd7f909f78a91bdff363f65fba86}
androidx/databinding: {androidx/databinding, a0734a34f315ace90650568b4550d93d}
androidx/loader/app: {androidx/loader/app, 62009942c2c9759bf956884e2483acaa}
com/chad/library: {com/chad/library, 01e3ae86a5c620d47f199f63271de31b}
androidx/media3/ui: {androidx/media3/ui, 9004ff3c636bd3dcdfe46e6ed3ae68ba}
com/blankj/utilcode: {com/blankj/utilcode, 7ba044542dae1ce81226fdd5aa8f9b65}
androidx/lifecycle: {androidx/lifecycle, cbf168fe15daa039c142590b9afcdce4}
androidx/cursoradapter/widget: {androidx/cursoradapter/widget, cf38e2ca99c27c0f5265ce89f7268cb1}
kotlin/reflect: {kotlin/reflect, 9c6c0b66d6c47154da14ad4cd741c190}
kotlin/text: {kotlin/text, 1151e67d3c4cb803491aaf097580ae31}
androidx/exifinterface/media: {androidx/exifinterface/media, 0b1b31d5f1b768c33d91e6c536e9340e}
androidx/versionedparcelable: {androidx/versionedparcelable, 39a003357f654c009b023116803cbf9d}
okhttp3: {okhttp3, 609bf5ef933d684d901eb6a12ed550f6}
org/nibor/autolink: {org/nibor/autolink, 7fb1c9874ab0d5e874671d9865278a00}
androidx/core: {androidx/core, 5b033d5549564ac2436f49d26d9b146e}
androidx/collection: {androidx/collection, 4f3e27d0a40769c46516d76494453318}
androidx/transition: {androidx/transition, 25139b373aafc8f00cd5660d83ba7789}
androidx/multidex: {androidx/multidex, 797cb40fba3eb3eae6b6451a5904abb1}
androidx/legacy/widget: {androidx/legacy/widget, 82049910e9994fb88dab5c38292b7abd}
androidx/media: {androidx/media, de7a08dd75644f32a909ea1a52a5d9da}
androidx/viewpager/widget: {androidx/viewpager/widget, ff9c61a04bbebd82c06072ab4d2a877c}
org/spongycastle/jcajce: {org/spongycastle/jcajce, d01429ec4c53a0e3e40e82749355fc44}
org/spongycastle/jce: {org/spongycastle/jce, b02a46e96c292ed813d80527661ba783}
androidx/viewpager2: {androidx/viewpager2, 56e713b3f05facac24050c379d33b21f}
androidx/customview/view: {androidx/customview/view, 2e907f344d4890f33f157e50a6f64e32}
org/apache/commons: {org/apache/commons, 96121ee1bab47f03b83ec60e2b13cbde}
br/tiagohm/markdownview: {br/tiagohm/markdownview, 3c9faee8a8d45db985c7a81c90761ee4}
org/spongycastle/crypto: {org/spongycastle/crypto, db90df5aed8eaa417e5f64316d40d8ad}
androidx/recyclerview: {androidx/recyclerview, ce7a56cc994c9858781a0f7c458c496e}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, 5d2a992a6d9a8ab4cdd004d165b1d920}
androidx/slidingpanelayout/widget: {androidx/slidingpanelayout/widget, 827c8a3f43f4b5839bfb6c99d18a5c7a}
kotlin/jvm: {kotlin/jvm, 3482b6fb5f642b5fb49fc6852e9158ff}
kotlin/io: {kotlin/io, bf78859827d5a086e77cdc38f114fafe}
androidx/media3/exoplayer: {androidx/media3/exoplayer, 035beed66660ae8e10e1a3a653c8d04d}
org/reactivestreams: {org/reactivestreams, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/coordinatorlayout: {androidx/coordinatorlayout, a0d79bbb928d28fe6ba7fca65e852be9}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, f3bfd6fd532cf5950a3afede1434b426}
com/yydcdut/markdown: {com/yydcdut/markdown, 50a97b77a97a9df6d81607741a204465}
com/cocosw/bottomsheet: {com/cocosw/bottomsheet, 974d65ec19d6a86f28ce3b534c681c74}
androidx/drawerlayout: {androidx/drawerlayout, d79a846fd1c5bf1646e5a316bbd7ea2c}
com/github/kevinsawicki: {com/github/kevinsawicki, 7082435cbf25decebe8c789eb1316968}
androidx/loader/content: {androidx/loader/content, 37ee0d9962e0421acac49982b3e88794}
androidx/customview/poolingcontainer: {androidx/customview/poolingcontainer, 4fc6632377b181724d9fa8df6ebbdaa7}
androidx/arch/core: {androidx/arch/core, 55a0e04307e025358bc8a45e1f006616}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, b3e695892038c343f934cc2136124bf2}
okhttp3/internal: {okhttp3/internal, 0a70bbf854a690c9a013acf39cc8b645}
androidx/legacy/content: {androidx/legacy/content, afc26ca326b4075d07bfd31afbca758d}
androidx/media3/decoder: {androidx/media3/decoder, d38369d05bb0e8185d0503e7bd9dee15}
