androidx/appcompat: {androidx/appcompat, 611ca414f383712428f27305b52ec7f8}
kotlin/collections: {kotlin/collections, df46233f381fdd522d0743ae928326e8}
androidx/legacy/v4: {androidx/legacy/v4, e0f7a4ed6dfc7d0e3cfaf295ba204dfb}
androidx/tracing: {androidx/tracing, 527e5a1099ab0d5979e7c2f9dc4ec1b5}
kotlin: {kotlin, ee9ff4017eab7ccd2811adc2e73f23b4}
kotlin/io: {kotlin/io, ecf068e30e2a1c353768bd4895887490}
androidx/legacy/widget: {androidx/legacy/widget, 82049910e9994fb88dab5c38292b7abd}
androidx/room: {androidx/room, 6616bcbe835fe2cb20ff93dc1a9a171a}
com/google/errorprone: {com/google/errorprone, 89af1c131d79367df63edd811898f6e8}
androidx/activity: {androidx/activity, 4f981458c4e4812f85978ebbb7ec179d}
androidx/profileinstaller: {androidx/profileinstaller, aec29838289fc29c548cef8878b22783}
kotlin/annotation: {kotlin/annotation, f3950e884821c38027c428fc214a8a08}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, 65e7bccacc9368b24cb944e382ed91a6}
androidx/preference: {androidx/preference, 8285001f9b4ff39b83ce47cc209b175f}
androidx/sqlite/db: {androidx/sqlite/db, 498438d6e612313bcaad03ecb0e7e874}
androidx/concurrent/futures: {androidx/concurrent/futures, 3c772953e3b56a6236452c70b314a7e2}
androidx/lifecycle: {androidx/lifecycle, 1587440ca59da302e2c49bb5bf3ca4e6}
androidx/fragment: {androidx/fragment, 00ed97392253281589dd7772e7fd0a17}
kotlin/enums: {kotlin/enums, 330945101d2d53d1fa98ec038a7980d5}
androidx/loader: {androidx/loader, df455fe6ddf5f37fdf76ace19b1f2535}
androidx/vectordrawable: {androidx/vectordrawable, b0d7b5e4166ee6753875e322404c732c}
androidx/recyclerview: {androidx/recyclerview, bc46829c7a2205a69ef1018f22ff0d0f}
androidx/viewpager: {androidx/viewpager, e98b138d2e9e86d2237e332ffd357067}
com/google/android: {com/google/android, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/interpolator: {androidx/interpolator, e32effd5aad27dabdd49bfe10025a181}
androidx/viewbinding: {androidx/viewbinding, 320e4a218483379fe56d033b368fe113}
androidx/versionedparcelable: {androidx/versionedparcelable, d7eaf16e90ce43d20661c628df1d73f0}
org/intellij/lang: {org/intellij/lang, 72031a0fa55a4d161f71e493a97c6296}
androidx/constraintlayout/core: {androidx/constraintlayout/core, afa99263eb83e80e584a183d520013ba}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 1ede2468e8e188d266c37b0857ecae03}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, 067ea71b0c7013a41b82dbf94e341435}
androidx/collection: {androidx/collection, 4356a2125b31b4f394a793e59643687e}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 7322ad74d1b140c303fc76980c73bfac}
androidx/sqlite/util: {androidx/sqlite/util, 3e6119397cc758ad6a0cf1a3077e021d}
androidx/transition: {androidx/transition, f70971f9ffe12db4b06bb40fa35ecbb2}
androidx/asynclayoutinflater: {androidx/asynclayoutinflater, 226e227b8792b797c41a527f092e30bf}
androidx/cursoradapter: {androidx/cursoradapter, f70b0bfe455d900d7aa0350915fdc2be}
kotlin/coroutines/jvm: {kotlin/coroutines/jvm, 8f460011ea59255f7b61d71fd382efdb}
androidx/slidingpanelayout: {androidx/slidingpanelayout, 78897251937ab67912e552fcb3d02788}
androidx/multidex: {androidx/multidex, 6c9caf201d9fa9a3ecf7aaa7ad7f4a7b}
androidx/cardview: {androidx/cardview, b292a17e37cfcd3237469e93cd508b25}
com/google/gson: {com/google/gson, 8dd175675a23269098907311815de3a2}
androidx/drawerlayout: {androidx/drawerlayout, 3eba39015723dd206647d4a7d4519df4}
androidx/legacy/coreutils: {androidx/legacy/coreutils, 73459e05781063da65dda8c716b44d0f}
androidx/legacy/coreui: {androidx/legacy/coreui, e0f7a4ed6dfc7d0e3cfaf295ba204dfb}
androidx/media: {androidx/media, a2cc46ece9f2612e50e333c23736f846}
kotlinx/android/extensions: {kotlinx/android/extensions, c971b0ca5782d42d321f5b5b3f1db758}
androidx/inspection/work: {androidx/inspection/work, 542dd9699021b2a489ba6c7d8f6e4a23}
androidx/exifinterface: {androidx/exifinterface, d9d90a2329060eb66161de38b66ceaf1}
org/jetbrains/annotations: {org/jetbrains/annotations, b7296e3ac2cd29aea17c5745fa1b4187}
androidx/emoji2: {androidx/emoji2, f81f02ff604830e25b5713c0e3dfcb34}
androidx/work: {androidx/work, c6127430078da41f1f491190178c7f49}
android/system: {android/system, c4e9eeb25e17c46354752ac4239a9772}
kotlin/text: {kotlin/text, 936571aeefbfb4606d33ee297c6d2594}
android/app: {android/app, e079f4fb8febf5b63effbb6583d13a90}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 363168e89d84da10cf86e010ecdedf5c}
androidx/arch/core: {androidx/arch/core, a59cadfb1f89c065a19cfef41c8e88ed}
kotlin/time: {kotlin/time, 754745dc7ff6cf2fc96c6ab14b47a5b5}
_COROUTINE: {_COROUTINE, 969e426354e9bf7a21a6f4cc2ba3b6be}
androidx/resourceinspection/annotation: {androidx/resourceinspection/annotation, a4bd91c515d62e517c2896e81b40cc24}
kotlin/ranges: {kotlin/ranges, b97d5b870d7bb64c5df68182b851ad7e}
androidx/viewpager2: {androidx/viewpager2, 64756f10aaf8b9b098ef890b8774d7ec}
androidx/legacy/content: {androidx/legacy/content, 07faabcafda309b615198d4b582b9cb3}
androidx/savedstate: {androidx/savedstate, 2a77cdfb6fab11cf5b0679b9fdbbed85}
androidx/documentfile: {androidx/documentfile, 6d5598dc025e63a65febbc11bbd8be8c}
androidx/print: {androidx/print, 754a826b573319e717f9bda0a61ba3f2}
com/bumptech/glide: {com/bumptech/glide, 23fc0026b4c343a971e787638bc0514f}
