p2: {p2, 84e9f5b1b9aa99cfe34e9e57a06fc6de}
A: {A, 29cba4f258d254f5edc98575e142571f}
j: {j, cfc72d45f2d11a7869fd34c0ea773a20}
c1: {c1, f16f5cb3c120c53a74f8b22ce1d45b62}
c3: {c3, acf7ef943fdeb3cbfed8dd0d8f584731}
H2: {H2, c905ed4c09d379ac64846a002ec4fac3}
androidx/core/graphics: {androidx/core/graphics, 4afad3f1a16f6578398025c375b9cd1a}
androidx/lifecycle: {androidx/lifecycle, c7894ba082db7d3fe08a94310986fef4}
l1: {l1, 8a169c280ea5aa2dce34e624bbfff9a7}
androidx/datastore/preferences: {androidx/datastore/preferences, b7d42c7630e27bbf07a20cc5169b87af}
J2: {J2, fd5a06100bbc70d54e07ca25564d8b48}
o0: {o0, 4afb6e81866f1d85ae4f902207c54106}
androidx/compose/ui: {androidx/compose/ui, f1f29c4edb6094e79828d87d9a8813cb}
K0: {K0, fc3534f5b721510255a5042f9cda7c90}
R0: {R0, 8aa15e360b5ab640d8e74c1a94eb005d}
y0: {y0, e7d6a48e3e6b2d9dd3f26553f0da61fe}
P2: {P2, 9e602e892c0e6bf7db665e6aaa6c4658}
com/google/android: {com/google/android, 94f5519214b0316ecdee6d8abae9472e}
Y: {Y, 6a9acb4c0bad9e6950eb3cbfe70b1ff8}
H: {H, 62a44c0d66ad33d3902f0692e92c83c6}
z1: {z1, 85476f778fc1ebdab49e52a4e905f7b9}
t2: {t2, 69adbeb4edc2c5edcb4fe4af23849fd1}
w0: {w0, 4c1611afd11c735dae77eb76e3757b8b}
com/afollestad/materialdialogs: {com/afollestad/materialdialogs, 60f76f54e97d4757e5cf3ab4abeb0f4b}
r1: {r1, 0e76cf2c5ce1bbf9227118afb56d0378}
Z0: {Z0, 52f84c3a270bc1bc3b2f14ef69d2dd99}
A0: {A0, 6dbac5e557f1e431ad3ede1cdd96c911}
android/window: {android/window, e079f4fb8febf5b63effbb6583d13a90}
O0: {O0, 75249dcfcea13477ad7e2dbef6576f0b}
I2: {I2, 49b93f2050f66ed981766d85aeab76f5}
d0: {d0, 546a33da73524cca910c8bfedbad3e01}
b: {b, c47d9ca81d2a28ffdb6f8cd82bcd21b7}
J3: {J3, 2504eb8f694400f38c454be00da4b50e}
k: {k, b505eb7ccf349775b40c65c914ebf0a9}
g1: {g1, dfeb8c23a20731e9fbcfbf28b235fe78}
c0: {c0, e94af54d1e73cc01a4b6ea7d15fd6de7}
p3: {p3, 320784318a64d19c963dc299e9555c60}
U2: {U2, 156b43bb56684bdc9c092861764ddbce}
Z1: {Z1, a4629b5e280add62b072f76767848231}
b2: {b2, cdb6de5a1f28f22ad32c6ac16d6621c9}
H3: {H3, 2020956e280d269920e9b8ee635eeba4}
R1: {R1, 3eadb0867ea9795849fcb6b698ce5491}
l2: {l2, 39753bb7765821f2cf6d1abde7e236e7}
i3: {i3, 7721330296042554d2f7bde32e310d03}
V0: {V0, 6af84db48c276c01126dfb7d180ce7a8}
D0: {D0, 155e2e095fe0325a3f06f3cc10490ada}
o3: {o3, 3c12fc6b8f55fab0318e6b22ba73f244}
B: {B, 639a1d03f2ee374de278ab9fd5bfacc2}
G3: {G3, 3c554f523844d9449a4c0de3afbda8f6}
androidx/compose/foundation: {androidx/compose/foundation, 3eff5aca7a26b691cd6ae9abcff7848a}
t3: {t3, df1d20d8818ba3182ef4dd6d8d556008}
j2: {j2, ce3047c2c2137fa68ea7cd5ee058cb43}
v3: {v3, acf7ef943fdeb3cbfed8dd0d8f584731}
h2: {h2, 370a5b66ac642c48758f21840d083d56}
u3: {u3, 861de7311c42213754fc02ce9292b8ef}
r: {r, 5eca10bbed23616ad9055e525ec2cb6c}
androidx/documentfile/provider: {androidx/documentfile/provider, 3042308ec8d13ee13a70738aaafef77c}
androidx/startup: {androidx/startup, 08c5775df7901f348750f14f4def3be5}
Q: {Q, 80ca946950fb765be4cf6f87151a37dc}
w3: {w3, 7dfeb841cd8fa53e8c00332ca9f1aaf1}
z: {z, b94c1b716542fa45c9ee287222efb104}
I3: {I3, fe456865b6891aaa318d40c2f89c130e}
d1: {d1, e530fa52b5027d64b0455b3c508da1b7}
c: {c, 0ab7ac18a3e8e6c61e91c96343b16509}
k0: {k0, 4de9ee589b94edde5a4735920110bb2c}
V: {V, 36f8549a95fed0fb8df5c6a954831c20}
g0: {g0, 7d8b1c8b1a6e6ebabe2a6b7034ed3969}
I: {I, 0fc74a0675f04fa4e911c07cc45f380d}
J0: {J0, e5e4fa91f9b96be6937ee5d2e04e24a8}
x0: {x0, d70e597bb8c27cc17f03233d86b3c3c8}
b3: {b3, 05879b8f759f743dfd12a0881cce8295}
androidx/room: {androidx/room, 069cdb710880d9bf5d0584e1f0bc49a5}
w2: {w2, 19ef8ea0917e4a54faca340c643ce9db}
com/w2sv/navigator: {com/w2sv/navigator, 64ab2fa89838c8caccc97d7a59161918}
U1: {U1, 0a9c0acf2f28e86be108129ec82b3e44}
R: {R, 825081c00857793f00d83a706f762bc4}
androidx/core/widget: {androidx/core/widget, 1f16590e364a9a9fd3eda4abbc31a9de}
X: {X, e4c6ceb0370e3aeb7ee741e99623e977}
o2: {o2, 165e7d87bfada842789c46a7cafc55f1}
m3: {m3, d9b60710f50923ddd27ba7b908341f42}
i2: {i2, 35e8a8b0a3d189ab9c7d321623430cbd}
S2: {S2, 28140727a17e6f5000399581a3273cb7}
K2: {K2, 826405fb98c019fd09679438a859713d}
D1: {D1, 6da97354bc06b7e19871c318bdeb6dc1}
C: {C, 297c844480623cf47fcdc4bf3997908e}
t: {t, fde3d2f7885ed337e19d9aca88115003}
g2: {g2, c6480c2b2e80561cb4647611d5ec11b5}
V1: {V1, 667672463bc9fa73ede2e905bc980ba6}
j3: {j3, af80fe0e0f00ca9eaab6233e7f9ec8a1}
J: {J, 44503d8a271a7ff32b0b4aff17af005c}
C1: {C1, aed2e44ecd24440e060618498e945cdb}
u2: {u2, aaff8573c8841f0f9619713cbbb687d7}
s: {s, 73504b65be47e29e27466c2ec992d056}
W2: {W2, fbcaf9036ab930fb06cd1fce994a6143}
Q2: {Q2, 32459bd6189553d620720505e2cc910d}
h3: {h3, 2327ef91833c50b698cffa81d83a4985}
n2: {n2, 9c42d263b7934c1e6729e73908a4e0fd}
L1: {L1, c4bfe6667ad1e110a6178d32a30f3327}
k3: {k3, 30a059febd79ab1e270d8f5540972365}
O2: {O2, f6c6a7cd55b3ff02c3ad7d995d3d1018}
L0: {L0, 1d0988602cc0165f306f5588cb61ac6f}
l: {l, d7de5f22015a19a245da1de34d33b69c}
androidx/compose/animation: {androidx/compose/animation, 352d23252773adc6f1edb045737022c9}
androidx/compose/material3: {androidx/compose/material3, f770e0af11c987ee68be48b5e84c901f}
S: {S, 6d1294f7bd07a83e4ae7df3ca40bea09}
v0: {v0, d94dcefe75004cbdb028169d2a70b380}
d2: {d2, 961c0fb411fa1af5036f87f2a791e6c3}
Y0: {Y0, 93934061def385f6b3f2fdf8d1257686}
q1: {q1, 0fda97df92749dd0aaa9eafb31269df5}
U0: {U0, aa38bfd1fc693ce9c04199d378f9703c}
x1: {x1, 0f8f7c7a078d759b24b09d6263e42100}
g3: {g3, 66453a74ee11b6835ec08d5c32aa7de9}
n0: {n0, 1239f16f57d2bc504e74c01510fb506c}
I1: {I1, 66cd82da1d52b8d806492fdb18b24106}
Q1: {Q1, 256cc684a66ebc107511a92c44ee1e01}
D: {D, 388a4213a8ed7e3f429d9144420fd574}
b0: {b0, 5882c672a8770e63a5d4f5ade8c69a60}
N2: {N2, fb6aaf45eda24a8ef1ae4b8bdf9853ea}
m2: {m2, 42b39d40ec7632d5079c335c1aa4f9ac}
L: {L, 8f6cd067bb2614108a493a7ef69c5d65}
F2: {F2, 3426ee7be67f590180b0978a685ea47c}
androidx/emoji2/text: {androidx/emoji2/text, b2c51b863d1a258a674f65013b4f9f76}
J1: {J1, 7f890fdc930972c1570edac9cbb7f431}
D2: {D2, a1d2c04225a4903ae74e2399446664e3}
c2: {c2, 99f24d972d276a127b3755ec75101b49}
a3: {a3, a54982c3a9adb48df721ee8c70a352d2}
K: {K, bc632eff5fd1f4a7ee6aec96632a94e9}
C0: {C0, 0b061da03dc181422d1e1a08640b4232}
j0: {j0, 685d3eda375b2f88a8f7e1e7b56ecbdf}
l3: {l3, 97755c4c23bcf169b6f12405d10b0005}
B2: {B2, 97b391ff6c830718727e26bab89b8a32}
n3: {n3, 4f193d30b4b63a3d355d086a4bf8124d}
u1: {u1, e91739f73bcf1a14d94abe5f32d1d743}
e: {e, a80678e616bfad397611db97a8622527}
d3: {d3, 9713ed38339444d3c83e0dd8cd942f0d}
l0: {l0, eb56c75bb8e10cf7d331f006343ec90c}
f3: {f3, e801116d7b34c8b761347c7278283844}
L2: {L2, f9e0ab8078c4ad8c4260cfc97eaa7a70}
k2: {k2, 2e2a56391abeb99be6a6b650d50f0018}
m: {m, 18145b25d8f48c6578c1c8954cd57b62}
e3: {e3, a13c585022bff79a32a951068f5394e0}
f2: {f2, 3325d3b7e09c30a75bde651012f66802}
v1: {v1, e9c829f341a27da9e9ddd31de3695bf4}
b1: {b1, 23a0f5455511e55e3d3fc9c4798d82ff}
q0: {q0, 07392e2c685f311085d553e48215e035}
f0: {f0, 72451e446d3e2dd98f5f781a7b3aa631}
androidx/core/app: {androidx/core/app, ce84b6a9787c9e0e8c1c6ba8fe27bc1c}
androidx/profileinstaller: {androidx/profileinstaller, 8144bff2f5fbc63585c14c19d99588db}
I0: {I0, b61525a8a3520d07de5a4ff1f047b2c2}
D3: {D3, 2521204b689c7473b024473ecc4cfcf6}
z2: {z2, abaa0cfc40dfcd466b375c60039aef28}
F3: {F3, 552f62253a3415a0ec36b85eda622af5}
m1: {m1, 9f112efb1ec14cac79653b4f5baa99ae}
M: {M, b52a4cbb433db81b8dc40d86034a20b4}
x2: {x2, 0a701be4adcb2d855931dd4221324ddb}
v: {v, 175f3fc98a0c63a6707f691eba771a05}
E3: {E3, b501912f785e9f0f11910fb26162a5e3}
a2: {a2, b25265399b0ad6f9db6a967e7766af5e}
android/view: {android/view, e079f4fb8febf5b63effbb6583d13a90}
androidx/appcompat/view: {androidx/appcompat/view, 0f7db388a9124535a6f6325dcf850342}
G0: {G0, d26085a963f7f4d5eb3b7b36c0d86ff0}
P: {P, cbf506f3c43f822b996b107034125da9}
u0: {u0, cc1da55366412c001f7055a5781551e9}
Q0: {Q0, 5c950b1fe5f422322eb6deaaf78f7176}
X0: {X0, c1d30f9e67233b4dd3c0694e9986205d}
B3: {B3, e376c4bbf5c21f78992c53d71d17c986}
i1: {i1, 99a72e1a859576a65428cc9d7a14c0c3}
T1: {T1, 4de5fe811f5eef8305785d2d6f1581c9}
n: {n, 08474d5edfb438c6deb276bb7392e554}
s1: {s1, 66a7d0799e0be6bb32418ff44088d4ea}
androidx/appcompat/app: {androidx/appcompat/app, 3f3ab22244848a0c2a85497200846a4a}
C3: {C3, eda2bbc7918e40fe48f82c796202158f}
j1: {j1, cfccad42deb1644fdfe7f662fca63823}
u: {u, 45629e94d5b4efdf28c1dbe180db58ff}
T: {T, 0a6543c50c68c04c320abc182956ce8e}
N0: {N0, 33ba1dd148a8c2f26295db2b18477298}
y3: {y3, 03f90811b7aa50a5099a1999185bf861}
T0: {T0, 11cb110cee3bb5e9ad98c06bd8f0c57e}
o: {o, 2133cdd7314762a5f3ae458e2599313d}
f1: {f1, acefe59faa175ad811bd426bcaa202c3}
z3: {z3, b86031a22b2935bcb645e52d0e8b7d4b}
a1: {a1, 8c4773e859196083e2774ec4e979665c}
N: {N, 212f01dbbe9b32f7ad3b262be0818e96}
d: {d, afeabec246f0d0a43f4512c1552ac4c9}
w: {w, d072d11bd77621968470262de0cd6786}
S1: {S1, 1f41103ba46e9cf52e6335b38f0446a3}
E2: {E2, 90e60dbffcce1f5cfdcca03c59c8c0cd}
x3: {x3, d48f400e0b5c4a971ca6ffb5057aa512}
com/w2sv/filenavigator: {com/w2sv/filenavigator, e91d38ccdbb02fb4fe7bd9f497e85575}
y: {y, 5956084d70e4074130ece4437517dc0a}
X1: {X1, 668c025d783fec35450ab31337c80609}
g: {g, f418121b4381f730e69f6d24446f0e15}
n1: {n1, 9d43eb278dd2b62e0a8696bf91278239}
androidx/appcompat/widget: {androidx/appcompat/widget, 2293fabfac3d802a6518de3ca35d837f}
B0: {B0, f652d1f8737611ee2daef9881008ed67}
M2: {M2, 08537e45120f1222640f0134b4ad5397}
