androidx/appcompat: {androidx/appcompat, fede920c5dfe39bd2d12e0f34adf1bc6}
com/jaredrummler/cyanea: {com/jaredrummler/cyanea, c95e38ddc6593bd23901b21312860a5e}
androidx/arch/core: {androidx/arch/core, a59cadfb1f89c065a19cfef41c8e88ed}
androidx/room: {androidx/room, 4e5037adde250213eff14d29495eb101}
com/google/errorprone: {com/google/errorprone, 490aec19a7c612fd9bfafffb9dacde26}
androidx/activity: {androidx/activity, 24714f0692a73c4125ea7af8544c2bf7}
androidx/profileinstaller: {androidx/profileinstaller, 56e264b0aacfe9d185fa2dd0f1d30eba}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 26c1c81ebcfa607e14f5e7372582f16b}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, f3b63439f69b169b5ec5a82863e30091}
androidx/preference: {androidx/preference, ec4923df778edb5f128e930ff47f5c3d}
androidx/sqlite/db: {androidx/sqlite/db, a3cd2360e1207a4827cd38ac8ed6e73a}
androidx/lifecycle: {androidx/lifecycle, 6bc11b84eb0eeafb1e7ebadcefee354c}
androidx/fragment: {androidx/fragment, f4d7bfdeac15a08c51285ff2e289fbb6}
androidx/loader: {androidx/loader, cf5b07bc079d10903e89e42a9ddbe74d}
androidx/vectordrawable: {androidx/vectordrawable, 69d3f31d010a05bb75c2c6c003a5048b}
androidx/recyclerview: {androidx/recyclerview, 51df900a7bf86d6accd14128b6ab13b3}
com/google/android: {com/google/android, d8e09462ab8281cd77fdf945088b28d7}
androidx/interpolator: {androidx/interpolator, e32effd5aad27dabdd49bfe10025a181}
androidx/versionedparcelable: {androidx/versionedparcelable, 35d15b808d818dae4ead63913a1bd71d}
androidx/constraintlayout/core: {androidx/constraintlayout/core, 5163508e56521830a4454d24092b6de0}
androidx/core: {androidx/core, 09a4d3c39def459363011206821de49d}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, 68b6b7cd9f7794226a85814ec4dd01c2}
androidx/collection: {androidx/collection, cd648389b6965078c352db5968abf416}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 212afb512b0f35c7dafa0cdb92a3ed1d}
androidx/sqlite/util: {androidx/sqlite/util, 3e6119397cc758ad6a0cf1a3077e021d}
androidx/transition: {androidx/transition, b032e95268cd23e66fc214eae113dd7d}
cz/vitskalicky/lepsirozvrh: {cz/vitskalicky/lepsirozvrh, f92d9246a32bb3e76322c45971d48118}
kotlinx/coroutines/flow: {[kotlinx/coroutines/channels, kotlinx/coroutines/selects, kotlinx/coroutines/flow, ], ac9c542684f271e7215c00369bbb793e}
androidx/cursoradapter: {androidx/cursoradapter, f70b0bfe455d900d7aa0350915fdc2be}
androidx/slidingpanelayout: {androidx/slidingpanelayout, 5eb9a92116f57a5d2877679bf599c44b}
androidx/multidex: {androidx/multidex, f01b292d4ea30f735433ceb655b4e0a6}
androidx/cardview: {androidx/cardview, 8638456dbc08541c4528854eed91d17e}
com/jaredrummler/android: {com/jaredrummler/android, 16f204f5c44d88fb767f211344897873}
androidx/drawerlayout: {androidx/drawerlayout, 987e4ee6a3ff40904c8285b1897fbb51}
androidx/legacy/coreutils: {androidx/legacy/coreutils, da1c5c0e9e4d4de1ee6852a39fa1fee1}
androidx/viewpager: {androidx/viewpager, 02cbe8e336f7b04509987e6a69bfee8f}
androidx/paging: {androidx/paging, 2d2b2db2f11aeaaccf372c93f6963da9}
com/fasterxml/jackson: {com/fasterxml/jackson, 79745cf26b8d00f40079e536becd8784}
androidx/emoji2: {androidx/emoji2, fcab8e1b19f0fbe0d20ffeaa21630a1e}
androidx/resourceinspection/annotation: {androidx/resourceinspection/annotation, a4bd91c515d62e517c2896e81b40cc24}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, a22b0d1d9c5868b05d3511cb6d43735a}
com/google/common: {com/google/common, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/viewpager2: {androidx/viewpager2, a656d6f7d121fe0a71228476f33d05ae}
androidx/legacy/content: {androidx/legacy/content, 07faabcafda309b615198d4b582b9cb3}
androidx/savedstate: {androidx/savedstate, d81e89465de8c2fd23376893a9e58a11}
androidx/documentfile: {androidx/documentfile, 2c6f2600d5fec5372b08bd634a4e9835}
androidx/print: {androidx/print, e261ca456bbbb6e99177e5d4f1599fe4}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 481125355970f8d4a7712f57c19bbdf3}
androidx/tracing: {androidx/tracing, ac1c138f12866d9ca29cf68dba999565}
androidx/startup: {androidx/startup, 86fcc9acd3be58c7de92432067895bf4}
androidx/concurrent/futures: {androidx/concurrent/futures, 7b929ee65567b82a978992a4de58d565}
androidx/customview: {androidx/customview, af2508fb39756721d8e6296be514d7df}
androidx/window: {androidx/window, bc92bf9820dfabaa394b76f3e3bc8f4b}
androidx/annotation: {androidx/annotation, ed9f67e5ed6a73479f4a08cc73aa55f1}
androidx/dynamicanimation: {androidx/dynamicanimation, 20f96d09e72abe2920cbc1935effdba5}
