a6: {a6, 6265f20cef49a19892b3f8c6ee8f8f8b}
p2: {p2, 930cf8a54e85461ae72b50eb5c5a46f8}
cn/carbswang/android: {cn/carbswang/android, b0f012a5863d18f8c30fce982df39d4b}
d8: {d8, 39ddb85b0a93c5d15d15a734b2968372}
androidx/appcompat/app: {androidx/appcompat/app, 6519b5238011f7fda9c993812c6cafa8}
j: {j, c62782c48c625627b06c43da99e774bc}
c1: {c1, 1bb56d774547916290f19ec59f54bb3f}
d: {d, bf2caf571a5f12dcc7e77aa8ab12ed82}
q4: {q4, fb43e2cc22861e91e4bca0fb529f532a}
androidx/activity: {androidx/activity, d9d068862b694ffa1fd3fae020ed76f6}
x6: {x6, a15c43a1081650d60e3f1dde95825b2b}
l1: {l1, febabec270d71073750ba9774b471f45}
androidx/preference: {androidx/preference, 2a36a13099d68ce05402ffd8f27b23d6}
i4: {i4, 61151653d61a4cf3801639c4ef9072b2}
javassist/bytecode: {javassist/bytecode, 0d91404a5eafdbbe18e3eb713971e635}
com/davemorrissey/labs: {com/davemorrissey/labs, 64e21cd5377341938a1350110d19e23e}
g6: {g6, e4120a3ef775bfdcbf3cf98f22712a77}
o0: {o0, 09c00a7e7ef1b2e690a1424c1f1fdefc}
b5: {b5, 81de331e84a6abeadba0a54f14b51edf}
bentleyottmann: {bentleyottmann, aaa1d48ef86c7ce9497ea3eb63e9677f}
com/google/android: {com/google/android, abb06626c4125cfd4c2e3d0010356c7f}
okhttp3/internal/http2: {okhttp3/internal/http2, 39120155c12bbb8303cb14fef344b2c8}
ch/poole/osm: {[ch/poole/osm, ch/poole/conditionalrestrictionparser, ], c0f7ee252f78c3d8c61135b4dd656d43}
v2: {v2, 445dbe5f1fe784a5ff7606249c749fb3}
z1: {z1, cf7ca21f3fcd47f6fba6179f9df23ed3}
m6: {m6, df1d20d8818ba3182ef4dd6d8d556008}
t2: {t2, 3b5a694bd0f84a7add77418e837bdbf8}
w0: {w0, 4bf2e0be912f7dc0a53cb241245e1d3f}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 40ace304368f1085a1ce1ff8e0e3fe6a}
r1: {r1, 3033a249870f03fd30a589aa804f5d4f}
e6: {e6, be99e75c29e16d1eb892b5f0ed6cc26e}
kotlin/random: {kotlin/random, 2c45dca0247ee5957a522a1667992f62}
j5: {j5, 5d47acd709d08b1f0f90fa20bf2eb988}
l: {l, 07664d8903d341895487ad49e3187a59}
androidx/appcompat/widget: {androidx/appcompat/widget, 93768e6311a4bac2d2bb89ae828cd8e4}
d0: {d0, 3b80bc41799e4f7ebd57c3f72b9bd27b}
b: {b, 7d6d19404067792261d2e40bea10afbc}
k1: {k1, 751e9d85df4c30790e2b73e1a2d65fdd}
com/mapbox/geojson: {com/mapbox/geojson, dba9eb99febe1a1a88fd8fbb7f70f7a7}
k: {k, d4beea16b4641cd0c5feaa58d3714055}
x7: {x7, 51be5169015a3dc97d437fb776de833f}
g1: {g1, 4c95a725967c553a1dcfd8d5d0694562}
c0: {c0, c4471c421e064a59dd738eeb86f01deb}
a5: {a5, 6011cae41058f7a6f086d493c6a7e721}
p3: {p3, 9874cc4f69280b5736e558c46855c93e}
e5: {e5, d1e6a00616a3a3f43a5b3f1d0fca61c3}
y7: {y7, 3837f24b2f82cb9873ca7fd923242a49}
q3: {q3, d1af5eebd434332bc5d0b2936cc2552f}
androidx/cardview/widget: {androidx/cardview/widget, efbfb14e9f4a4bf926d0fbf57cc68fd1}
l2: {l2, dcabe67e587da991a7a9fd90a652c138}
i3: {i3, 1c945c21cb138e88aa6fb5741091ee98}
androidx/core/graphics: {androidx/core/graphics, 2e65f961c906ba1a35a2a2c5f73898a7}
o3: {o3, be73d6f21b08ce9fadd00ad9a7d79a80}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 6c166b920de8ff6970b6e18635f4c626}
androidx/savedstate: {androidx/savedstate, ed490fb569fc036480f79bc7cb5f9fbe}
m5: {m5, f1fbf6430e531dca839e39540f4d9b14}
t3: {t3, b46d5f0b5593a8560485d2630a46c00d}
j2: {j2, 3f0d31efc81fb69ea9fd5a91f217d8d5}
v3: {v3, 06fe3546375d9d78ec58c34cf3263a9e}
f7: {f7, cb07ecf095eb5408fb5ce43362b17144}
com/caverock/androidsvg: {com/caverock/androidsvg, 1a031b68b355ad93d3ae63edbeaa33f3}
h2: {h2, a717e7451f389933a3b7f8ada5290695}
n5: {n5, 0b243b949e190c148c6e77c2ef19cd53}
u3: {u3, de1f12a1e02e35aa17521451a1567b11}
kotlinx/coroutines: {kotlinx/coroutines, c39f08554a503f75bdfd0d4a592d63e9}
r: {r, 95bc92f033fd38127ec505dfbc07e8ea}
d2: {d2, b8e7dde14f142bd40349f38f6b0b23cb}
f5: {f5, 20ede0a4555fc0751fb1f34ef9c4bc0d}
androidx/appcompat/view: {androidx/appcompat/view, 24bd9780ce71258284845d932577d766}
w3: {w3, 6e8142e01373129f702d380893fed1f3}
z: {z, 7951eac9176316a72e95f65972bfaa31}
r6: {r6, 63108245089ab4390dfc5dcb4c772852}
d1: {d1, b901eaa170fb5708b1bdb03561bbb8bc}
c: {c, 6a3bf63b2960744861b9b5ecd1073ea6}
org/acra: {org/acra, 2eb593fdee5365c6ccd5703c1041b71b}
k0: {k0, c455b7190671c74efc51f6886123c758}
io/noties/markwon: {io/noties/markwon, 21a427dfe4a0cc99fedbc6094369925c}
g0: {g0, f8a2fab01c9a3d6e0866cc727e51424d}
androidx/viewpager2/adapter: {androidx/viewpager2/adapter, 359d35646220e525dde5ce0f5407d17c}
androidx/emoji2/text: {androidx/emoji2/text, 20d6c011e1f8303c4cce47a7f62e274f}
x0: {x0, d2a64afd236667d7e1737b8c526a76a0}
b3: {b3, b88332b6ab7d44f52d8d6aef92a3d2cc}
androidx/room: {androidx/room, f28bae36be3f660e692ff177c419f008}
w2: {w2, 3a176bfe89dd3d6d1be62e0c04185ad1}
q2: {q2, 5d5fdc567bbeb8d837d548bdc84ae1c3}
e4: {e4, ee6607d1b3f973b8db90e3c32874e8f5}
org/commonmark/internal: {org/commonmark/internal, f9473d720c428f71af930e1cf1006cd3}
androidx/core/widget: {androidx/core/widget, e141b63623a2e96d7cf01a512633d92b}
o2: {o2, af0cb1fd3a40bdd06360dc07408cb342}
m3: {m3, c4ea3de095645648aac405152fabd244}
i2: {i2, db834ea19362fdf539e72d41635b49bc}
androidx/lifecycle: {androidx/lifecycle, 5265066bcf6859859f487bf974a7bebd}
com/heinrichreimersoftware/androidissuereporter: {com/heinrichreimersoftware/androidissuereporter, a40cc57721041a703250fe420cde89fd}
c3: {c3, 533b200bb6678d6d16a655de05a108e8}
a4: {a4, 06373e35a63dbc9042902dc4b2fd5a46}
h4: {h4, a3dada2ea222f542969b25c3d3520538}
t: {t, 1f91bd83ca858a7f2ff4e409ed12e730}
g2: {g2, e3c0a425ec2c47b67599a8ff5554c565}
androidx/media: {androidx/media, 43743cfdf57157354d0dd8cb051bcada}
j3: {j3, 1c9dab479fbd2a30a1da0baa32a27d44}
me/zhanghai/android: {me/zhanghai/android, 6c2c019da120fe8dbfe99e7c127ce9a7}
ch/poole/android: {ch/poole/android, 75f5924603e5fdbaa2c6c8cd1117dd5c}
m4: {m4, c061fa15737d98f5358b73b5ce3236d4}
androidx/versionedparcelable: {androidx/versionedparcelable, 9d566c8bb72bf85d0f4cf8e4e857ebc9}
u2: {u2, 39ced12e65de6084938df50237327519}
s: {s, 3cad4a502a737a641a12226c23a1b2be}
c8: {c8, c531f65e3e495ea1ff18e55f04848df1}
androidx/startup: {androidx/startup, 7360de66450581111c622e4dcc770764}
h3: {h3, 7336a72d319a556c4d7db427a5802fa4}
n2: {n2, 117dee854ec4279639fbef8ecff9f4d5}
k3: {k3, 00ecb99a3cfbf372452ebf25e3442e3c}
p4: {p4, 731b5026971ab1780997e71a6fcb2ae4}
r7: {r7, acf7ef943fdeb3cbfed8dd0d8f584731}
y0: {y0, 48924ef2120fc1e7446abe53f394e799}
f2: {f2, e6e61d3352f90db44948a47e0776c6f4}
g8: {g8, feb21117b6bd5a00f532f79800f38d60}
v0: {v0, b8c655184e910389d9aa18a6cfe07443}
com/google/protobuf: {com/google/protobuf, f7d4ef31f6ae97b2081154ef7da98f09}
androidx/multidex: {androidx/multidex, 2f0e7488644b77327f326f644d5d9e0d}
s7: {s7, 6ea44582a2884d1634b731412df8ffaa}
io/michaelrocks/libphonenumber: {io/michaelrocks/libphonenumber, c1e15d53aebdc2d341070b181abd33b6}
q1: {q1, 9d20245f458662595514c9aea6917ad6}
i: {i, 4d2d76a728adbb46be19ce38ed092ac0}
x1: {x1, ed15febe4868ca8cd1552d004129cf8d}
g3: {g3, 664bb3ff938304e614687a18dfacd261}
androidx/viewpager/widget: {androidx/viewpager/widget, 30e835e632b0e95bf327ce8d35235829}
