androidx/appcompat: {androidx/appcompat, 9bb443db6c8311e713a7342de390bac3}
androidx/legacy/v4: {androidx/legacy/v4, e97521e81a9f1d37da0597160bf5ab00}
androidx/legacy/widget: {androidx/legacy/widget, 82049910e9994fb88dab5c38292b7abd}
dagger/lint: {dagger/lint, 542dd9699021b2a489ba6c7d8f6e4a23}
androidx/room: {androidx/room, bfdc16296b5b431525d733964285782d}
androidx/activity: {androidx/activity, 52e6f8a5e1cf55b653aebc2843b1dd66}
kotlinx/serialization/internal: {[kotlinx/serialization/descriptors, kotlinx/serialization/internal, ], 020eb29b524d7ba672d9d48bc72db455}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 38519d74e9cf8cca947bfc4f03eb4c5c}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, 01a570081a092074c41f3b508af5cc8e}
androidx/preference: {androidx/preference, 4468857bd1c4f6a41c8c7ce1fd38c9a2}
androidx/sqlite/db: {androidx/sqlite/db, e5d930ddf5077500f45799b6d0fcd7ae}
dagger/assisted: {dagger/assisted, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/lifecycle: {androidx/lifecycle, 10d11837b60375d99c48df0b36ea90af}
androidx/fragment: {androidx/fragment, 53d37794bc80fab545dc97e9ac917f6e}
androidx/navigation: {androidx/navigation, bdba8f909873384adf98e163736d6a9d}
androidx/loader: {androidx/loader, 904cd75d460713f8eaa0c0fe8d62fabd}
androidx/vectordrawable: {androidx/vectordrawable, 435ec4a5f2e2585a424909e3f22502b6}
androidx/recyclerview: {androidx/recyclerview, 9aee30f3cd714592ba29309843861232}
androidx/viewpager: {androidx/viewpager, 9512806ee9ea7af5edf5c9c4cf48b25d}
com/google/android: {com/google/android, 692b1eaa066573486ba115219fb3957e}
androidx/interpolator: {androidx/interpolator, 9520954530ce7215903ebf692e2215c5}
androidx/viewbinding: {androidx/viewbinding, 68bbcc46ece24dd0a1e3607c393ec27a}
dagger/hilt: {dagger/hilt, 1e49d99d421a58417a5bfd3644734fd1}
androidx/versionedparcelable: {androidx/versionedparcelable, 338b9d4d9818a64a328838b96ee5c4ba}
com/daimajia/swipe: {com/daimajia/swipe, c87d4f4f8f4508969b2a7045dfa54be9}
de/deftk/openww: {de/deftk/openww, 2402adbbdd1d676d0b3b14196af55cb8}
androidx/constraintlayout/core: {androidx/constraintlayout/core, af0ade60146ee9e4d606cf27315d5e44}
androidx/core: {androidx/core, b974892e2654835a5cc2d9873b5dc389}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, b7709eb519ac970724449bb63c71177a}
androidx/collection: {androidx/collection, c6efb538eeea7afe892a1d57bfd76389}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 1b94a8a1bb313b7e779c92fb8abfd2c0}
