butterknife: {butterknife, d092a256e325d4a8339503ba5f420061}
com/mikepenz/aboutlibraries: {[com/mikepenz/aboutlibraries, com/mikepenz/fastadapter, ], 1b0b0c3cecf0c2b5d2879f541e8380df}
rikka/materialpreference: {rikka/materialpreference, 06c915e2d865f5a4841b74bf5ec6cb8f}
com/sbgapps/simplenumberpicker: {com/sbgapps/simplenumberpicker, 3f7790f3d82c2144f930c62f960087b4}
android/support/transition: {android/support/transition, 542dd9699021b2a489ba6c7d8f6e4a23}
org/greenrobot/eventbus: {org/greenrobot/eventbus, e183de0eb07993539644548deb91289c}
dagger/internal: {dagger/internal, e32864882a8f50e6eb4d080f94d64abd}
bolts: {bolts, 1ccf1e32023937abdc8b601fa1571546}
dagger: {dagger, 685fd81d90774321320e3c9a48d1c6dc}
android/support/v7: {android/support/v7, 64a696bd1f66a74a340390d135d9acf2}
android/support/percent: {android/support/percent, 0d2620213f8486a7e32a9611c3e3ca01}
butterknife/internal: {butterknife/internal, 50f28fa1e2325bd751c34c003ab2ea8f}
com/facebook/imageutils: {com/facebook/imageutils, 4293fc10f2e9886883b408cc0ce02456}
me/grantland/widget: {me/grantland/widget, 2c97de043a8b172078cf33cf42eeda07}
com/github/mcginty: {com/github/mcginty, e3929d5065aa2ac688baaf44859b1d88}
com/mikepenz/iconics: {com/mikepenz/iconics, b0fd8d3842c404c476880584707d69cc}
android/support/graphics: {android/support/graphics, a8977f71b1a3e650843dfd49eddc2476}
com/google/common: {com/google/common, 4f2941eb695b5207e2baf992d2092c29}
com/facebook/drawee: {[com/facebook/common, com/facebook/cache, com/facebook/imageformat, com/facebook/datasource, com/facebook/drawee, com/facebook/binaryresource, com/facebook/imagepipeline, ], 2c71303cf1e980f7593627e7a937e2c0}
com/travijuu/numberpicker: {com/travijuu/numberpicker, 864375b8c84c5d332862ea06cbf84c06}
javax/inject: {javax/inject, acf7ef943fdeb3cbfed8dd0d8f584731}
android/support/design: {android/support/design, 43acc4f2a6163c2313ddbeab61fcdddd}
com/facebook/drawable: {com/facebook/drawable, acf7ef943fdeb3cbfed8dd0d8f584731}
com/google/gson: {com/google/gson, 3acbf3a3bb2f79ea55c3138c387f7b4f}
de/ktran/anno1404warenrechner: {de/ktran/anno1404warenrechner, 6c93c619aa6efa8ccba2a778f572d108}
