androidx/appcompat: {androidx/appcompat, a38077e42fbd9cd6feef2269c43e6caa}
coil: {coil, 8ee24f40dd2f59f4bbb3a7f900c50d85}
retrofit2/http: {retrofit2/http, 084c6c1a83e4f48381cdfa6517fbf60b}
j: {j, 756567059cb516c2d45e853cfcabb0b4}
coil/fetch: {coil/fetch, 3458494c126b7292cd9db33402b8058d}
kotlin/internal: {kotlin/internal, 6edc9bf38499faaa30023588567610f0}
androidx/activity: {androidx/activity, 78caa93f6429393cd3e78c63e23ad45a}
kotlin/sequences: {kotlin/sequences, 89295004f348cf1a003b3408a2c06003}
kotlin/annotation: {kotlin/annotation, 0c99278da7b002ce0f361d518299bb5b}
androidx/compose/foundation: {androidx/compose/foundation, be1626da14bab718fb7fe4bbd257ccb1}
androidx/preference: {androidx/preference, da2bb1c7429e922b5bd52bcf0e8e735c}
timber/log: {timber/log, 82bd62fb409d7c113ac6657f4a2a42d6}
androidx/collection: {androidx/collection, 6c6fcbe476bb5cc60a810c8913a1e82b}
kotlin/math: {kotlin/math, 0d3f07ec496c9aba58242e53f71d5af9}
android/os: {android/os, c4e9eeb25e17c46354752ac4239a9772}
androidx/compose/runtime: {androidx/compose/runtime, 34055a716a3f0792feb94386b619cb27}
kotlin/random: {kotlin/random, 40e4751db78406ac9beb9de412902320}
android/window: {android/window, e079f4fb8febf5b63effbb6583d13a90}
kotlin/streams/jdk8: {kotlin/streams/jdk8, 1c2f4100dbe66502c9b51965dfc36a30}
b: {b, 14069d19dbfc342a2774b0bb964f1cb3}
k: {k, 24b3c24be49570410ecab47fe973cb55}
coil/map: {coil/map, 2021eb62aa1c170f3d4d71f72fe9e179}
org/jetbrains/annotations: {org/jetbrains/annotations, 8a04868e2126eab0aa7085f7addf6bcc}
org/checkerframework/dataflow: {org/checkerframework/dataflow, a0c2332329656d4c35af23b4dda08130}
androidx/localbroadcastmanager/content: {androidx/localbroadcastmanager/content, 5529674139b4b0ccef53f8cc0c6c5728}
androidx/legacy/content: {androidx/legacy/content, 49bc0b719644cf0d3fa6e8ed5329ffe0}
androidx/savedstate: {androidx/savedstate, 46d69200e334cda13b96868e66189ba3}
kotlinx/coroutines: {kotlinx/coroutines, 9ac6b819fa0372619445c8e9e1d9cb45}
androidx/startup: {androidx/startup, 5a4a2d2cf21d46b59fd7efa28c71895a}
coil/intercept: {coil/intercept, d5981ef18659f4339f1863c1948f0db5}
com/haroldadmin/cnradapter: {com/haroldadmin/cnradapter, cf4923f3ea9ca97446a3ca62d7d0ab75}
androidx/annotation: {androidx/annotation, d442add74ff22d973d27312edb6e6f04}
org/acra: {org/acra, 5abbaf5b0dc846184b64a801d8a1679d}
androidx/loader/app: {androidx/loader/app, e3200df22e4772ade14010e68a36855f}
