androidx/appcompat: {androidx/appcompat, 5cfa40da67ccc5ba19df01a5a385e3b0}
kotlin/internal: {kotlin/internal, 945e9d2a49c532cfacbc717d6a3e7704}
androidx/activity: {androidx/activity, f815c033c6c536e0002f68adf7a9a29f}
kotlin/sequences: {kotlin/sequences, 635c2351cbddc50989ff609cc129fbfa}
androidx/preference: {androidx/preference, 32bcf87289311a4a6e00d8d4a94ec55b}
timber/log: {timber/log, d4751f597fd7a94712d6b2d615d12952}
app/k9mail/ui: {app/k9mail/ui, 504e478e828624b58926230d357835e8}
com/google/android: {com/google/android, a25582dac9f887783ef2a7c90c00cfd8}
androidx/constraintlayout/core: {androidx/constraintlayout/core, 283301226f423341b5ee15f5bdb92cc9}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, af69d2d238f1516638ff5918d3d7c3ec}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, d2030e99c5f94e57dcaafcaea152dcab}
kotlin/random: {kotlin/random, c099bbdede865a2d6cb1854ec14706e3}
com/jcraft/jzlib: {com/jcraft/jzlib, f640a5a9f013a6663a1cbd26ca04937b}
androidx/cardview: {androidx/cardview, 018647c38b6e9578fb4274a4989252b4}
com/beetstra/jutf7: {com/beetstra/jutf7, 2893fda1535934c0f28eb810c991d2a8}
com/takisoft/datetimepicker: {com/takisoft/datetimepicker, 17827a94125950c96c1fcbe4dec658d1}
androidx/dynamicanimation/animation: {androidx/dynamicanimation/animation, 46eea80f05bc0d606c1b5e2105371715}
kotlinx/datetime: {kotlinx/datetime, 25d9c0a27d959eaa42876ade57050fc4}
androidx/localbroadcastmanager/content: {androidx/localbroadcastmanager/content, f1fe26731405dcaa96d551c6e3bb3c22}
j$/time/format: {[j$/time/format, j$/time/temporal, ], 020eb29b524d7ba672d9d48bc72db455}
androidx/browser/browseractions: {androidx/browser/browseractions, 3a683c9ce8ce141ff2dc7a90ad57e143}
com/google/common: {com/google/common, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/savedstate: {androidx/savedstate, 04c714964aeaeaf0cf5cc607beeee7aa}
org/koin/ext: {org/koin/ext, 7610e3f8cb09b05749ce90a6f760d30c}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, db236ca27f65f8aa6b8ea1166e615c06}
kotlinx/coroutines: {kotlinx/coroutines, 22b338b610bc90ef0f3670e0bdb70aec}
androidx/startup: {androidx/startup, 3e65518dc1783a5b4e0396a0c8ec0298}
app/k9mail/core: {app/k9mail/core, abc2569f4245b64c0fda54a948c4cf71}
androidx/loader/app: {androidx/loader/app, d5e7e4e68dfa3ee345c468044c78faad}
app/k9mail/html: {app/k9mail/html, 2404d78fdde75d9f3d43a0277d9a0496}
androidx/room: {androidx/room, cb553392a79557011d8c7c98518eb340}
org/apache/hc: {org/apache/hc, cc555d40799819d4bbd1284719ed16ce}
org/koin/java: {[org/koin/core, org/koin/java, ], 539d57f409d4e6398e50da4f128ab53d}
androidx/sqlite/db: {androidx/sqlite/db, 575fd72d801d20a43c485bd6eead6b59}
androidx/lifecycle: {androidx/lifecycle, 01555dd3de81b2948f3264e4b3ac907f}
androidx/navigation: {androidx/navigation, d781d74f3d03356b87cfab0bfa7ee7c6}
androidx/cursoradapter/widget: {androidx/cursoradapter/widget, 86968f0cc3982deb80e9273cf0ccf037}
com/takisoft/colorpicker: {com/takisoft/colorpicker, 5e4050920be3c32e144adfd8758f7a49}
kotlin/reflect: {kotlin/reflect, 9c6c0b66d6c47154da14ad4cd741c190}
kotlin/text: {kotlin/text, 7f9098c87287226a42bc7e1096bce6af}
org/openintents/openpgp: {org/openintents/openpgp, 16febad2a78832bda64bb6743f4aa813}
androidx/exifinterface/media: {androidx/exifinterface/media, c750ba77a0ed7f5424eeff8f423e61d9}
androidx/versionedparcelable: {androidx/versionedparcelable, 43279262471d777d1068e3b1fbe04d59}
androidx/core: {androidx/core, 3f96ea1a3c24cd2f2e7ee0518bb55cab}
androidx/collection: {androidx/collection, f4db633c54f6b042c69ede9ebf27f20e}
androidx/transition: {androidx/transition, 84671f9d97dacb38324a9d1a5311285e}
