kotlin/collections: {kotlin/collections, cbc517bd14c6f4766ce999bb5e943dd3}
coil/size: {coil/size, c3e85da21f47a8eed45490a910cfb619}
coil: {coil, aa44d75e0d1445b0fde926bf159c7116}
androidx/hilt/lifecycle: {androidx/hilt/lifecycle, 3886dfd5faeea10a73509a2d8af65ebc}
kotlin: {kotlin, db7a8ac8e75a730c77e142f31e1ff5f0}
coil/fetch: {coil/fetch, 1eaead3dcbf4d9a3f9d0f3dafbe53053}
dagger/lint: {dagger/lint, 542dd9699021b2a489ba6c7d8f6e4a23}
androidx/room: {androidx/room, 30a18d8027110af638e00fac191495c5}
androidx/activity: {androidx/activity, 8da760dd4015cd791466e921c0b1fc95}
coil/drawable: {coil/drawable, 4e5e444e658396cf94439464e954b202}
kotlin/annotation: {kotlin/annotation, 9c84b6b379832b459364b2001ca18a6a}
androidx/datastore: {androidx/datastore, 3fffd5f39a7a6aea2cf658c06510e9d9}
coil/compose: {coil/compose, 40ee75277e283baa29d0fb269d1155bb}
androidx/sqlite/db: {androidx/sqlite/db, 9d06578b8cb1e06ed8d357574c6be78c}
dagger/assisted: {dagger/assisted, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/appcompat/widget: {androidx/appcompat/widget, ec1fd5797cac23e59602e2973245568c}
androidx/lifecycle: {androidx/lifecycle, 6b6fa8be79b749ce4cc1193f4de1325a}
androidx/fragment: {androidx/fragment, 38bcce3cacad1e3b0122e3aa86738f03}
androidx/appcompat/resources: {androidx/appcompat/resources, 3168f469a4313ac9bd7c873bc6dc0b50}
androidx/concurrent/futures: {androidx/concurrent/futures, e7b9663b8b4216f1c1a5ed885bf403da}
androidx/navigation: {androidx/navigation, 75e84b4c88d6d81fe63baa0dc29c03e1}
androidx/loader: {androidx/loader, 9c3fab698151806d2bba77e5bc210ea5}
androidx/compose/animation: {androidx/compose/animation, bd95282063b11b4ccd4ef7c2cdb8fe72}
androidx/vectordrawable: {androidx/vectordrawable, 9a8f19fefe4d410b4358205378d71ce3}
kotlinx/serialization/encoding: {[kotlinx/serialization/descriptors, kotlinx/serialization/encoding, ], 020eb29b524d7ba672d9d48bc72db455}
androidx/interpolator: {androidx/interpolator, 77ee116dbda5d427e46b7a8d165d8c62}
androidx/autofill: {androidx/autofill, 4fca046fc278f2f471efab07d2cd4d3b}
dagger/hilt: {dagger/hilt, 602431346f0f24502724957d9baf451b}
dagger/multibindings: {dagger/multibindings, 99bc1326bc2722e74f394811d7d87c3e}
hilt_aggregated_deps: {hilt_aggregated_deps, 6989099819ae8e12ba1eb9ab32ffe466}
androidx/compose/runtime: {androidx/compose/runtime, 96092a18ac1caace433048fa34fe18e0}
androidx/core: {androidx/core, 8466e7f2a8bf768929df537c902cb536}
androidx/collection: {androidx/collection, d690416bb50f07c6f3397b782728cfbc}
coil/request: {coil/request, 1f08e5d73c74157ec1381a2c15451e0c}
androidx/inspection/compose: {androidx/inspection/compose, 542dd9699021b2a489ba6c7d8f6e4a23}
dagger/internal: {dagger/internal, 1d4d2798d35c3f1dae5c220030b79722}
javax/annotation: {javax/annotation, dfc8379c72fa4c46f9cb8a622134fbb3}
androidx/versionedparcelable: {androidx/versionedparcelable, 5432fc09475ab9426a6d082a6aa612af}
dagger: {dagger, 50dd4cdb2863018ca895c4dd56026b6c}
coil/key: {coil/key, ed21edb031874c8a4431d90013177d4a}
com/google/accompanist: {com/google/accompanist, 0d8a32b42960fd492f337748127d4e73}
androidx/hilt/navigation: {androidx/hilt/navigation, 0a7e9ff12deb6109e3e2ca03541fd422}
androidx/arch/core: {androidx/arch/core, 46a94a5c7fd8016b698c55183e91fb8e}
androidx/viewpager: {androidx/viewpager, 54882c0574fbafa0b4446830ba9a1665}
androidx/compose/foundation: {androidx/compose/foundation, ad10e7d7adcda419402f27dd1d3c8596}
coil/map: {coil/map, 88455564b6679ff4577de290905eae02}
androidx/exifinterface: {androidx/exifinterface, cd77810cc555f9aade5c91e338660d76}
androidx/compose/material: {androidx/compose/material, b66e3fa1bfec5748cf4fdfa864a64bfe}
androidx/compose/ui: {androidx/compose/ui, 0eba2bc0f67edff7644fe6dee689b4f8}
androidx/profileinstaller: {androidx/profileinstaller, c75c3a04c28d5193e9ed50f940121eec}
coil/base: {coil/base, 3368c2b1abd592231e2cbfc4e07d03f1}
androidx/appcompat/graphics: {androidx/appcompat/graphics, a26a1f518d448a300bc6e3ad98682020}
coil/decode: {coil/decode, 758a595017f06d2d01470dc1aaa11619}
coil/target: {coil/target, e1344d4e0770e8425e246230b90c11b9}
kotlinx/coroutines/flow: {[kotlinx/coroutines/channels, kotlinx/coroutines/flow, ], 020eb29b524d7ba672d9d48bc72db455}
