a6: {a6, 7bcaf746368f7640b8676ee0b2233203}
android/view: {android/view, 009945dbbeb6c49347d0ddb567d2cf37}
j$/util/stream: {[j$/util/function, j$/util/stream, ], 020eb29b524d7ba672d9d48bc72db455}
x6: {x6, e0cee8e184eb4cd0b598bef268b43853}
l1: {l1, 03fbd0bc18842eed8a6a01f1216c3fa3}
i4: {i4, 6b8063c4d86cf1df9b8ae747c98b632e}
na: {na, 02aa972e457baba5e9908b38575935cc}
io/ktor/client: {io/ktor/client, 11f3eb7300e18334fc8bb1482778cb4a}
r9: {r9, 870df80f2f29ae356a538fd5c42e463b}
ua: {ua, 8896b4c6ae66a9c6f88eea03861cbcec}
dgca/verifier/app: {dgca/verifier/app, a1efef994519caeccc272f71b71473cd}
v2: {v2, da9d68f8eaff5b273980f8c0d346f1e6}
w8: {w8, 7d2b774f2bf8b2df0b9cf221d54db49a}
m6: {m6, 13a0121998406e06cc97d37c473ad77c}
r7: {r7, a8a913d5581d3fe2ef3ddd839f3df801}
nb: {nb, 9448c8eedc141e2c4501ba774fa2f1fd}
h9: {h9, 67787fb573b4dfc2c10a945628842606}
u4: {u4, db9bac77242c5093af0d3071ae785b22}
g1: {g1, 532da0bc4638c33de91524abc370b438}
c0: {c0, e1e4949da04cbeb140a5a7f1d0211d7a}
ea: {ea, 0d841320946fb362453d0cb0e021aa10}
cb: {cb, 15df682a03f06ccb4c63286e0b852d91}
android/media: {android/media, 4051f7603a40d4c52dbcbec105c0dbf3}
o3: {o3, 558e889b2c83fc38f48287397ea1dafd}
o8: {o8, a7eb47f1e26ab928e5a95cd75196d9fe}
t3: {t3, 3124a2b4733378c79e81e5fc9a3f538c}
androidx/core/graphics: {androidx/core/graphics, 10950e11069d124700de782d6624821b}
h2: {h2, e2a7843ff15d82d6be99e1ba5c0a474e}
u3: {u3, 53961de50764fc4f098a0aae4f024520}
c9: {c9, 3ad54ce5580e989b8572d4ed04edc448}
z: {z, 9815b1ab2b666d7d7a8d1da0f0d45aff}
r6: {r6, 2b5fe06d0727da3add881b1b94f1537b}
s4: {s4, 352358d16acc74a9ecc8d071d26c1bcc}
g6: {g6, 7ab252f27d45e090781aa1af2153a3ee}
b3: {b3, 086c3b6691758e045c04fe240e499eff}
q2: {q2, fa1ae1dfd2fb765bb892a833eb1ceb4e}
e4: {e4, 313ed454f6c22e6efb5bd5648936c145}
ta: {ta, 95c6bac58eedc616272aed5fc162d6af}
t: {t, 4afae5afcbe89560432f5f4529702e74}
y7: {y7, 65b1e848d596f0ca0e1d85ab89624f54}
androidx/versionedparcelable: {androidx/versionedparcelable, 4b2728cae715ff30dffacdd4578dffa3}
s: {s, 59fbc727aeda3bf35853b350f6433026}
f2: {f2, 3725c8f8398b2653b2be2ca9d3597149}
g8: {g8, fd7aec61a96b194839c61e3aedf899b2}
v9: {v9, 6cae9bbd6eef4c64fb49ae7aa0a2374e}
da: {da, b65c87e7f538b1036673151d9d3853af}
w5: {w5, eb9550ad44d7b2bf9d448c531c62e323}
z4: {z4, acf7ef943fdeb3cbfed8dd0d8f584731}
p5: {p5, fb5e5e9c5f32fea91d97aeb78f3ce752}
d3: {d3, 3bd1da65a3991f3fcf722279d8c70a95}
k2: {k2, 5e8accd6f5450e66ebadfb0c1cb27e81}
m: {m, 8d1edb8117e6fd4b53c7d0121f41a6e0}
q9: {q9, 476072e32c49b032fe1428857fcbb0bd}
e3: {e3, b1f8d74cd78b2f3f65846ff9d5779edf}
y4: {y4, 05d87cefc42920b021975d1c6ced4f77}
u8: {u8, a1b07c96f01bd10f043b2fce06159d9d}
m1: {m1, 5ed28f0b60b80db394e139323a3ae770}
x2: {x2, 00098a323c10e7ff4ec28c4f11c399f0}
a2: {a2, 479be3f23ee0d82d329e7242b3bb40c8}
n9: {n9, 67bb39611de180624a944bfd0a711336}
s9: {s9, 9eab001f6439a921aa399b072081a136}
n0: {n0, 619e63e7a4a61466be0551439975ded7}
f: {f, d05c455d9fc72dcd456a7590466eaf15}
x9: {x9, 9ce9db316d512a863a663509543a117c}
pb: {pb, a4daf974ad67fe7e3b69f3694f6e5d70}
androidx/camera/lifecycle: {androidx/camera/lifecycle, f7591f2009841f40fecaed15bd1e564f}
j1: {j1, 8ef700062c74d06e0b2d8d83abfc32cd}
m8: {m8, 3d1190d72209afabc921a4815e9f5d94}
a9: {a9, 301aa57ef6d10fc534eaed5a93c98cbb}
h7: {h7, 66569fc81115447401791312d77b8863}
f9: {f9, bb1b4fded3530aadfe6106b7cb24fa38}
i7: {i7, 673dea2200856eea50f4e967ff6e6af5}
g5: {g5, e6382815d6b99956d25fd4d709e7aa20}
u7: {u7, 6edca7acf15c6cc6b8113c941254523a}
v7: {v7, b98107cb86b6e398448e2611128b9a40}
l5: {l5, acf7ef943fdeb3cbfed8dd0d8f584731}
i0: {i0, 36ceb466a8a4d96d5a588f08d7a2b8c7}
s0: {s0, 9352989bdee8a43b598870bde5a51d7f}
t7: {t7, f30c7c906ffce79a3eac6e3a4029b77c}
b7: {b7, 93cf64155cc2e990a486477d36b46f37}
c7: {c7, 686747db96f2638ee3cd1e1ec567d5aa}
p: {p, 3e71fccb2fcc2c06675b5d182e591365}
kotlin: {kotlin, 505fc0bbbb7047674526308fe4c32451}
e8: {e8, a14419960528a13c9397b21d3a1a6c49}
x8: {x8, 96736afe00165ee96e7c649d05aa10a0}
o7: {o7, 90c8eec55f68b4bd116f17ef3abd1526}
t0: {t0, 115855f27dd66fb5965120b59f10d5ff}
ca: {ca, bd3685a84f062af535b929b3bbd0e9b3}
r3: {r3, 1b78c4cdf3c51d7f861611d1d1145ba4}
com/fasterxml/jackson: {com/fasterxml/jackson, 8f93585893c5559a23353edb75384c34}
i: {i, a03c8128572617fe617c24e0ac272fbe}
p1: {p1, 565a7e3c12d8afc4743f6c12c3fa7b05}
d7: {d7, 9ae64b7a2be49dc874360607c62fb5df}
io/ktor/utils: {io/ktor/utils, 5824b4f4d02227bedd5fc0298ac5d46d}
q5: {q5, f9498497ca73bda076b373aa86cf879f}
e7: {e7, ae7e93642d879b115adda02e01f84311}
f7: {f7, d338428eadf745ef3b8d1d006de61340}
androidx/camera/core: {androidx/camera/core, 3770d601ecc9520969e26e7a9fd9a8b7}
androidx/activity: {androidx/activity, 2110f0c2353539c6bb00302f7a49b007}
k8: {k8, 6baf9ec8257fbc1ba3540ff51e8f83da}
y0: {y0, 05ebe7c8e818618781c395d4cf8e754a}
y9: {y9, a82461662842de00e6a13bfe702d941a}
com/google/android: {com/google/android, 33b05cd1bc14519a32d9e295727a6c47}
android/os: {android/os, fc6f99f70236ce11eac0fb3d6aeb3b33}
z1: {z1, d6d9473d63e75cacd47198e28be4352c}
