androidx/appcompat: {androidx/appcompat, f12002af062604c996f1221fa07b9a1d}
androidx/room: {androidx/room, 996f0ddf08d032683988b5bbfeb3599a}
androidx/activity: {androidx/activity, 24714f0692a73c4125ea7af8544c2bf7}
com/ctc/wstx: {com/ctc/wstx, 50de34e831be2a9e491beb3e898f2b6f}
androidx/core: {androidx/core, e8ea47b024dc2d514383c253e7e6c5ef}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, f3b63439f69b169b5ec5a82863e30091}
androidx/preference: {androidx/preference, 422956b24e76a49529849dddfb9ea2bb}
androidx/sqlite/db: {androidx/sqlite/db, 87dee5130d12a992546d51d83c454f78}
androidx/lifecycle: {androidx/lifecycle, e33819f2d111e8af896159156491faba}
androidx/fragment: {androidx/fragment, 87fd7199f3a5c256d7cf53ee45e9b7c2}
com/github/mikephil: {com/github/mikephil, 1e5254db834dae2ab7034b8ae79217b6}
androidx/loader: {androidx/loader, cf5b07bc079d10903e89e42a9ddbe74d}
androidx/vectordrawable: {androidx/vectordrawable, 69d3f31d010a05bb75c2c6c003a5048b}
androidx/recyclerview: {androidx/recyclerview, 516fcf14dcbaa837bab859b4837bffd3}
androidx/interpolator: {androidx/interpolator, e32effd5aad27dabdd49bfe10025a181}
androidx/versionedparcelable: {androidx/versionedparcelable, 35d15b808d818dae4ead63913a1bd71d}
com/github/sisyphsu: {com/github/sisyphsu, 1cd5052dd8be850b7dcd0fe8a4646e7c}
com/github/clans: {com/github/clans, d7945db5570de70dc43ef078db01d749}
androidx/constraintlayout/core: {androidx/constraintlayout/core, 5163508e56521830a4454d24092b6de0}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 26c1c81ebcfa607e14f5e7372582f16b}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, 68b6b7cd9f7794226a85814ec4dd01c2}
androidx/collection: {androidx/collection, 5a9f09fd44dfefb7cc2535dd525d73bc}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 212afb512b0f35c7dafa0cdb92a3ed1d}
androidx/sqlite/util: {androidx/sqlite/util, dc36e5095094c262154e59fb03db07a2}
androidx/transition: {androidx/transition, b032e95268cd23e66fc214eae113dd7d}
androidx/cursoradapter: {androidx/cursoradapter, f70b0bfe455d900d7aa0350915fdc2be}
androidx/slidingpanelayout: {androidx/slidingpanelayout, 5eb9a92116f57a5d2877679bf599c44b}
androidx/cardview: {androidx/cardview, 8638456dbc08541c4528854eed91d17e}
androidx/drawerlayout: {androidx/drawerlayout, 987e4ee6a3ff40904c8285b1897fbb51}
androidx/legacy/coreutils: {androidx/legacy/coreutils, da1c5c0e9e4d4de1ee6852a39fa1fee1}
j$/util/stream: {[j$/util/function, j$/util/stream, ], 020eb29b524d7ba672d9d48bc72db455}
androidx/viewpager: {androidx/viewpager, 02cbe8e336f7b04509987e6a69bfee8f}
androidx/inspection/work: {androidx/inspection/work, 542dd9699021b2a489ba6c7d8f6e4a23}
com/fasterxml/jackson: {com/fasterxml/jackson, 6d280d3c6c838a873fc07647ad6ad891}
androidx/emoji2: {androidx/emoji2, 1974c4013f2174f6dbd16b79a0e3af2a}
androidx/work: {androidx/work, d0903f5d3f80b183d05295c9f377109b}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, a22b0d1d9c5868b05d3511cb6d43735a}
androidx/arch/core: {androidx/arch/core, 23e79d65469d82e26353bc325581681a}
com/edmodo/rangebar: {com/edmodo/rangebar, b36884e8273e9dd9cac12c4f5cc3e87b}
androidx/viewpager2: {androidx/viewpager2, a656d6f7d121fe0a71228476f33d05ae}
androidx/legacy/content: {androidx/legacy/content, 07faabcafda309b615198d4b582b9cb3}
androidx/savedstate: {androidx/savedstate, 1fe4c0a62ba0a35dd52d4feea6a12ea1}
androidx/documentfile: {androidx/documentfile, 6baa0ff183e1639150ce73a387200443}
androidx/print: {androidx/print, e261ca456bbbb6e99177e5d4f1599fe4}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 481125355970f8d4a7712f57c19bbdf3}
com/caverock/androidsvg: {com/caverock/androidsvg, eb5ed3cbad98502c48b4b25c2bc3ced4}
androidx/resourceinspection/annotation: {androidx/resourceinspection/annotation, a4bd91c515d62e517c2896e81b40cc24}
androidx/tracing: {androidx/tracing, ac1c138f12866d9ca29cf68dba999565}
androidx/startup: {androidx/startup, 86fcc9acd3be58c7de92432067895bf4}
androidx/concurrent/futures: {androidx/concurrent/futures, a747627292a6de1bb8fd3e1d71f7ae31}
androidx/customview: {androidx/customview, af2508fb39756721d8e6296be514d7df}
androidx/window: {androidx/window, daee96e9b484ebbbfafa4ddea15085ec}
androidx/annotation: {androidx/annotation, ed9f67e5ed6a73479f4a08cc73aa55f1}
androidx/dynamicanimation: {androidx/dynamicanimation, 20f96d09e72abe2920cbc1935effdba5}
