androidx/appcompat: {androidx/appcompat, 7c4d7d10687934d13b07286466115043}
androidx/legacy/v4: {androidx/legacy/v4, e0f7a4ed6dfc7d0e3cfaf295ba204dfb}
androidx/media3/container: {androidx/media3/container, a57e23bccdbe7687b3f7dc29d7f58d4e}
androidx/media3/common: {androidx/media3/common, df7bcc36894835559dc66ed90d06fab1}
androidx/activity: {androidx/activity, 89903f681fb46df842a5343f8149f960}
androidx/profileinstaller: {androidx/profileinstaller, 96b47c0d293420d49cc58897a4ff5a8e}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 220888082fc54a224fd8c47ed5f2e9cd}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, f3b63439f69b169b5ec5a82863e30091}
io/ktor/client: {[io/ktor/client, io/ktor/http, io/ktor/util, io/ktor/events, io/ktor/utils, ], f098f3e709a3643e321c8750d4a806e9}
androidx/media3/datasource: {androidx/media3/datasource, d77e242fb13cb89ec19389cabe32419a}
androidx/lifecycle: {androidx/lifecycle, d5daab16c4de44510ffa505de292baa3}
androidx/fragment: {androidx/fragment, ae160cf607a2151de3857d223a36fc8a}
androidx/media3/extractor: {androidx/media3/extractor, a1954170608326ea06724f29f61c6c64}
androidx/legacy/coreui: {androidx/legacy/coreui, e0f7a4ed6dfc7d0e3cfaf295ba204dfb}
androidx/loader: {androidx/loader, df455fe6ddf5f37fdf76ace19b1f2535}
androidx/media3/session: {androidx/media3/session, a7138f9fb18c3014edfa67838a76ec9d}
androidx/media3/exoplayer: {androidx/media3/exoplayer, ddaf73f3e36eb584a00cd47d22364734}
androidx/interpolator: {androidx/interpolator, e32effd5aad27dabdd49bfe10025a181}
androidx/autofill: {androidx/autofill, 51632c258d20fa1a3f49ceccb7442803}
androidx/constraintlayout/core: {androidx/constraintlayout/core, a3c6de987e9bf9f617d9edbbadb19fa2}
androidx/core: {androidx/core, 0bd968ea7cf57851132ed4ee7f936428}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, 629fe126eec0d66ee8f14735370c1d65}
androidx/collection: {androidx/collection, 011c2365e4fb91afb29d02f856164d48}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 713093c09aef9e7f8351fed22582db05}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, ff1b5b4a8152c23d704f959081b0e488}
androidx/asynclayoutinflater: {androidx/asynclayoutinflater, ae81c8811638219ae1ead8149f8a4af6}
androidx/cursoradapter: {androidx/cursoradapter, e4b6904182097e12ad2b34a05994d750}
androidx/cardview: {androidx/cardview, 66488820fbbf820772dff5461d30fb0b}
androidx/drawerlayout: {androidx/drawerlayout, 9c213b6fc352ec2d3a29cfdff37d718a}
androidx/legacy/coreutils: {androidx/legacy/coreutils, 73459e05781063da65dda8c716b44d0f}
androidx/media3/database: {androidx/media3/database, 4fdf845df17498f142c69dc2d2b96d35}
androidx/media: {androidx/media, 45125b05ba682af329f6478f20d5c50e}
androidx/exifinterface: {androidx/exifinterface, f74837ea30732c70ddb77200b96231ad}
androidx/legacy/widget: {androidx/legacy/widget, 82049910e9994fb88dab5c38292b7abd}
androidx/emoji2: {androidx/emoji2, 14756abd2910ed4cba69266d3979df47}
androidx/media3/ui: {androidx/media3/ui, 7935db01ba0a58166bba9afb63035b12}
androidx/browser: {androidx/browser, da21b27a5df3f64cdb249f4315f00a7b}
androidx/annotation: {androidx/annotation, 89bbdc285a7755ef31c2bd010e40f482}
androidx/arch/core: {androidx/arch/core, a59cadfb1f89c065a19cfef41c8e88ed}
_COROUTINE: {_COROUTINE, 969e426354e9bf7a21a6f4cc2ba3b6be}
androidx/resourceinspection/annotation: {androidx/resourceinspection/annotation, a4bd91c515d62e517c2896e81b40cc24}
androidx/legacy/content: {androidx/legacy/content, 07faabcafda309b615198d4b582b9cb3}
androidx/documentfile: {androidx/documentfile, 405e864284a52aa0ff49fac74ee2910d}
androidx/print: {androidx/print, 8c31745e999e561c0aa84852f5d44a6d}
android/support/customtabs: {android/support/customtabs, 2aac24614294b8e4cdf031c6380f877b}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 7ac7ba5c603f52a3691b32041fb93cd0}
androidx/media3/decoder: {androidx/media3/decoder, 81e0df43fb7715251ef9869b16a01cd5}
androidx/legacy/app: {androidx/legacy/app, 181e1722064f84032cda2c6fa939f581}
androidx/inspection/work: {androidx/inspection/work, 542dd9699021b2a489ba6c7d8f6e4a23}
androidx/datastore: {androidx/datastore, 1873bc17f7c5a43102abed939d760f92}
androidx/concurrent/futures: {androidx/concurrent/futures, a747627292a6de1bb8fd3e1d71f7ae31}
androidx/customview: {androidx/customview, debbb7cdbf09e84d96451fc2bfe4737d}
androidx/recyclerview: {androidx/recyclerview, 0ce0fe4df589e3f4946fde48719229c5}
androidx/dynamicanimation: {androidx/dynamicanimation, c088dee57aaa297b903272698d7ed6ca}
