androidx/appcompat: {androidx/appcompat, 8bedd8bac9d2c56c72bd5f9f7e78e269}
kotlin/collections: {kotlin/collections, 4f7a3f0d738d82f5f36100ccb62f27a4}
kotlin: {kotlin, 5f24990d26fd9fc62a8cdceab6871685}
kotlin/io: {kotlin/io, b9eb12a15b72987667c2072d5a85d784}
com/almeros/android: {com/almeros/android, 31e2155937bc33eabc7b7d843b89e308}
androidx/room: {androidx/room, 64bdcb1d3722cba3773f3d1fa4eede02}
androidx/activity: {androidx/activity, d086d51e8797031bee42a7be2fce07f2}
androidx/profileinstaller: {androidx/profileinstaller, 7be24faeeb93ad37430283e9f28e3a42}
androidx/customview/poolingcontainer: {androidx/customview/poolingcontainer, c9adac8e05894bbb7933a98cb5a2659d}
androidx/core: {androidx/core, ca8eb21410a8c4ed47a7460e9b68738d}
androidx/preference: {androidx/preference, 430acbf3e9ddf0ec9b98e65b9ea664f3}
androidx/sqlite/db: {androidx/sqlite/db, 41e6987db264c67858010c316b8fa09f}
androidx/lifecycle: {androidx/lifecycle, 9fbf1f11b0a7b198768b82c1db8e9fc7}
androidx/fragment: {androidx/fragment, 69051b60a76fe106814c1dcc3a61f257}
androidx/emoji2/text: {androidx/emoji2/text, e4c21d55a4759f235662a5ce05d877e8}
io/ktor/client: {[io/ktor/network, io/ktor/events, io/ktor/http, io/ktor/utils, io/ktor/client, io/ktor/util, ], e17be1f52800d7d0b948059b2d203a38}
kotlin/enums: {kotlin/enums, 1829a9574b35e701b2ce18bd854706cd}
androidx/cursoradapter/widget: {androidx/cursoradapter/widget, a9d1c0517fe38fbf1674a83fc8df801d}
com/mapzen/tangram: {com/mapzen/tangram, e460199694e5883a203bc3ea7abad1d6}
kotlin/reflect: {kotlin/reflect, d26c681f90043aa8bda36c3d742ecf2b}
kotlinx/serialization: {kotlinx/serialization, da072077b39993bab7873ebc03ce36e4}
kotlin/math: {kotlin/math, f029e3c3fb96c99854c3ff41830b9a95}
kotlin/text: {kotlin/text, 6138922048a22027cfc5a813de77a22c}
androidx/customview/widget: {androidx/customview/widget, 6028a7b4b87a464cadeae2a867775309}
androidx/viewbinding: {androidx/viewbinding, ef696161f3bee993375ea536f05d4e19}
androidx/versionedparcelable: {androidx/versionedparcelable, 3a7014102653b0ff72ba4bbab1db28b7}
androidx/slidingpanelayout/widget: {androidx/slidingpanelayout/widget, 7efce23ccbd371d13704f7c4747c23b5}
androidx/constraintlayout/core: {androidx/constraintlayout/core, 2cc442c9c4cd1d26c9e1aa035defacb9}
androidx/coordinatorlayout: {androidx/coordinatorlayout, f44806bbc40d729af796acccfb2eb79e}
androidx/collection: {androidx/collection, 3070e2736a6a78d5ebd6557fb8e74d49}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, af69d2d238f1516638ff5918d3d7c3ec}
androidx/sqlite/util: {androidx/sqlite/util, 8176854d09a46848f8051008e874b50d}
androidx/transition: {androidx/transition, 340ac6bcf552b425be52f2a70ae56666}
kotlin/random: {kotlin/random, 0e6b0faad71e6a8a59ac7b35acfba8a6}
androidx/interpolator/view: {androidx/interpolator/view, 561c23e33a4b5f7c33faf68878d12ac4}
kotlin/internal: {kotlin/internal, 18b441ff712de5c8cc044d3910b7b316}
com/charleskorn/kaml: {com/charleskorn/kaml, c494952c47e269ce60d2bac8d6a69d84}
androidx/cardview: {androidx/cardview, 8a50d1f61de8618fbc2bf1edc01d2c5f}
com/google/zxing: {com/google/zxing, 0b5c5bf5959e09c23c802861fb840a31}
com/github/chrisbanes: {com/github/chrisbanes, d7360327e80e95368bc57826d300e427}
androidx/window/layout: {androidx/window/layout, 36afc2baf8ca93b8dccc9c55a0ddcb0f}
kotlin/coroutines: {kotlin/coroutines, 53f10946fc45be95cff13f2c511c3ec6}
de/westnordost/streetcomplete: {[de/westnordost/osmfeatures, de/westnordost/osm_opening_hours, de/westnordost/streetcomplete, de/westnordost/countryboundaries, de/westnordost/osmapi, ], 5a8130595083e6399dcc1812bf8b401d}
org/koin/android: {[org/koin/android, org/koin/core, ], 020eb29b524d7ba672d9d48bc72db455}
kotlinx/datetime: {kotlinx/datetime, 2997d2d400a1bceeaf6e1f57f63dda56}
com/google/android: {com/google/android, 7f29f5aad976e052f695c6358c986cf2}
androidx/emoji2/viewsintegration: {androidx/emoji2/viewsintegration, 6f69a36d4542cc54f54decff702db5bf}
androidx/work: {androidx/work, ca612488702586b3bb3554ba5ef0aaf5}
androidx/localbroadcastmanager/content: {androidx/localbroadcastmanager/content, 01f25ee634a6c6cdb29b0ae152aa7ea8}
kotlin/sequences: {kotlin/sequences, 65796adc1dbd58d33794e3e70e0e048a}
kotlin/jdk7: {kotlin/jdk7, bf78859827d5a086e77cdc38f114fafe}
android/app: {android/app, e079f4fb8febf5b63effbb6583d13a90}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, f8ce048720318268772e29f167d98b81}
androidx/arch/core: {androidx/arch/core, 3793f97793d5beb9f65be2ad86fc8f59}
org/jbox2d/dynamics: {[org/jbox2d/dynamics, org/jbox2d/collision, org/jbox2d/common, ], ac9c542684f271e7215c00369bbb793e}
kotlin/time: {kotlin/time, a581370d2fee8ab2e8bd19ae25068c01}
_COROUTINE: {_COROUTINE, 15f74a532dd698f4205bbc712e428a0e}
kotlin/properties: {kotlin/properties, f0af1f1502c8fa1a37ba11950d8b4b12}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, 13993a98a417203a7365fb04f14088e3}
androidx/viewpager2: {androidx/viewpager2, 69c3d7aea4b37b4ed238d533b0220cd4}
androidx/exifinterface/media: {androidx/exifinterface/media, c8a9b3c2759bc08a5664a8403c6ddb6e}
androidx/savedstate: {androidx/savedstate, 37c13d5fadf4cee71076a7c63f7a752d}
kotlinx/coroutines: {kotlinx/coroutines, 1ba16fcc6425d67d7e4bea867f6e74ca}
org/koin/dsl: {[org/koin/core, org/koin/dsl, ], 020eb29b524d7ba672d9d48bc72db455}
j$/time/format: {[j$/time/format, j$/time/temporal, ], 020eb29b524d7ba672d9d48bc72db455}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 950b57e750610b8d6b2b8007eccf8760}
androidx/window/core: {androidx/window/core, 653cb805d98a5b5ab3046f6465e44046}
com/russhwolf/settings: {com/russhwolf/settings, 6265dd5a6831b3f81a1c153ca937c49b}
kotlin/ranges: {kotlin/ranges, 497f7e8ebab0aeca2f87a9f6d218dc4e}
androidx/tracing: {androidx/tracing, acff8b6406b400d7d9dd134708d5ae37}
androidx/startup: {androidx/startup, 45e16f8e2bbd8b4b308a07227dbc588f}
