androidx/appcompat: {androidx/appcompat, 60a7c7a426264bcb87110ee086a9b1c1}
coil: {coil, a44b9ab3afe3ec40f968e9141970ddad}
coil/fetch: {coil/fetch, 915b4a83bd87e4a3a8a56036915d3c40}
androidx/activity: {androidx/activity, ced882f6f50f652f28f27404347b5937}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, cc7f387f9a2f5303691fc6c534f3ce10}
androidx/preference: {androidx/preference, c8ff45f2e096e492e808a52116c58fe6}
com/github/mikephil: {com/github/mikephil, 61e6d06dd08522c5d701d489f65a6cad}
androidx/vectordrawable: {androidx/vectordrawable, 421d12d0af4a02e4a78ddfc7299d461e}
com/google/android: {com/google/android, 3c96ca468e1ca3fee4d9ebef9fa7aca4}
androidx/constraintlayout/core: {androidx/constraintlayout/core, 971478c83072253927467c928aadd623}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, c2b013af36c676e018e044cbfda7ff84}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 337e760827f51ce96b07aa2f9bbbb502}
kotlinx/coroutines/flow: {[kotlinx/coroutines/channels, kotlinx/coroutines/flow, ], 020eb29b524d7ba672d9d48bc72db455}
androidx/cardview: {androidx/cardview, 35d0744915ba5cefc3a160d5a4511da6}
coil/map: {coil/map, b53a865a9a8c9038d67906623cd8a348}
androidx/emoji2: {androidx/emoji2, 051ff4fe34376f32cf416f9940dc2ae5}
androidx/resourceinspection/annotation: {androidx/resourceinspection/annotation, a4bd91c515d62e517c2896e81b40cc24}
com/getkeepsafe/taptargetview: {com/getkeepsafe/taptargetview, ceb76a46694a5a26764c5f2b9a8997ac}
androidx/savedstate: {androidx/savedstate, 2b7067d9ba78b3f01fc88edbc77a898a}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 0664db966af66e408f2fde57f26a6aa0}
androidx/startup: {androidx/startup, 86fcc9acd3be58c7de92432067895bf4}
com/airbnb/lottie: {com/airbnb/lottie, 34ee5709a3c6fe02490b729d08bc594f}
androidx/window: {androidx/window, cb6614405fd8ad34451510dd7b165ccb}
androidx/annotation: {androidx/annotation, c0fce04979ed66e39ebb3a3868016a75}
org/apache/xmlbeans: {org/apache/xmlbeans, 5bfcc0d2eda1cb65152c52add06d125b}
androidx/databinding: {androidx/databinding, a6284f43e526bc519ac4f393c77e0f02}
coil/drawable: {coil/drawable, c6959c7318b6c42d4f5db1253439bbaf}
androidx/room: {androidx/room, fa42ae16a7142d2c9d7e28057b0948ef}
androidx/sqlite/db: {androidx/sqlite/db, 1a00b3ca193b21c14cd638f507266166}
androidx/lifecycle: {androidx/lifecycle, 9fdab0101814eefdb6d500e675cf0b0c}
androidx/navigation: {androidx/navigation, d9d1dc00d2e3cd747c6d3b1bf2c7cb9b}
androidx/legacy/app: {androidx/legacy/app, 0d379f771fc56fb944a092cd26488546}
androidx/viewbinding: {androidx/viewbinding, 320e4a218483379fe56d033b368fe113}
androidx/versionedparcelable: {androidx/versionedparcelable, 1bd9e652c37a2f6ea5a100dc247a8c91}
coil/transition: {coil/transition, 30ed8584c95ad94c96a6e2d61a5a9aae}
androidx/core: {androidx/core, c87e697541abaf47941c6344ca7b28e2}
androidx/collection: {androidx/collection, 732965026e386a8051de5f02f49f0460}
androidx/transition: {androidx/transition, 5164a8d04a7c15fb2feb0e5364319418}
coil/request: {coil/request, 4add78e81609d17491f994b784e4eedb}
androidx/asynclayoutinflater: {androidx/asynclayoutinflater, ae81c8811638219ae1ead8149f8a4af6}
androidx/cursoradapter: {androidx/cursoradapter, c59cc1e9f87611fdfae8c3be3ffc4004}
coil/base: {coil/base, 49bcc1fc5a6bed6fdc26f14258a687e8}
coil/key: {coil/key, ed21edb031874c8a4431d90013177d4a}
coil/intercept: {coil/intercept, 56e8e3ad8bc03205ab9c3c8e9593175e}
androidx/legacy/widget: {androidx/legacy/widget, 82049910e9994fb88dab5c38292b7abd}
androidx/media: {androidx/media, bc447a649b34accd5d498d253ad2d94a}
coil/target: {coil/target, ec728fea55b526b388bc2ff5f09e6273}
androidx/viewpager2: {androidx/viewpager2, ffcb38c9fb3276804a7793cf5e2b8c7f}
androidx/documentfile: {androidx/documentfile, 16b1384202835cf81a742a79dab145c4}
coil/singleton: {coil/singleton, 49bcc1fc5a6bed6fdc26f14258a687e8}
org/apache/commons: {org/apache/commons, c23228ba1e1f6da879c012b1451bf80f}
androidx/recyclerview: {androidx/recyclerview, 988a5d0aeb7a801022ed63ed3e548591}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, ac734e2207a6d4128600b66cd9d15d56}
androidx/dynamicanimation: {androidx/dynamicanimation, 5c61a0963e02bea60d6bd70d2d777402}
coil/size: {coil/size, 5c635f26888b9af996bf46aee3a6eaf2}
com/github/appintro: {com/github/appintro, 5e9022458d7785511639930087367bc2}
androidx/profileinstaller: {androidx/profileinstaller, 940f65d1dc941a9f6c561fc1ba3eb15b}
androidx/loader: {androidx/loader, 825459fedce40ed8e7dc1aa92d14933a}
androidx/interpolator: {androidx/interpolator, 77ee116dbda5d427e46b7a8d165d8c62}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 0cb2b8059e7c28a5a639d7ab7f29c7d7}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, 4c22027808418977c17806959794f8bd}
androidx/sqlite/util: {androidx/sqlite/util, 9331e32633ac39f5cbf155a742714c7a}
androidx/slidingpanelayout: {androidx/slidingpanelayout, d6b7807469d4104125d53a454928bc5a}
coil/memory: {coil/memory, e5990872d360d7051079dabbbad26ffb}
androidx/drawerlayout: {androidx/drawerlayout, a38a13d0439bc0efd9097d48bcecd7ee}
com/app/imagepickerlibrary: {com/app/imagepickerlibrary, 95a1c4cdb47fa041d196990c6e94dd83}
androidx/legacy/coreui: {androidx/legacy/coreui, e0f7a4ed6dfc7d0e3cfaf295ba204dfb}
androidx/viewpager: {androidx/viewpager, accc5eb40943c141b0dbee926a6c0675}
androidx/exifinterface: {androidx/exifinterface, 11588e7e087f47f68eafe774563466c5}
coil/network: {coil/network, 029cf60638e3b547e71990dff263c588}
coil/decode: {coil/decode, c875c8a5baec9d92791e2ec538ac9db4}
androidx/arch/core: {androidx/arch/core, c45109435860333e3fb9a1df7b9f72b4}
androidx/legacy/content: {androidx/legacy/content, 6aaaf26997950d8416bb1ce1ae77d7aa}
okio/internal: {okio/internal, 59c1429a7b28cacfe1d902928211f3f9}
androidx/concurrent/futures: {androidx/concurrent/futures, 050add3ebe662c39375baeb8725c0696}
com/github/florent37: {com/github/florent37, 1b70e8c9b6ef3f224a64c84181e31abd}
androidx/fragment: {androidx/fragment, 4b418833238be1e69195528122c65184}
coil/transform: {coil/transform, 5c2fe2a0ab0c6e50c6a59feda8ffb970}
androidx/legacy/coreutils: {androidx/legacy/coreutils, 73459e05781063da65dda8c716b44d0f}
_COROUTINE: {_COROUTINE, cda218f6ca68fa7c07a4065e0df7787b}
androidx/print: {androidx/print, c0e31b284aef4dbde53598be2cc054ff}
com/bumptech/glide: {com/bumptech/glide, a59f17fa64f00bf546030dba642fc984}
coil/disk: {coil/disk, 2087d507fc0c04b93604218f28a37f17}
androidx/legacy/v4: {androidx/legacy/v4, e0f7a4ed6dfc7d0e3cfaf295ba204dfb}
androidx/tracing: {androidx/tracing, 0f887924f48d4afdcf30c8192e4ed459}
coil/util: {coil/util, 8adfc3490f91c6d8a060db91e62c0d3d}
androidx/customview: {androidx/customview, d4cc1ccc266f7406a193e080925714d5}
okio: {okio, fbf5ab74b77e4d5b55ee6eeab070554d}
