androidx/appcompat: {androidx/appcompat, 65ac335b54de4eb18e46438deeb77cff}
retrofit2/http: {retrofit2/http, 084c6c1a83e4f48381cdfa6517fbf60b}
com/jakewharton/rxbinding2: {com/jakewharton/rxbinding2, 1725d716dc8d4746db1cb74b7b7ac5ce}
kotlin/internal: {kotlin/internal, b904b9bbe964e43bef2c9b9b31a12655}
androidx/activity: {androidx/activity, 8ce6826585ddd17c2002fff423df6af6}
kotlin/sequences: {kotlin/sequences, a50fea46b999bebc6e9ed1d1bb279dc6}
androidx/preference: {androidx/preference, 5e433126724bdcabe815f7ddb7feee95}
com/scottyab/rootbeer: {com/scottyab/rootbeer, 04840cf8a1a9c93892e21a55c6e74b4a}
timber/log: {timber/log, bc9e00dbd2ca2edab7132db9e7c622d7}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 74820778d766cb49cb503653322c0abc}
androidx/transition: {androidx/transition, 981343b09d8c563b3ba4a705ad67ab77}
com/osbcp/cssparser: {com/osbcp/cssparser, f5869832755154e69cc07f59032aa7ac}
kotlin/random: {kotlin/random, c099bbdede865a2d6cb1854ec14706e3}
net/nightwhistler/htmlspanner: {net/nightwhistler/htmlspanner, c8716268ba8b8da8e448b26adcc3e2cc}
androidx/cardview: {androidx/cardview, 6faa4d83eb7c4539d2ff2efe814a6715}
org/bouncycastle/util: {org/bouncycastle/util, 470dfcf9de010aa0d4722f501f8b132c}
androidx/localbroadcastmanager/content: {androidx/localbroadcastmanager/content, 0a452d94947d549c21a98f4f77a1301d}
androidx/browser/browseractions: {androidx/browser/browseractions, 3a683c9ce8ce141ff2dc7a90ad57e143}
com/google/common: {com/google/common, acf7ef943fdeb3cbfed8dd0d8f584731}
com/facebook/soloader: {com/facebook/soloader, c90f6b7b11526afea73726bf0bd37cb5}
androidx/savedstate: {androidx/savedstate, ad53931e4fddf1738c7936b5639acb1d}
com/jakewharton/threetenabp: {com/jakewharton/threetenabp, b1d3c326c5c99b8c616c11037b07e16b}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, f08bbab65f7e41df4738339db5e92507}
kotlinx/coroutines: {kotlinx/coroutines, ceb5a72e795e7b0c3228dd8c76823283}
com/journeyapps/barcodescanner: {com/journeyapps/barcodescanner, 8aa6417ce197e4201d7db09917f9a831}
com/getkeepsafe/relinker: {com/getkeepsafe/relinker, 5677330e5170a9f429ddc9637b07d3e9}
io/noties/markwon: {io/noties/markwon, 3e0ce84b7e854d39e91c65f2ad1ace2a}
androidx/loader/app: {androidx/loader/app, d40a8b84f0d2b6bbfd08142215e37cbe}
io/realm: {io/realm, e999148130b3ab65721d76aed328a897}
androidx/room: {androidx/room, 2eafa18745041c77dfe2f3491817faaf}
androidx/sqlite/db: {androidx/sqlite/db, d93d157d06d3024d4673f09a057dab7e}
androidx/lifecycle: {androidx/lifecycle, 3baece99a492fe234004da6219e532dc}
androidx/cursoradapter/widget: {androidx/cursoradapter/widget, 818cf5157b747375228f6687c23112b3}
org/conscrypt: {org/conscrypt, 027274b9b4a3d8a4e9ee361b8e0b2b0c}
kotlin/text: {kotlin/text, 3e46850bcf5bdb1475796c14fff2e2ea}
androidx/versionedparcelable: {androidx/versionedparcelable, 542dd9699021b2a489ba6c7d8f6e4a23}
okhttp3: {okhttp3, 6fe418a4cdacc5890533935c3588afa6}
androidx/core: {androidx/core, b869c6c1e3e8bb0f555afebaf91c2b60}
androidx/collection: {androidx/collection, 6ce72ea025a5c3e3fb2a88ef5a834a02}
net/sqlcipher: {net/sqlcipher, e3dfa6d8f0c09b1e221c4c8f65e27a62}
com/simprints/libsimprints: {com/simprints/libsimprints, 564194f7733869d0d4e36272dc8cfb98}
androidx/multidex: {androidx/multidex, 461a358b86c3e3bcdaf3a0df2e6c3f2e}
org/xmlpull/v1: {org/xmlpull/v1, 97feb56e5705a184069c48e46e15c51b}
org/commonmark/ext: {org/commonmark/ext, 296466b92f5eb210dbcd7efa7f493f08}
androidx/legacy/widget: {androidx/legacy/widget, 82049910e9994fb88dab5c38292b7abd}
androidx/media: {androidx/media, cb72d28c0fbb620a71e9704c631fd8ab}
androidx/browser/customtabs: {androidx/browser/customtabs, fb723adbd759b18ae48a85f30ed3fef4}
androidx/viewpager/widget: {androidx/viewpager/widget, e6f4d32c9c1d89611787028bce37e87e}
org/javarosa: {org/javarosa, f9a5703ec78c4b1ca56e984aab9f7a2e}
androidx/customview/view: {androidx/customview/view, 2e907f344d4890f33f157e50a6f64e32}
androidx/fragment/app: {androidx/fragment/app, 6430a342811058daa9318656ef15c5ae}
org/apache/commons: {org/apache/commons, a83ad6a7888abfb2964f155798feb98e}
android/support/customtabs: {android/support/customtabs, 341a4d7424f7730e1c2619e54cc45e45}
androidx/recyclerview: {androidx/recyclerview, ac89b623f92cce55661617afe13d46bc}
kotlin/comparisons: {kotlin/comparisons, 27d724da0e42335a8801494f6de59f15}
org/htmlcleaner: {org/htmlcleaner, 79e791247378078adab7f9fef3e25644}
org/apache/james: {org/apache/james, 0db390eeeb150a4b7e83ec8056f6ee13}
kotlin/jvm: {kotlin/jvm, 9407952525e43a0ced085e1175322fff}
org/joda/time: {org/joda/time, e3e56744678a317cb62bec2f9cd5171e}
kotlin/io: {kotlin/io, abbd7e45bf2b43c8662ed7b925d0c1bd}
org/bouncycastle/jcajce: {[org/bouncycastle/asn1, org/bouncycastle/jcajce, org/bouncycastle/crypto, org/bouncycastle/math, org/bouncycastle/jce, ], 988331bd0e8aa286438e5b9f9e8fa9f0}
org/commcare: {org/commcare, 98b36c5aba4f2f84cd1b9aad91050d2d}
com/cocoahero/android: {com/cocoahero/android, 2d8e40f131a54f6453679e633bec9778}
org/reactivestreams: {org/reactivestreams, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 5eec3e4daea16477fc7d210d16328cbc}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, 197ed5ee3f47e41a6eadad5990091222}
com/google/zxing: {com/google/zxing, 905e6f61f477f2b97c66b8b037e04174}
com/mapbox/turf: {[com/mapbox/turf, com/mapbox/geojson, ], e6c954df210d94417c5bf06c5492c348}
