p2: {p2, f2a859e7f9e42fb322743ad55d444045}
J2: {J2, de01cfb5dc613068cc41822136b4ab8a}
j: {j, e28ed6987fccb8f3f4f5ce101e4cd395}
c3: {c3, ed78965b47f9808d4796daf2844af093}
H2: {H2, 1932c7aec4d31e677230252f545ff21a}
l1: {l1, f33d75623f05a75fc5fb1b6c870ba6d4}
A: {A, 605e566072e72336726eeca79de41833}
o0: {o0, d77ed84aa763da0f948b11d6b16fd69f}
K0: {K0, 01848771e1e1370032129df5de36133b}
R0: {R0, e12c799b49a2a66bda8ab57a72d4d4fe}
y0: {y0, e39367af773bcfa8868a19ee78f2b086}
P2: {P2, 4f6db0ef6e02f533d8aee7ab80802ff5}
D0: {D0, 66bab6246b08ce0657ae4693cb2942b4}
Y2: {Y2, ef84bd0979edb780928937a785a7d8f7}
v2: {v2, acf7ef943fdeb3cbfed8dd0d8f584731}
z1: {z1, c731a55132201c4e6ea0c86321df938e}
t2: {t2, 55fe368b36376be97582464f3503eea8}
w0: {w0, 610d2c87ab8209486b7389ca04c294c5}
r1: {r1, 80ec2246f0c890dd128f02ca5e46967b}
Z0: {Z0, bcb21969268e0ea51136bf2ce7574fa6}
A0: {A0, 4b36abe4b661408c48c4b1bf7d1350a3}
O0: {O0, 09acf6f208898c76bc728d5db7e02c0e}
I2: {I2, d0d7a6f7b0421ab5ab1f81a2139a2ce5}
d0: {d0, e6234535d214916eaf8e3d66fc85f9b1}
b: {b, af577dbfdcd05c54919df1fda4dfadc9}
k1: {k1, 9e4c3aa0913458eb21ff4a5ef94dc6ce}
k: {k, e40b82bf5d6695c55ef11360c81471ac}
g1: {g1, 563f4484a0a1f613772359409866beb7}
c0: {c0, 1581030b2d85d0b5ffd5b7cd4f3f5b23}
p3: {p3, 53be10d4b00b780df4241260da1fd473}
U2: {U2, df1d20d8818ba3182ef4dd6d8d556008}
Z1: {Z1, cef758b5250e58c7c9e73991fbec7cef}
b2: {b2, 4b3bf7ba204c5eea5dbf817648fe93f2}
q3: {q3, 40c4b5449c05cbcca38e18a27fb48113}
R1: {R1, f895d49bbda0ab56f75434f8e0a65449}
com/byagowi/persiancalendar: {com/byagowi/persiancalendar, 5482c193ecb8177ae622d7bbae81cc4e}
l2: {l2, 01eaea58116703f088f85f4e0c427cb0}
androidx/browser/browseractions: {androidx/browser/browseractions, 9533fe2e1ac77f6b1c4f0461c4eb6d46}
i3: {i3, 00b24c293580fe71fc92ef3ca99ac757}
V0: {V0, 4aaa5d7da2fb4a00e38690e013456a48}
Y: {Y, bb44e9caada068c8b016ec10bdea1bb1}
o3: {o3, 96b14a1f8a068b795b7ca27362531666}
B: {B, f660129ac6b759093695f398c72a9bdc}
androidx/compose/foundation: {androidx/compose/foundation, 2a09a1896ddb2e188a5cfa3917b7a041}
j2: {j2, df74136af328bbad023fad658d78c874}
androidx/core/graphics: {androidx/core/graphics, fb22aad2b9e1be971667dfad62d25fec}
h2: {h2, a3cc2b995b2bf0a0bd49eb2f3bbb6a76}
r: {r, a7690c5e117e0479ad0d6f074096f9a4}
androidx/startup: {androidx/startup, 08c5775df7901f348750f14f4def3be5}
L0: {L0, da12b06f59e44c97dad4e42a3940a100}
z: {z, 86bfa3b967a1ebcc1fccc593e0e608a3}
androidx/compose/ui: {androidx/compose/ui, b43b39bf213f09bcd10134b6f7cfa165}
d1: {d1, d2f1fb079182a26d6d10c7c42206df2c}
Y1: {Y1, bccdb1f9fb79d2255ac0b16b681f9a75}
k0: {k0, b964f872a9028ef0265d9c931060fe03}
V: {V, 3c3b2a5be68426eee783271e725138df}
g0: {g0, 3e53e75bc38e7de93d641f454d259186}
Q2: {Q2, 2bf0a6534381c92de7986d632342bbfd}
J0: {J0, 1956e1cc0087401e6d60cb1f96190a3b}
x0: {x0, 3050f0066be0bb361958b0af3a48db54}
b3: {b3, 46146b6197898d7296e48f661d996559}
androidx/room: {androidx/room, 069cdb710880d9bf5d0584e1f0bc49a5}
w2: {w2, 4380e6a9b8081aaa267560970310762e}
q2: {q2, e3d16f3c0e6233314a9bb5db3f22ab49}
U1: {U1, 955ede83b2da933ef8d482a028d19a2a}
R: {R, ce678ce03de24e3c73ff77db04d6a499}
X: {X, 2451e729658c658e090a222d72e38496}
o2: {o2, eca9498a66d996dcace3ca962aeb95c4}
m3: {m3, 28f4c740305afef341f298ed8610d38e}
i2: {i2, dea8003782414d6e1444c3f5e6bcf695}
S2: {S2, 3922ee1bf75cac60c3bfeee8009161d6}
K2: {K2, 70195c579e8733d092531fde7f68a4c8}
D1: {D1, e0ca590e15cd0cd2120b5886226209d3}
C: {C, b9cb6cb9e3f0002929b6009658887cef}
t: {t, 3623ca6b3ddcfcdcce3e3eb9e5743c91}
g2: {g2, 55793f6b9c5cae5cfa33f335597d1ff0}
V1: {V1, 7b4bbb6d9dd016e14b067b15c5941c87}
j3: {j3, 21e4258739b2e4f7688556743870f928}
J: {J, 21ece685578b938ca65c1213288c0043}
C1: {C1, 523b5732dbb7d9e7c120ce4e65905183}
u2: {u2, 856f22df1446229e04618d86efd048d7}
s: {s, caae4437cb1b4e1aef0ea22f4ed2b586}
W2: {W2, acf7ef943fdeb3cbfed8dd0d8f584731}
d: {d, 2e033dbf00d89b171f86be243f5d0fa0}
h3: {h3, f8d6b1c505008c323d949a7764ce6619}
n2: {n2, d8c670bc7dbd75e4a3ccfff2b972e185}
L1: {L1, caf5748194121b7e96fa16d948804dd9}
k3: {k3, a21899d76db6a172133305252176e349}
O2: {O2, 502bd85f4f054627f293635d405fb6c0}
Q: {Q, 68b52eb312535475f36d257d8f2a636a}
l: {l, ec82f3f6f536530a882c7ea14c3dcf17}
S: {S, a7ff6853e378df6d348a129f5b0afd24}
v0: {v0, b5878efbf3c74fca8b293073440bbc53}
d2: {d2, c9c0cc1cd6135eead5905efbd2fbeaaa}
Y0: {Y0, 13cc083c435e13c39d3d917448f65a6b}
q1: {q1, dd3ab96bfdcd35e43f758278bbdbc150}
U0: {U0, c0f9017a3fb1c42ec8a8914aeda7d018}
x1: {x1, dcc582b07927be302cd000f0717936c1}
g3: {g3, e7c7f65bf1717f7f49e9b281ae66e9a9}
n0: {n0, 6d2559df23ba2d0f5dff9ad87074a813}
I1: {I1, fe31cf95a590828e2477d7050f3b32af}
D: {D, 6cbedc2c9fd65990fcfd6ff0a5d610b8}
b0: {b0, ccac19380f22a6baeb335a7d93f6572f}
N2: {N2, 2b6470c1e83c8ad3e773704ac0e61182}
m2: {m2, 7a4eda4d84d35d5c08a4c2628e808ae4}
L: {L, 48db71d913debd739a5675aef67c470b}
android/app: {android/app, e079f4fb8febf5b63effbb6583d13a90}
F2: {F2, 038f04e33733262ed5b40f06d3e29307}
androidx/emoji2/text: {androidx/emoji2/text, f6c8b90eaed3842ca6813ebd99616b75}
J1: {J1, 18f7e76e5c1eb5f391fb5fb23d472f68}
D2: {D2, d9bb4addcf97186cfce5635ece2652df}
c2: {c2, a19cbad3883835fa596b98a418aad846}
a3: {a3, d237c3dda938855ff5f08a4d622fe81e}
Q1: {Q1, e043edeaf0b009c75c1b44f22afe28a2}
G1: {G1, ebdbf6f8fc671a15e0368238ef85cafe}
C0: {C0, fd7c5533ccd4423d1ba63c6ac0ac30d1}
j0: {j0, 1ed52c735b050e5784cb1dd28c366716}
l3: {l3, 38d53b93ddb34dc4fc38437d8a5beb2c}
B2: {B2, 572514d74f830d5811daaeed346a2b74}
n3: {n3, 5635100057715fed7c3516c5c1cbe53c}
u1: {u1, 7305caef724168cbc0c6f2e2bdbe8c15}
e: {e, 65dd573a7153fbed454c13d1117cf6ce}
d3: {d3, 734a8622e0116a44399035e05ecbaa7b}
l0: {l0, eacb7ee7838ddf72a4f582ba96be4f39}
f3: {f3, 40829e8d9c42c979a4e006d8f4e8f734}
L2: {L2, 3ea805ce4b34511347c45720c7b8b744}
k2: {k2, 736d4baaa474f5cdecc1ee8f58ff4f22}
m: {m, 12d4d956d366d09ed5360fc23fc8a8bc}
e3: {e3, 77e6cdda68018dd66a7fb9f3ee744ed9}
f2: {f2, cd3483fd33a70d31bd07ba48ca79cf50}
v1: {v1, 8f4d5c16f6e87f0bebe7a394e606ba1c}
b1: {b1, d28ad47f5552f14fed6834603e253ace}
q0: {q0, de9447bad585e64150f5bbf259274519}
f0: {f0, 030120a5d1c6511c61e4e3ce4daac601}
androidx/core/app: {androidx/core/app, 61402b2353f6069ce0ff25a4f4f3e65e}
androidx/profileinstaller: {androidx/profileinstaller, c500d1b0c97ddc05121f2dfc929458ca}
I0: {I0, 366bf15f66ec21a9bc083d3073bba56a}
E: {E, 548eb687b0dac36777c30a354d2354f9}
