androidx/appcompat: {androidx/appcompat, b3491d0b24a99e5c15df0d8add280816}
kotlin/collections: {kotlin/collections, d150e31b1fdcbba292948dbb674de0ff}
kotlin/jvm/functions: {kotlin/jvm/functions, 8086138030b63889d8c914926d6c6a46}
kotlin: {kotlin, 5d47d2ca9966cecf72af35b98ee5dc0f}
androidx/emoji2/viewsintegration: {androidx/emoji2/viewsintegration, b7d5c182886948eb8befbe9e76b04e5d}
androidx/room: {androidx/room, a37d931489668e16c7145eb4acfc683a}
androidx/activity: {androidx/activity, f1a9546bc8245bc5cc77af4c4e036881}
androidx/profileinstaller: {androidx/profileinstaller, 5d879a2c972aa00f931b339868edcede}
androidx/customview/widget: {androidx/customview/widget, 95100f851f0fe34bd7808c7ea0c9dabf}
androidx/core: {androidx/core, 22c5b1d6e639d2851cb913a1482eb7a8}
androidx/preference: {androidx/preference, 0ea267b606ff58c796af4168cac5219b}
androidx/emoji2/text: {androidx/emoji2/text, c720b9017b3111be06bd201472502fb6}
org/equeim/bencode: {org/equeim/bencode, 9497706cfa50661ff4b12478020f8266}
androidx/lifecycle: {androidx/lifecycle, 364adafb1181057a1f620a93537dc49c}
androidx/fragment: {androidx/fragment, fcaabac8f1bfa6ddb27750581372f4ed}
kotlin/enums: {kotlin/enums, 3ea805ce4b34511347c45720c7b8b744}
timber/log: {timber/log, cf3d16f3a25775c76056a5ab5edbe5d8}
androidx/navigation: {androidx/navigation, 62ae3558a0b520dd8340f56eb1e61c1b}
androidx/loader/app: {androidx/loader/app, 1fbdfabf4ee1e5deb6c85f4ec64599ca}
androidx/cursoradapter/widget: {androidx/cursoradapter/widget, 2596c5cac5b509d523bc9f621763d17b}
kotlin/reflect: {kotlin/reflect, fcfce6b46f15eb1690939b3db0e198b6}
kotlin/coroutines: {kotlin/coroutines, 5da36de17155b6cd750c7b399595658b}
com/google/android: {com/google/android, 10d4ec2855dbfc98660f4b77d10465ad}
kotlin/text: {kotlin/text, c8761f8c027bb3380f9281766363a877}
androidx/viewbinding: {androidx/viewbinding, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/versionedparcelable: {androidx/versionedparcelable, d675521541636dd385311ac1c1e59ce7}
okhttp3: {okhttp3, dc0307babe1a6dcab11608b718f8e868}
androidx/startup: {androidx/startup, 5a4a2d2cf21d46b59fd7efa28c71895a}
android/view: {android/view, e079f4fb8febf5b63effbb6583d13a90}
androidx/coordinatorlayout: {androidx/coordinatorlayout, d2a43c9776b1eb4da859346a12a1299a}
androidx/collection: {androidx/collection, 96c71d64f6bc90e02ba9e8343abf4fde}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, ccce21e1649d641520ef43cbbb471686}
androidx/sqlite/util: {androidx/sqlite/util, 34ffb0c68e62b3f33dbd388feb05c53e}
androidx/transition: {androidx/transition, d75a012a3e5716042958b6cfb3b8d3c5}
kotlin/random: {kotlin/random, 5cb158f648f713abb4c936bcee9158f3}
androidx/interpolator/view: {androidx/interpolator/view, 550d9160df6aca4f53bbdd4bfb6e1728}
android/window: {android/window, e079f4fb8febf5b63effbb6583d13a90}
kotlinx/serialization: {kotlinx/serialization, 42a2bd317637720acbcd6cf93f631d5e}
androidx/cardview: {androidx/cardview, 8fbea5d59ecdeebfe560004f88647fc6}
kotlin/jvm/internal: {kotlin/jvm/internal, 39565833ab5da52745c8eeefadfb606f}
androidx/arch/core: {androidx/arch/core, 4f87586952be25a295936ec0faf2e477}
