androidx/appcompat: {androidx/appcompat, 3fce45ca5e480c8ae2061efa4063413d}
kotlin/collections: {kotlin/collections, bbe7b22955d9c03b8e41c8341be7d427}
kotlin/jvm/functions: {kotlin/jvm/functions, e381f6991873210ea6cc1b6be99b5314}
kotlin: {kotlin, d0bce7e1d2798c1021734f9f46adba3b}
kotlin/io: {kotlin/io, a8a33973ce8725de2124e584473f45db}
androidx/arch/core: {androidx/arch/core, e670af69d020d96ed5403022b3ed85ef}
kotlin/internal: {kotlin/internal, 6544beaed2e46523912eb2594831eac6}
androidx/activity: {androidx/activity, d29ab260544ccf8aefac64f76515c438}
kotlin/sequences: {kotlin/sequences, 7f385f5af33dbdb3e86bc9003fdd161c}
androidx/core: {androidx/core, e24e85966b4a9be94c6e900de52d12ec}
androidx/preference: {androidx/preference, a6f6a415d149d132e70c4611c1959c05}
androidx/customview/widget: {androidx/customview/widget, 672ad06b87082971debbca037ec9e2be}
com/leinardi/android: {com/leinardi/android, 4e0036c794b87d29f1682ad905b639cc}
androidx/lifecycle: {androidx/lifecycle, 7b7bff47182fafdcae280a64e2c5595b}
androidx/fragment: {androidx/fragment, e87826a7a017c2e6a7477a357394dfb7}
androidx/cursoradapter/widget: {androidx/cursoradapter/widget, d1ddce913d78fe56abebd69aa7e62f3b}
kotlin/coroutines: {kotlin/coroutines, e330ce70b0e240cf54c2230d20b5ca26}
com/google/android: {com/google/android, e58c94ec8b816a2315d3b15ed0f26a5a}
kotlin/text: {kotlin/text, 698cabe524b517a2d0c267bc89d81a5e}
androidx/versionedparcelable: {androidx/versionedparcelable, a30de75d6f97dba1417a468bb6610693}
androidx/constraintlayout/core: {androidx/constraintlayout/core, 05f1c602f5ce61beaa47f04700ef3c0a}
androidx/coordinatorlayout: {androidx/coordinatorlayout, b0f8de8f60a2c25764321b01ee38854d}
androidx/collection: {androidx/collection, e4dcbd52d50fbf9ac075033af209a9ab}
info/guardianproject/netcipher: {info/guardianproject/netcipher, 5959614c4a39cfbd7a5e8c52b0317257}
androidx/transition: {androidx/transition, c89753696591e4eecde5de24726b9c20}
kotlin/random: {kotlin/random, af435efc57a7fef7fb2e83a9e9719110}
androidx/interpolator/view: {androidx/interpolator/view, ee54aef26025686b20793115ba6db979}
androidx/multidex: {androidx/multidex, bd70f88a51b1dfbc7920bfec4fae94f8}
androidx/cardview: {androidx/cardview, 95ca314f1368f7e7e0bb95a2d9f2edcd}
com/google/zxing: {com/google/zxing, 272f8d3038ef1416dc4e133d077d3ef6}
org/ligi/tracedroid: {org/ligi/tracedroid, dd5a4acc89f3b472f3fef14b220fc4af}
kotlin/jvm/internal: {kotlin/jvm/internal, 9adf77d9e2af91b738ac39265b36e0c7}
androidx/viewpager/widget: {androidx/viewpager/widget, d53975c039a97145171161c375657b66}
androidx/loader/content: {androidx/loader/content, 18ccd7d586715cb0d84cbb2c7981208a}
com/fasterxml/jackson: {com/fasterxml/jackson, a56e41a1d2996ed1532205fafeaaa6ca}
androidx/emoji2/viewsintegration: {androidx/emoji2/viewsintegration, b073ea139983d5016ed1473c7cfe2172}
com/nostra13/universalimageloader: {com/nostra13/universalimageloader, 788e5a3e9c762156b543c8b93937a1d5}
androidx/localbroadcastmanager/content: {androidx/localbroadcastmanager/content, 8f988236459d195b98f4546137a54721}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, b56342acf2bf92b20879621b62527d0f}
com/google/common: {com/google/common, 9a3ff492093c7cdedf8991a4651183a4}
androidx/emoji2/text: {androidx/emoji2/text, af577e39f32b44699cd860203ade6437}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, 9880bae0ba4383415445a4afe6d3baad}
androidx/savedstate: {androidx/savedstate, b514f181a8627d046c247a1209cb2e98}
kotlinx/coroutines: {kotlinx/coroutines, 1a416c75a8782aed2ab15f8bfa9cc076}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 9e69d9e41274de8051d6617b58cff8a0}
androidx/viewpager2/adapter: {androidx/viewpager2/adapter, 0882bfe7904e328bfe66192e77050659}
kotlin/ranges: {kotlin/ranges, 1e078cfc99f55df3b8d4b4b71af681e8}
androidx/tracing: {androidx/tracing, 5229c2066b181f32e04a48699e6f4f19}
androidx/startup: {androidx/startup, 2b8a96a2970587a91d9bd3483c5d5582}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, 2b7b82255e291e1ff39d2dd6180c7440}
com/journeyapps/barcodescanner: {com/journeyapps/barcodescanner, d6618c496ee0f0a38f2c4b0efe6430fc}
org/fdroid/fdroid: {org/fdroid/fdroid, 4e58d9664cb15eedbd8f79e967feecab}
androidx/recyclerview: {androidx/recyclerview, 6315f018a03c5f52b20e0176598a010a}
androidx/customview/view: {androidx/customview/view, c3b3beb9393315adfa34bad026d4a89d}
androidx/loader/app: {androidx/loader/app, b94cc3d2baf48aab578875ab7ee54b80}
