androidx/appcompat: {androidx/appcompat, 4eda934124cda40e428250be1df33187}
kotlin/collections: {kotlin/collections, 846ccb8c293c55912d26d7fc471a748c}
kotlin/jvm/functions: {kotlin/jvm/functions, 3c12fc6b8f55fab0318e6b22ba73f244}
kotlin: {kotlin, a6035a4da8b7fd94ced5f91c1b1ab9b9}
androidx/room: {androidx/room, 72c70b4eac26edbbe9fe2a56d6decc11}
androidx/activity: {androidx/activity, 2b901d7bdc51b7774773996161656f0b}
androidx/profileinstaller: {androidx/profileinstaller, a78670978f4e1df992b76c33926fc1d1}
eu/darken/capod: {eu/darken/capod, fd8439744d28b44877d2827ecfbbbe1b}
androidx/core: {androidx/core, a2d4db9312b88379bac8328c9673c451}
androidx/preference: {androidx/preference, 3deb41d4559ad2bda923ef12e5e802d1}
androidx/sqlite/db: {androidx/sqlite/db, f739ac5c2ac0cf8fe4478f4d8c82dfa0}
androidx/constraintlayout/core: {androidx/constraintlayout/core, 099754527ad28bc738a3db16a8f23e9b}
androidx/lifecycle: {androidx/lifecycle, f63ddde37d0ce25d7f7622003970ef15}
androidx/fragment: {androidx/fragment, e7ae8651f4fe0484ba97ba215457c5f2}
androidx/emoji2/text: {androidx/emoji2/text, cdc68d0c41236da76afdfdae4fdeb3f0}
kotlin/enums: {kotlin/enums, 58a182ffe7d9ecfcbfa0562615c02b26}
androidx/navigation: {androidx/navigation, 7e51cc68017a8d05a45ab4c47eb0424b}
androidx/cursoradapter/widget: {androidx/cursoradapter/widget, 351a66ca6cc2ef6d04df15e2575a3485}
kotlin/reflect: {kotlin/reflect, 52a934258690813e577639d61f36ad6b}
kotlin/coroutines: {kotlin/coroutines, f6a53cca1c7e6e8e8c1e418feca0b7e3}
com/google/android: {com/google/android, 017a80deb8f379f43f7c89db0fd83b57}
kotlin/text: {kotlin/text, f0bb09d2b74e86b259f7f3a65e246806}
androidx/viewbinding: {androidx/viewbinding, acf7ef943fdeb3cbfed8dd0d8f584731}
dagger/hilt: {dagger/hilt, 7e4579a46aa907f10621f4bc64d72477}
androidx/versionedparcelable: {androidx/versionedparcelable, 51a35ccc76fe4342f5773794a7cdf2f2}
android/view: {android/view, c4e9eeb25e17c46354752ac4239a9772}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 845c7933f7c8b0975a3b92130fa8ccf1}
androidx/collection: {androidx/collection, b471ecbc5e964aa188f8d64dfe7d5c6c}
androidx/sqlite/util: {androidx/sqlite/util, ae36d459df95c9763d65f45fe1a5f732}
androidx/transition: {androidx/transition, afb8c9a98bdeef49f6eb8a54488d7fc2}
kotlin/random: {kotlin/random, bd21c74e8fb072c5062e74b1906e0f5c}
androidx/interpolator/view: {androidx/interpolator/view, 550d9160df6aca4f53bbdd4bfb6e1728}
android/window: {android/window, e079f4fb8febf5b63effbb6583d13a90}
dagger/internal: {dagger/internal, b87a2ee0acd82cac22f2d4b8119e3c1d}
androidx/cardview: {androidx/cardview, 1bedb447273203577f4f9e2eda78a282}
androidx/arch/core: {androidx/arch/core, a5c66347a4cc98646c3510f924612248}
androidx/dynamicanimation/animation: {androidx/dynamicanimation/animation, 046d58332f876c89344560afa2ca626b}
kotlin/jvm/internal: {kotlin/jvm/internal, 24ee2cfab8efba459a6585cf223f89e0}
androidx/emoji2/viewsintegration: {androidx/emoji2/viewsintegration, 4b4876089807b63097fa989347bdb188}
kotlin/sequences: {kotlin/sequences, d93cd7089d07d02594d3fdb59509d859}
com/squareup/moshi: {com/squareup/moshi, 7d48a592adcdbb594fe2d2deaa3f6de1}
android/app: {android/app, de1c2b92945417ecd988923d07abfa41}
androidx/customview/widget: {androidx/customview/widget, da88390e55179c762aaa581be94fb603}
com/google/common: {com/google/common, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/hilt/work: {androidx/hilt/work, 37857b3aeb858b2f9eb23be187051584}
kotlin/time: {kotlin/time, 689dd2ba70cd5517da5a14ea66bc99af}
androidx/work: {androidx/work, f4316e9396aa1daa0544b30b79e9207f}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, acf7ef943fdeb3cbfed8dd0d8f584731}
kotlin/ranges: {kotlin/ranges, 561ff2772ef16e80aa6c048004cdf6dd}
androidx/savedstate: {androidx/savedstate, 6e9461ab4332ecf587e4a85cfbadd852}
javax/inject: {javax/inject, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, a27fd2aac5b4d2e31ae204e932df55e0}
androidx/viewpager2/adapter: {androidx/viewpager2/adapter, 359d35646220e525dde5ce0f5407d17c}
kotlinx/coroutines: {kotlinx/coroutines, c4a61a8ef4a87b96c44de232d64098a3}
androidx/tracing: {androidx/tracing, 22af767daaba3d6456e58256843c8f50}
okio/internal: {okio/internal, 5db441b922b4dc6539b3a65647217f8c}
kotlin/internal: {kotlin/internal, 4590de09b30d5c2845ef3efe0f5efb20}
androidx/concurrent/futures: {androidx/concurrent/futures, 8068acf021443eea974d070a2013fc2b}
okio: {okio, fd48dcb39bc131f909a7cb4f37ff718d}
androidx/recyclerview: {androidx/recyclerview, 596d4bfdbf42f9ec0badaa9e599f61e6}
androidx/customview/view: {androidx/customview/view, 7f06e60097665662a0e4f97511fef56c}
androidx/loader/app: {androidx/loader/app, 194ff16d0bd6c0c85537260805eaf86e}
