androidx/appcompat: {androidx/appcompat, 7fcfdd2d42a51d8fad6dd81aea4276aa}
kotlin/collections: {kotlin/collections, 6f9eac5143a998fc45ebcd07a844076e}
androidx/legacy/v4: {androidx/legacy/v4, f5649c67bb0f45aebcffe7a7a3f8e869}
kotlin: {kotlin, d480ad0c3f4654d7b62d21ed2c0b5ebd}
kotlin/io: {kotlin/io, e8c960ea9b6aab2b7e80d6be8e2b982f}
com/github/kittinunf: {com/github/kittinunf, 42432b9eb11d7dbef4e0bea8013ce930}
androidx/room: {androidx/room, 62fea27a722478c49c264a6ba79cfe5d}
androidx/activity: {androidx/activity, 5ee6a263a8a4ea1ca4fadb57ccf2498f}
kotlin/sequences: {kotlin/sequences, 4f8c5db9b5c08f830c039928af618811}
kotlin/annotation: {kotlin/annotation, 5ceefce2e30f15116573e0539c5d1608}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, 1241f2ef8850d310175afb6edf9ee38b}
androidx/sqlite/db: {androidx/sqlite/db, f42e4bab1b4690e20b276947b1319c3b}
androidx/lifecycle: {androidx/lifecycle, 20569c24666540cb59f70537189f1620}
androidx/fragment: {androidx/fragment, 6c672a81031097cc5e42c0508c2df0ac}
com/android/volley: {com/android/volley, e3969ed39494e4ce2c7c05de89f2f01a}
androidx/navigation: {androidx/navigation, 2749866814b47c2a36a3d49db0408e79}
androidx/loader: {androidx/loader, 0cd6a1cb2f2cf1528b7f4f3a8485c40d}
org/joda/time: {org/joda/time, db28d5b57e4249ced8bf945b2c6a0d31}
androidx/vectordrawable: {androidx/vectordrawable, 04c6f2de3550e7ae6de8a5f538587e3d}
androidx/viewpager: {androidx/viewpager, 1157cc5ef114e558baa5977ec8368790}
kotlin/coroutines: {kotlin/coroutines, f9bf99107cb209823486033068124441}
org/reactivestreams: {org/reactivestreams, f2c0ab0033b9dba5248bed9a187813ba}
com/joanzapata/android: {com/joanzapata/android, 0db390eeeb150a4b7e83ec8056f6ee13}
org/jetbrains/anko: {org/jetbrains/anko, a69c7ab97eb0bc70fa0f11f5f6935f52}
androidx/versionedparcelable: {androidx/versionedparcelable, 21455fe420dbe728b6812da26c553aba}
org/intellij/lang: {org/intellij/lang, 72031a0fa55a4d161f71e493a97c6296}
com/chibatching/kotpref: {com/chibatching/kotpref, 4f1688e788165ef9d9674dc7b47a7413}
io/swagger/client: {io/swagger/client, b7a2eb692db1c55ca2e9a4bbf35daecd}
androidx/core: {androidx/core, 6a556c5a49bd4aeda3915a680af63e0a}
androidx/collection: {androidx/collection, 536c3c85b6cbc905a8a9919f924d5ed1}
com/google/firebase: {[com/google/firebase, com/google/android, ], e03169be59982bd7a870c6e360019e56}
androidx/transition: {androidx/transition, ab479dc52cea2d89c3f60239dcbb4ed5}
org/apache/http: {org/apache/http, acf7ef943fdeb3cbfed8dd0d8f584731}
kotlin/random: {kotlin/random, dd30b7dd9f45a5ca3faab70f5217b555}
androidx/asynclayoutinflater: {androidx/asynclayoutinflater, 6b45442ac8cdc99436a1292fdc3fcce3}
kotlin/internal: {kotlin/internal, 697e284ffca019f824df8663891613ff}
androidx/cursoradapter: {androidx/cursoradapter, 5256c2d3bbecbec03155f21ce61e7e4c}
androidx/slidingpanelayout: {androidx/slidingpanelayout, 2b0cde47188ac9e2aab2018110c44b15}
androidx/multidex: {androidx/multidex, ba3a017f8d0fdbf4b368cb791aa3bec5}
androidx/cardview: {androidx/cardview, 09515ac4a15fbb3b8a6e5adb16e9cae7}
io/swagger/annotations: {io/swagger/annotations, a9775f0e6fc791a01edce5852b98d493}
kotlin/reflect/full: {[kotlin/reflect/jvm, kotlin/reflect/full, ], 59c0f1447aad3742c5fcd54fddf2f851}
com/google/gson: {com/google/gson, e5df649f29fc085fdb53a3f4e60516f1}
androidx/drawerlayout: {androidx/drawerlayout, 622bcdbf7e044eec246972609bc1f270}
androidx/legacy/coreutils: {androidx/legacy/coreutils, da1c5c0e9e4d4de1ee6852a39fa1fee1}
androidx/legacy/coreui: {androidx/legacy/coreui, f5649c67bb0f45aebcffe7a7a3f8e869}
androidx/media: {androidx/media, 9ead0a297ef18a6197c8209a95abb74e}
net/danlew/android: {net/danlew/android, f1efc8265b27882f94325c30302cd586}
kotlinx/coroutines: {kotlinx/coroutines, 60e29fc2ae9601f9f185635a952ae81c}
com/github/chrisbanes: {com/github/chrisbanes, 34ee1727d7c4abc136faa0d061ab040a}
androidx/legacy/widget: {androidx/legacy/widget, 1b10b630de1a831927ad2fcda0ca1158}
org/jetbrains/annotations: {org/jetbrains/annotations, b0a74309ee391d554cae699bd2538bf5}
kotlin/js: {kotlin/js, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/work: {androidx/work, c7fd9eb782a8f13c03751118a0bc9fd4}
com/github/lzyzsd: {com/github/lzyzsd, fcb7541afe86ecbdfe0f2b10eca25ef2}
com/nostra13/universalimageloader: {com/nostra13/universalimageloader, 186f53a08bcbc9dd21a717bf75adef21}
androidx/interpolator: {androidx/interpolator, 0fe191d1451d04af1e8482845e27e77e}
kotlinx/serialization: {kotlinx/serialization, a800b732d1a308f1396d67c8f9e79e7b}
kotlin/text: {kotlin/text, cac89672aa3d01443fa7c97bfca86a91}
com/google/common: {com/google/common, acf7ef943fdeb3cbfed8dd0d8f584731}
io/fabric/sdk: {io/fabric/sdk, 56eb7344b6b06155b1fd39c238264b2a}
androidx/arch/core: {androidx/arch/core, 0025363909878f30d3e268b56157d51d}
nl/komponents/kovenant: {nl/komponents/kovenant, dcfd221cfc4ffab46cedc2d89d419698}
com/joanzapata/iconify: {com/joanzapata/iconify, 5faa361d41f173b0e184fef33c929a82}
androidx/legacy/content: {androidx/legacy/content, 0ee9413779ad1b96d7760df1607acbc4}
androidx/savedstate: {androidx/savedstate, bbfada5c309eff177eef2306bbb78dd1}
androidx/documentfile: {androidx/documentfile, 8209e2503cb1f5bf1c7b9c6bf5b33915}
androidx/print: {androidx/print, a26d68553808a5fa1fa0d8e5867ff389}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 44b50d6f3b3d14cda55c429c643456b5}
io/reactivex: {io/reactivex, 9c83c0cc1b67122471e51adcfd4028a3}
androidx/constraintlayout/solver: {androidx/constraintlayout/solver, 6134d5352957997d7b441e0c5b975e2e}
androidx/legacy/app: {androidx/legacy/app, 8836705ac67ef741f1d4e9bbf067fec4}
kotlin/ranges: {kotlin/ranges, 84bbccca7cbab13d345e962a19fb0897}
com/petebevin/markdown: {com/petebevin/markdown, a71a40bf300f04972e18762e2b70c83c}
com/crashlytics/android: {com/crashlytics/android, 618461b1f370ffa9118794d0631af21e}
at/grabner/circleprogress: {at/grabner/circleprogress, 09b67d32f99498ec584e72b9e7ecff7c}
androidx/recyclerview: {androidx/recyclerview, 1abdb3c270b3d6dbca574a4df08fb8d6}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, 0b185d2d25105b41f00df3cb84f6dcc7}
androidx/coordinatorlayout: {androidx/coordinatorlayout, d6fe06ed8667969bd9e37ab9ea44e6e6}
androidx/customview: {androidx/customview, f30ccbeb1c0fc215d4e8bf0f93e2ff7b}
androidx/annotation: {androidx/annotation, 03026da0e2771c977cbee982ba378816}
com/pawegio/kandroid: {com/pawegio/kandroid, 368e1064b3f50009cb5d381d6e6de748}
info/androidhive/fontawesome: {info/androidhive/fontawesome, 4f9707be005a2bfdc6fe2d7404d8c873}
kotlin/jvm: {kotlin/jvm, 1d771073aaaacc4f3059ad2b793333dc}
org/eurofurence/connavigator: {org/eurofurence/connavigator, ad907b7b1624d1a2bbe6aa2da090e090}
