a6: {a6, b1601f61de8a4e492d168691cb57a36a}
p2: {p2, a81ff06aa93ee41728f77c14b5f7fe5e}
d8: {d8, d7f89ffe12d62a253d9551ecb221ba8f}
j: {j, 8719e69e35fd0712dd98bacdd611d549}
c1: {c1, ea4378e4fbf0778aea3efaad7c0d3e67}
c8: {c8, 066e56a79f42fefc9289ab3098395d8e}
q4: {q4, 91bbe144d32482ae3044670dcaaea752}
androidx/activity: {androidx/activity, ce9fc56463e7089af0161c9c0bcb5dce}
x6: {x6, 34d1ed617a00c53f69a8376fdef59a98}
l1: {l1, d2e774a3405f752a2e1d9f2ffa89db30}
androidx/preference: {androidx/preference, f10dc9e31968ffd711708cf36485ea23}
i4: {i4, a13fffb4c93eb8dc9b398d9dbb251b3d}
androidx/core/widget: {androidx/core/widget, 3fb507976ddf1a7c8d2f1d80613109d5}
k8: {k8, 5984cd641fa6d43be921452517f00e29}
g6: {g6, 548a80eae088c996b0c3ae554b43b530}
o0: {o0, f7c64efcf4eb2dfea7fb213e7fa442b9}
b5: {b5, 8210522c866b9b0d53488cc1bc88bdba}
d2: {d2, 5f167aa73adc11fdd51c650238602f18}
v2: {v2, 214a19c527ceadbd098e33ebb497c86d}
z1: {z1, 8236d9ed29f2432b21b734b0d372707e}
w0: {w0, 9ee2e54e729c46c14de7c20a00e57bfb}
r1: {r1, 6213f8a8ac5217a41872156c82b11775}
e6: {e6, 202fff51c531f44aff8109e18b82f91a}
j5: {j5, 0d053cf25b500699955beaef87024019}
l: {l, 114a19e03bf427e5ed2c14e7338c0339}
androidx/appcompat/widget: {androidx/appcompat/widget, 1c8e9b32396db16923cdda377ff75d7c}
y: {y, 57500611a4876a2e317fc2be3db3ed34}
f4: {f4, f66acdd2860508fc85a84e3c3d120d88}
b: {b, e3b790f2034a452a6d0622f086a7af45}
k1: {k1, eea64769e84c66385b6afc0b9b8d649f}
k: {k, cd0ebfc46e9bd41c04e0316615e2fd82}
x7: {x7, 8c90f8c2b39a4c78606c0867b5d32a88}
g1: {g1, 79e2837015879aa82431fbd6655e0d1e}
c0: {c0, a4c4e015fed83eafe6b0f82ac2f62f21}
p3: {p3, f4d55bba064bb42309229ff1e6e0f7fc}
e5: {e5, fb2984635f5298f4af29d397d05e0667}
y7: {y7, 89f179fa9ab6973c24f459df850ddb55}
q3: {q3, 16d5fdfa41a4134e27745cac69407bfb}
d6: {d6, dc11c11e531a6d1dbf4ba3cfb456f488}
l2: {l2, 4d6a06a8c65fc68dd73ffab0fda42724}
i3: {i3, 4fb51a439bfa265d799d947f84573969}
androidx/core/graphics: {androidx/core/graphics, e6c019b577c14f98150aa052b3f213bc}
androidx/savedstate: {androidx/savedstate, 50e341467ac3ac4077b3d48938628376}
m5: {m5, a3b73e3eadc2d32e40aa706f60b41bf1}
t3: {t3, 93ece8feb589374eed1ccb5a308c08e4}
j2: {j2, f1ceb087a6b46dd8b704a9d5177bb257}
v3: {v3, 766a473fe011ce85fd6b445e3fadb1f8}
f7: {f7, 2e34ed63a3f18b814c9645b430e6cf09}
androidx/datastore/preferences: {androidx/datastore/preferences, ba1f3c834b5578693e54c67df4a3a36e}
h2: {h2, 6842dd82a75647b9b0cf86fce2a17e0b}
n5: {n5, 85bf6fe8a9aae0f9e7f3b7a116dfd749}
u3: {u3, 5ad8f0a06c7374dfcd5bb848da266bc0}
r: {r, 9faa369c5d417b0c46854aa983bffb55}
z6: {z6, da67fbe8d63a0c4ba8fe165d22077259}
f5: {f5, 292e4b06c597703553a16dd2bba07832}
androidx/appcompat/view: {androidx/appcompat/view, 3918295ff7ed82171b590ada4290cf90}
w3: {w3, 0f545d8cae22eba3d23e02f48b0f809f}
z: {z, 18a9be11bc1a3c1193b15a56fde1ad04}
r6: {r6, 03aa7dd5eb2116723e940da0ff6276c0}
d1: {d1, 14ca9774c9100064a44e613667f869ce}
c: {c, 70926b2c9f8cbdcf8df44648b61f1ff4}
k0: {k0, ea4155da3a55ab340dc4d4223344ef7e}
g0: {g0, 5443761cf757c1c897d0614b271d8792}
x0: {x0, c731da2829b443033ce0f929aa057f3c}
b3: {b3, 4780842d170f29dd2bc611d8de6726aa}
w2: {w2, 8a1d0bc8ff1962572be7c76da3a09994}
q2: {q2, 9c0f2ef8a56165f4eb6b56c6bb319ee8}
e4: {e4, 25fb33e5e7e847a3922db8043f275054}
o2: {o2, 620173a6db74151a64c43fe86523e345}
m3: {m3, cd1ef42a88849bae67d35c0d6fd06203}
i2: {i2, 0fa5c77d32ecc7b60ea2a0f79f0e4e50}
androidx/lifecycle: {androidx/lifecycle, 8d5c85f265dbafd76479c308ab225cc4}
c3: {c3, 78674b9248804836ce5f4495b715e3aa}
a4: {a4, ea8248b75218d31aa3f12c81f3389fa2}
h4: {h4, c15aa7c988509fd15afb86c0b6842a79}
t: {t, 277962b451c942fa427aa7755b06a6f6}
j8: {j8, f3f5faa73a8a40f742d00c85e2b66560}
j3: {j3, cb705b4a78d98cc4a9926cc9fe215a07}
m4: {m4, a6f867a71b538653b410ba7ff5a8dcbc}
t4: {t4, 0bbaa940e3c860ce1866583b62ec7ec1}
u2: {u2, e3072eb3b5d4a6fbd3e5ffcd9feb2be9}
s: {s, 0b6b5f3c782c3b032ba780a0d558efc3}
d: {d, 7870cdecf3dac7f5b4808423de9d9e4b}
androidx/startup: {androidx/startup, 775f9a78c2ce88ce8f1a6aa47274f9f9}
h3: {h3, 1762ed8a4f90d851eff3cdb4f872367a}
n2: {n2, 89738035f1db16edb3ed8b0e2af2a2f2}
k3: {k3, 9e156c450a5f183e094ff022ee133a56}
p4: {p4, 6cf58e146f69194a402007ac2db2f451}
r7: {r7, 1c4e304697da45c6ab7a5abed98f0753}
y0: {y0, c85256e832ba120d54c24dba8d6a3b63}
f2: {f2, 1db326cc170d72a0173fa706cdff2553}
g8: {g8, 8fd6743ea1806f59e9ab93ec3c606d14}
v0: {v0, 13680dddfacfd1a7a4a45dfc50cf6d90}
s7: {s7, 69d6ffe59a7d19590548d7bfd20580c5}
q1: {q1, ae606c6fb033bea41086fdaccd00246c}
x1: {x1, 62e84e78fd9115b58c360fb87d8ccf7c}
g3: {g3, a17dbd72304f72dd56e86c5879a48e8c}
r4: {r4, 8a36bcd98bbf720bcbdb95a30017d408}
androidx/compose/ui: {androidx/compose/ui, 4fb5e45799f06cec5448c317b433a439}
y5: {y5, 8993bef52fe99b62a9294da1f6969bec}
a7: {a7, 72ec49b54f7c18182e475daa0d9ed3db}
w5: {w5, cee7fabf3299e0896a2e6de1aa998db6}
m2: {m2, 16d72f33fd5f6427740d22e30f4ebc17}
s4: {s4, cc63ce860f819cfd4ff8207bb1ce5bfb}
b8: {b8, b222688c3509995d007edead646e2216}
o5: {o5, 9fca0c4cbc88e67cf1352048261ab444}
h5: {h5, a5412970e8141094127d4d6cc2c44acf}
i5: {i5, a440d0ab7484050a6154f6ae9656b922}
c2: {c2, ceee03e485a1168e05cb51f231638abd}
a3: {a3, 8f9c327a8449a5bb79c28efe0c0663a6}
z4: {z4, 22f43eb1aed37e3f3433c5d257a789b8}
androidx/fragment/app: {androidx/fragment/app, 9aca2df50c176fc8443cfa92f639cde0}
t5: {t5, 76cc04ce7c7241500b3313a9e2d8a49a}
j0: {j0, ce3fd484b2b11bc2b8398a28049de518}
l3: {l3, 0f8f7c7a078d759b24b09d6263e42100}
