kotlin/collections: {kotlin/collections, acee8c7ba1054f76dbcaf3935da95d44}
org/joda/time: {org/joda/time, c664f693fe1c7a236df46bcc1647b161}
retrofit2/http: {retrofit2/http, 084c6c1a83e4f48381cdfa6517fbf60b}
android/support/swiperefreshlayout: {android/support/swiperefreshlayout, da1c5c0e9e4d4de1ee6852a39fa1fee1}
kotlin/io: {kotlin/io, e8c960ea9b6aab2b7e80d6be8e2b982f}
kotlin/internal: {kotlin/internal, 697e284ffca019f824df8663891613ff}
android/support/interpolator: {android/support/interpolator, 542dd9699021b2a489ba6c7d8f6e4a23}
kotlin/sequences: {kotlin/sequences, 4f8c5db9b5c08f830c039928af618811}
kotlin/annotation: {kotlin/annotation, 5ceefce2e30f15116573e0539c5d1608}
android/support/loader: {android/support/loader, da1c5c0e9e4d4de1ee6852a39fa1fee1}
com/google/auto: {com/google/auto, 9c6c0b66d6c47154da14ad4cd741c190}
okhttp3/internal/http: {[okhttp3/internal/http, okhttp3/internal/connection, ], 1540d9ce7c2d5402ae80f08a4becd6f3}
android/support/slidingpanelayout: {android/support/slidingpanelayout, da1c5c0e9e4d4de1ee6852a39fa1fee1}
kotlin: {kotlin, a9a5b97b90de72417a1a7599a4b9da34}
com/github/mikephil: {com/github/mikephil, 0c3d33aa592ec7246e024ae3c2c1ccb7}
timber/log: {timber/log, 4a10029a3adff178c2734468c35177c6}
android/support/annotation: {android/support/annotation, d05f93d07c662616805e791bcff36728}
android/support/coreui: {android/support/coreui, f5649c67bb0f45aebcffe7a7a3f8e869}
android/support/customview: {android/support/customview, da1c5c0e9e4d4de1ee6852a39fa1fee1}
kotlin/text: {kotlin/text, 7e38f63c7f960aa9985c0abe1f20aba6}
android/support/documentfile: {android/support/documentfile, 542dd9699021b2a489ba6c7d8f6e4a23}
me/piruin/spinney: {me/piruin/spinney, 086b83c5cf0c1f12f80977ce36f8348a}
androidx/versionedparcelable: {androidx/versionedparcelable, 45d586d4575846cc7bbe4762012776bf}
okhttp3: {okhttp3, bc221ba85044559335b621882faef65f}
android/support/cursoradapter: {android/support/cursoradapter, 542dd9699021b2a489ba6c7d8f6e4a23}
ffc/api: {ffc/api, 16c0216131da847d95dd8776b8276118}
com/felipecsl/asymmetricgridview: {com/felipecsl/asymmetricgridview, 993259be1e43726bcab5a20fe44f243b}
android/support/transition: {android/support/transition, 4c708a24ad53c61b64e435654cd05867}
kotlin/random: {kotlin/random, dd30b7dd9f45a5ca3faab70f5217b555}
android/support/v13: {android/support/v13, 78a2210a9a305bf5ed76c8b4bc983dfa}
com/fatboyindustrial/gsonjodatime: {com/fatboyindustrial/gsonjodatime, 1a1b676084fd88fa24ae1e6350e4a94b}
retrofit2/converter/scalars: {retrofit2/converter/scalars, 2478b1d995bed505bb9116a921c646a3}
kotlin/coroutines/jvm: {kotlin/coroutines/jvm, 8f460011ea59255f7b61d71fd382efdb}
io/fabric/sdk: {io/fabric/sdk, 6ce445b46493e840e3f1a64a70b81478}
com/crashlytics/android: {com/crashlytics/android, e0662453588cecc64b9d69b066e5f6f2}
android/support/v7: {android/support/v7, fbaca27a3e947a5ce0e03db92fdee9aa}
android/support/compat: {android/support/compat, da1c5c0e9e4d4de1ee6852a39fa1fee1}
androidx/media: {androidx/media, 931c0f3075edd8bf8946b55719c025cf}
org/jetbrains/anko: {org/jetbrains/anko, ca93f2d787b34b0e3fe7cf0638a5218a}
org/intellij/lang: {org/intellij/lang, 72031a0fa55a4d161f71e493a97c6296}
org/jetbrains/annotations: {org/jetbrains/annotations, b037031b6ebdf10c99fc791529a7f430}
kotlin/js: {kotlin/js, acf7ef943fdeb3cbfed8dd0d8f584731}
android/support/asynclayoutinflater: {android/support/asynclayoutinflater, da1c5c0e9e4d4de1ee6852a39fa1fee1}
android/support/localbroadcastmanager: {android/support/localbroadcastmanager, 542dd9699021b2a489ba6c7d8f6e4a23}
