androidx/appcompat: {androidx/appcompat, 70df8e0eedf861f1d09841baf8a38615}
com/jakewharton/rxbinding2: {com/jakewharton/rxbinding2, 7c90741983312281dbf943a4af595ab5}
kotlin/internal: {kotlin/internal, 5a59630ff6f5c45e7a5ae69f7bd0c3d1}
androidx/activity: {androidx/activity, 6ddaae83cdce4af6f81dcab5dd128915}
kotlin/sequences: {kotlin/sequences, a5f67057fcb0e3f4b2e34411241e2945}
androidx/preference: {androidx/preference, 6054bbc4e1e7f4afd3ae0519e2616c9b}
com/simplecityapps/recyclerview_fastscroll: {com/simplecityapps/recyclerview_fastscroll, a070e417170f18a4e59820f85b3c9962}
com/google/android: {com/google/android, 8993f060451ca848f5ed38cdc1e1b6a0}
brut/androlib/res: {brut/androlib/res, d77f8490b7aed0cbd9b7b4187f912fdf}
kotlin/random: {kotlin/random, af435efc57a7fef7fb2e83a9e9719110}
io/github/coordinates2country: {io/github/coordinates2country, a8927d5454d7cc21ae21d8ac4ef72fec}
androidx/cardview: {androidx/cardview, 27aa524cb2f4f84ce1769b2787aa9a7b}
com/jakewharton/rxbinding3: {com/jakewharton/rxbinding3, 02b12572f758ba26090005bbcb41ac4a}
androidx/browser/browseractions: {androidx/browser/browseractions, 3a683c9ce8ce141ff2dc7a90ad57e143}
com/google/common: {com/google/common, acf7ef943fdeb3cbfed8dd0d8f584731}
com/facebook/drawee: {[com/facebook/common, com/facebook/cache, com/facebook/imageformat, com/facebook/imageutils, com/facebook/datasource, com/facebook/drawee, com/facebook/binaryresource, com/facebook/imagepipeline, ], a1761d381fed846d68feaecd158668bf}
com/facebook/soloader: {com/facebook/soloader, 4e45478dc378d5a1b2bd1dba37198cdc}
androidx/savedstate: {androidx/savedstate, c52f0b032b29f930b096ab947e7e8789}
com/dinuscxj/progressbar: {com/dinuscxj/progressbar, cc3996e6b1cf73df4634c2b0e220789f}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, f6dd41194dacb8ad7dd80db1d77986f8}
kotlinx/coroutines: {kotlinx/coroutines, 36d78a177d00be3b4ec3075bbfa99f4f}
androidx/startup: {androidx/startup, d2873036566ef9a20f45b3df2b768063}
com/mapbox/pluginscalebar: {[com/mapbox/geojson, com/mapbox/android, com/mapbox/mapboxsdk, com/mapbox/pluginscalebar, ], 08e0de7a7bd614785e43186c7e549587}
org/acra: {org/acra, efb553da803f4f2497c944e9f7eb9bd1}
