androidx/appcompat: {androidx/appcompat, 8f3a8f5754ec1abde6378cd4f2bcf407}
kotlin/internal: {kotlin/internal, a49d9673690cef8a5664f843ffc55778}
androidx/activity: {androidx/activity, e8c48eb371978109dfa2d2f758764ccd}
kotlin/sequences: {kotlin/sequences, 5d729e02155198456732444b9dbe1e61}
kotlin/annotation: {kotlin/annotation, 880875cb0fb4d8428f33bd9e3ee51a8b}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, 2d2b767027d23038ad0422958c69b04f}
b/a/a: {b/a/a, 3e211d3a78b45f87bd148a8ca09ee829}
androidx/vectordrawable: {androidx/vectordrawable, 42c528af34fce4b1501e09b7aac33543}
com/google/android: {com/google/android, 34bdd02775859af51dde97eb7b3825db}
toothpick/configuration: {toothpick/configuration, 8e26c7774d9ec36cf22c1f4de53ac7aa}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, d1acaf2dacb683b6274f94128a464b6c}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 2fe95371aa37d0510f1154feedf72b6e}
e/p: {e/p, d04a30e4d68e873bca2d6504fc70c484}
fr/twentynine/keepon: {fr/twentynine/keepon, 41693a7a6234afa27c4e1c934532304f}
androidx/cardview: {androidx/cardview, 2ea06df45db1f51c617491374f7142a1}
toothpick/ktp: {toothpick/ktp, a4b2b0efbc9c36480d6dd46a7a660a57}
toothpick/locators: {toothpick/locators, d0ffcde0bd8495a45bd41264d383ef23}
androidx/savedstate: {androidx/savedstate, 5a708377afd609e19096993fa5603e83}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, cccd2c9fdfc706406bdcb82f9ecb01b0}
kotlinx/coroutines: {kotlinx/coroutines, f2e9514763e04b1234d1860fa1d5ef46}
e/i: {e/i, 2f518617daee53eecdd4d14064937f1e}
e/q: {e/q, 1d75e444cdb6c4c3ba1e5c579d63527a}
androidx/annotation: {androidx/annotation, 177ada72ad798c39b1ada4b8e26d71b3}
d/d/a: {d/d/a, 35a3176668efa8e32dfd2b26e5725b6a}
e/r: {e/r, 29016a8b74beaf0a79651d9e9249b4e3}
androidx/lifecycle: {androidx/lifecycle, 8da3a76ac2b4e340c86b02098f3cab41}
d/c: {d/c, f2f94b65fa2709003bde16b6c05428f8}
androidx/legacy/app: {androidx/legacy/app, 3bf0327106f1da669dc92a3a92a9935c}
androidx/viewbinding: {androidx/viewbinding, 897736dda5796857485753f22d69e171}
androidx/versionedparcelable: {androidx/versionedparcelable, 27fe73da65935f25c1f53d07a2e6cbfc}
androidx/core: {androidx/core, 827afd06ddc4d35b7e6d3c7227f99fce}
androidx/collection: {androidx/collection, 0b8b8a539de565b58ff1c45472f94f2f}
e/m/b: {e/m/b, 717c2aa1019239653da685789f36a3d2}
androidx/transition: {androidx/transition, 58887d54a538408af0dbed5bc8050e19}
androidx/asynclayoutinflater: {androidx/asynclayoutinflater, 0520e84f7ceaa9763ff257c57077e11f}
toothpick/config: {toothpick/config, f1462598fd789c831b731d80bc6e194b}
androidx/cursoradapter: {androidx/cursoradapter, e3a323a999e5bb1e8f47f7d753c43a8b}
androidx/legacy/widget: {androidx/legacy/widget, 82049910e9994fb88dab5c38292b7abd}
androidx/media: {androidx/media, ec60ccc0ab92d48146c0b1903ae064a1}
toothpick/smoothie/module: {toothpick/smoothie/module, 6d044924cdf14dcfa841de15b3d7c842}
e/s: {e/s, ca055e418ddab87f8c9b4043d78f1afd}
e/l: {e/l, d0fe461db02870602a7a72d81c90979a}
androidx/viewpager2: {androidx/viewpager2, f34f1624f385182b9165320615b68459}
androidx/documentfile: {androidx/documentfile, 4d16179ac33ed90e220e64da7d338a84}
e/k: {e/k, 1b7049eaaf1de7445675bb7ca95174cb}
toothpick/smoothie/provider: {toothpick/smoothie/provider, 871ffabbfb9ce67bb1b6f911304d7f92}
e: {e, 311d807ac326fa21d10dc0c1b88dc6cb}
androidx/recyclerview: {androidx/recyclerview, 293d0a8342a6f17c8e11916a1e5337f1}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, f90c29c1a37c11427e767f361acb33b0}
e/m/a: {e/m/a, 4911bf03c68bd339a4d6b7617aff924f}
kotlin/jvm: {kotlin/jvm, f3dcdfbd5ba46e8d7ac830fe3e548203}
kotlin/io: {kotlin/io, ea3a32ca7115ebda9dd883759d09f272}
com/github/appintro: {com/github/appintro, 3362476bcb044ece33356b9ca9eec7d3}
com/rd: {com/rd, 73276e0fca5277617faab10ffece9af6}
androidx/loader: {androidx/loader, 269caecaf401ee18d25d413df4539484}
c/a/a: {c/a/a, 5818cd055507c9700e3749dd7d4fcb1d}
androidx/interpolator: {androidx/interpolator, 87474baece0011c1b6c8cddf5aee6b7f}
f: {f, ce85c6392c76ae4ab88c72e59191b5b9}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 00809c897f2f8840230038d7975f2c7a}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, 63eb96ffd5a9ca51d12b9b6921311558}
androidx/slidingpanelayout: {androidx/slidingpanelayout, c395db8a5e4f4054a46dfee044771d6a}
toothpick/util: {toothpick/util, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/drawerlayout: {androidx/drawerlayout, 3a1a40888af433d147747dea82b70cd1}
androidx/legacy/coreui: {androidx/legacy/coreui, f5649c67bb0f45aebcffe7a7a3f8e869}
androidx/viewpager: {androidx/viewpager, b55c5faff2e835595cc544f445460116}
d/a/a: {d/a/a, 2ac87c598b49a4c08783d5e00f179e87}
toothpick/smoothie/lifecycle: {toothpick/smoothie/lifecycle, 9377039bcd91779e01c6fb993adfda3b}
com/squareup/moshi: {com/squareup/moshi, e2f840652fadfd6a881c50997ae04275}
e/n: {e/n, 4140ee3d05a11f01c788d266f8dc5451}
androidx/arch/core: {androidx/arch/core, 9aec738db6c12dc3d21d879a42333847}
androidx/legacy/content: {androidx/legacy/content, 6f17542208ee49d01c4f55a89a691e19}
kotlin/collections: {kotlin/collections, b35e62c57122b6d9f32e193a7144f52a}
e/o: {e/o, ae8a7cff438e311289b6314a47f22f71}
androidx/fragment: {androidx/fragment, 4d04937e31690e35c56a4cfbe5f0b7a9}
kotlin/contracts: {kotlin/contracts, 09778c77a0573a302f4523b115d906e9}
kotlin: {kotlin, 8c9a06edeabe048f94aceeea407b94be}
kotlin/coroutines: {kotlin/coroutines, d031a1f68a7eb780a9c2d3cb6d7e2cf2}
androidx/exifinterface: {androidx/exifinterface, 61666ec0d5ffccb457f3f81aebead0cc}
d/b/a: {d/b/a, 928b7632329fcef3164be7ee3b8987e5}
e/j: {e/j, eec62bf550ae066ba25c05fa35d30bb3}
androidx/legacy/coreutils: {androidx/legacy/coreutils, da1c5c0e9e4d4de1ee6852a39fa1fee1}
kotlin/reflect: {kotlin/reflect, 9e0dbee2e7a2d35000298ceabe05d415}
kotlin/text: {kotlin/text, 685200b16b8d914a3c45c5de7ef140a7}
toothpick: {toothpick, 42725464c557a6114e4a3b9ba9093133}
javax/inject: {javax/inject, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/print: {androidx/print, 8675a8063228ebb728746febfb86401f}
com/bumptech/glide: {com/bumptech/glide, 60d67d138c2d8248a888ca86344e780b}
