androidx/appcompat: {androidx/appcompat, 4e7a196637d2f880ad2569d76a51389d}
kotlin/collections: {kotlin/collections, 7b65b8af5d958a6a4261a93cfde8fbb7}
androidx/viewpager2/adapter: {androidx/viewpager2/adapter, 0882bfe7904e328bfe66192e77050659}
kotlin: {kotlin, 8a5459ec0d2aef32edc26fdf5a40bf47}
com/obsez/android: {com/obsez/android, 4a5894cb3f9931bad548a5d2f2af96e0}
kotlin/internal: {kotlin/internal, 2ecba4b40f5d2842143b0168407146ba}
androidx/activity: {androidx/activity, 2350dd5cff8928da44f58675041a1143}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 41ba3f8434e2ccd51f7815b942032d3e}
androidx/preference: {androidx/preference, 62d9f86d41ebe70b4d021358111fc6d3}
androidx/customview/widget: {androidx/customview/widget, 2dab15f9c0ac8142a526b07d4ea53917}
androidx/lifecycle: {androidx/lifecycle, 973ad2811256a5b84a11c2d1321fc21b}
androidx/fragment: {androidx/fragment, 62b2472085aed66d1edd270829bbebbb}
j$/time/format: {[j$/time/format, j$/time/temporal, ], 020eb29b524d7ba672d9d48bc72db455}
androidx/cursoradapter/widget: {androidx/cursoradapter/widget, a6e7419f5fbabbedc1d503954e3bb416}
org/schabi/newpipe: {org/schabi/newpipe, a8443f3a2291b3bba05fc76742d6eac9}
me/zhanghai/android: {me/zhanghai/android, 52a0641b26109f6b08c53832e2bcf7ff}
com/google/android: {com/google/android, a78a88792c608df6b011523d21b3839c}
kotlin/text: {kotlin/text, 6ba3f217b6cc96a10c7c42a4fde3f789}
androidx/viewbinding: {androidx/viewbinding, 8d02b9bbe485adc3f85448f2789940bd}
com/mikepenz/iconics: {com/mikepenz/iconics, 2362154265ae0ac205b52919994ce09d}
androidx/versionedparcelable: {androidx/versionedparcelable, 4e605f734343b59cce2b1e078611bb33}
okhttp3: {okhttp3, b4ab3f3a2eacac616d761d358b664073}
org/mozilla/javascript: {[org/mozilla/classfile, org/mozilla/javascript, ], 3c3273dcc141001743dc3b0b98756110}
com/grack/nanojson: {com/grack/nanojson, bb89149aa7e681c127486fd18d1d48b6}
androidx/constraintlayout/core: {androidx/constraintlayout/core, 474ee7e96b6e574c864efcc43237c4f5}
androidx/core: {androidx/core, d1ab20d9fb84a23d025aabf3f2226ae7}
androidx/collection: {androidx/collection, e9d03b612c14ac2b86e38334b9b53a9f}
com/afollestad/materialdialogs: {com/afollestad/materialdialogs, 57ea45b4e4678ec39b9433bec1e90ee3}
androidx/transition: {androidx/transition, 0079d2fb8a075b9c008d2d604acf4166}
androidx/interpolator/view: {androidx/interpolator/view, 561c23e33a4b5f7c33faf68878d12ac4}
com/google/api: {com/google/api, f2108381dba0adb6ae5079fe029b7b73}
androidx/multidex: {androidx/multidex, 5081b314a91c7bf1b0a626ab0670eb54}
com/google/gson: {com/google/gson, 246192fad93e5a87455887538c1d148d}
androidx/savedstate: {androidx/savedstate, 0c9ba61c18f3e975bf389d3a56cdce41}
androidx/arch/core: {androidx/arch/core, 35aef88bdabbb6c7ce31eaad0c66dc20}
org/slf4j: {org/slf4j, ce4d3c3af76296f752fe6d2c1ec6834c}
androidx/media: {androidx/media, b219ea54d97f5bf0ffc06d6bd725639e}
androidx/viewpager/widget: {androidx/viewpager/widget, 4d0bd4d709c555c81ba29505c55f396c}
com/github/skytube: {com/github/skytube, 19b7767b10a46773bd98e5700fa9a35d}
hollowsoft/slidingdrawer: {hollowsoft/slidingdrawer, b4528ca528753ba5ea6e8242982cc234}
io/reactivex/rxjava3: {io/reactivex/rxjava3, 6b9719a00cb8ba92a484a0e7dc35f1f8}
androidx/customview/view: {androidx/customview/view, c3b3beb9393315adfa34bad026d4a89d}
com/mikepenz/actionitembadge: {com/mikepenz/actionitembadge, 747558e8b05cd13069d98125f3fa87f7}
