androidx/appcompat: {androidx/appcompat, 3b15f56d705107401be9227674fe7a50}
kotlin/experimental: {kotlin/experimental, dfbe392b0c2a27f18e6927ec524f8462}
kotlin/internal: {kotlin/internal, d71eee581bdb299dfe4bc8b578b86620}
kotlin/sequences: {kotlin/sequences, 619838fea8441e03aaf1ef458dd4ca7d}
org/ahocorasick/trie: {org/ahocorasick/trie, 0a0367819c5f446a25ef1c5c21f2c46b}
kotlin/annotation: {kotlin/annotation, 27a89864425155d3f81778ed8c9f7390}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, 0a1aa2afe65b33841684af495616c79b}
androidx/vectordrawable: {androidx/vectordrawable, 869e44102ed9c34fb9869038142c26a7}
kotlin/math: {kotlin/math, 88c5a1e944a7f1f5999dcd3cfc348d86}
kotlin/random: {kotlin/random, f3bccfe952c4a50f964601aa37f6eef1}
com/github/promeg: {com/github/promeg, cde7a44ff9ad1df1bf099a04200699b9}
androidx/cardview: {androidx/cardview, e149ee7fd5242672391f447b917c98a7}
org/jetbrains/annotations: {org/jetbrains/annotations, b0a74309ee391d554cae699bd2538bf5}
androidx/browser: {androidx/browser, ac2e099b6032e90eea805f136b5f1f1b}
io/fabric/sdk: {io/fabric/sdk, 9ab70b50b8a849755b2f9f66a12ecee1}
kotlinx/coroutines: {kotlinx/coroutines, 3fa4c45a467c37a93bc552dea4f24fc0}
moe/shizuku/preference: {moe/shizuku/preference, 4999d4e0bed14bda9c180665780f88ce}
androidx/annotation: {androidx/annotation, 65b8867cbd300ddd90ffb82cae73bccb}
kotlin/system: {kotlin/system, df2009cf378fcc5b9c10e4c3622086b6}
me/dm7/barcodescanner: {me/dm7/barcodescanner, 67b1e9236a62957ca9891149ade28436}
androidx/room: {androidx/room, 3c4d3e65274ef938b1ce412b64c477d0}
androidx/sqlite/db: {androidx/sqlite/db, fb6e9fa90bf4fba7014f75d8e21ec0f0}
androidx/lifecycle: {androidx/lifecycle, 5b7f041a3c8304dbff3cb486b5e480d7}
kotlin/reflect: {kotlin/reflect, 3242ab56819ef9d31996b016b7a23ef1}
androidx/legacy/app: {androidx/legacy/app, 5732360bfe01216a7f66ff77b7ad3675}
androidx/versionedparcelable: {androidx/versionedparcelable, 652b3fda8d0f04f1aa849cb79a2b690b}
okhttp3: {okhttp3, 21e6b2a49e1b26814010995e3e063f12}
androidx/core: {androidx/core, 4681153bc3c27a545c2c14bd238389e5}
androidx/collection: {androidx/collection, 122fde762135cf84d8edad3ee7fc624c}
androidx/transition: {androidx/transition, 3ac66ed6f301569c9dcc86d3a0698a0a}
androidx/asynclayoutinflater: {androidx/asynclayoutinflater, ac80e232a6bcd798f82ce8ce13cf1a67}
androidx/cursoradapter: {androidx/cursoradapter, 70ab666e7fdd1306f2c48d446f0fb916}
androidx/multidex: {androidx/multidex, 6fbf7963588dd22353ef662716f4e814}
androidx/legacy/v13: {androidx/legacy/v13, f5649c67bb0f45aebcffe7a7a3f8e869}
androidx/legacy/widget: {androidx/legacy/widget, 1b10b630de1a831927ad2fcda0ca1158}
androidx/media: {androidx/media, 0b1c78839f144921bb147a3d281b1707}
kotlin/jdk7: {kotlin/jdk7, f8c7ae29c7ca9ad5434e0bab5958291b}
androidx/documentfile: {androidx/documentfile, 91e21fc5922f1c20bb163d93e535199d}
android/support/customtabs: {android/support/customtabs, db8f8351ecda4983b599a3a4b8de03dc}
androidx/recyclerview: {androidx/recyclerview, 25b8a46f6895013f4c69b9f1971d78da}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, d2e34b2bb62c2d0af5cc9e85410917f9}
kotlin/jvm: {kotlin/jvm, 60897a442c7f70aba84063c0e876c06a}
okhttp3/internal/cache: {[okhttp3/internal/io, okhttp3/internal/cache, ], dad2c06bbf0a84ce6bd9407dfb2d479e}
kotlin/io: {kotlin/io, 88ee68af8ac57248b0516c9736558746}
me/drakeet/multitype: {me/drakeet/multitype, 75a9d3ab6a45c5a2d3f339694856bd06}
androidx/loader: {androidx/loader, fd10395f5730e0eedac3f182fcebbb48}
moe/feng/kotlinyan: {moe/feng/kotlinyan, bf372cbd0c173663499478a0f9935042}
androidx/interpolator: {androidx/interpolator, fc23532ce1a1f2a7532ea44f7eeb7977}
info/papdt/express: {info/papdt/express, fb965e3a5ea6aaad0706630258b69f11}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 3b44acddfec2fea62aadf08c83cb6e2f}
org/ahocorasick/interval: {org/ahocorasick/interval, 13deb447b0b50d938254f3b567c92352}
com/google/zxing: {com/google/zxing, 6602204c8ff35076342610ecc079194f}
de/hdodenhof/circleimageview: {de/hdodenhof/circleimageview, 96bc05e38315ee8bf55b3f764020fe13}
androidx/drawerlayout: {androidx/drawerlayout, b5f0289a3a957d474c247e51112b4a73}
androidx/legacy/coreui: {androidx/legacy/coreui, f5649c67bb0f45aebcffe7a7a3f8e869}
androidx/viewpager: {androidx/viewpager, 408b6bf5776cb088455ce518d83597fd}
kotlin/js: {kotlin/js, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/arch/core: {androidx/arch/core, 1087d5c2765cd19f18bea8a87a00d641}
kotlin/properties: {kotlin/properties, b97d55cc9f6ca7e7b115a49f2f5b16fa}
okhttp3/internal: {okhttp3/internal, e39723a35c8f92553019191eee73d0fe}
androidx/slidingpanelayout: {androidx/slidingpanelayout, 1c830352551c514be2ef9bd0f68edd54}
androidx/legacy/content: {androidx/legacy/content, aae5bd79653bf9b0041a756497fae0f2}
moe/shizuku/fontprovider: {moe/shizuku/fontprovider, 91efe63dacf8ca142b48a2b60f181ea7}
com/scwang/smartrefresh: {com/scwang/smartrefresh, 2a2240d9c28f4cbd9d39c1227a9b6280}
