androidx/appcompat: {androidx/appcompat, ba5f78de47904ce582ca1f13cee91c96}
com/nineoldandroids/view: {com/nineoldandroids/view, fb427ebd37a3fbe00192cfad8d392c3e}
com/jakewharton/rxbinding2: {com/jakewharton/rxbinding2, d781fedc6dc53c78a0b815ea341d3842}
androidx/legacy/widget: {androidx/legacy/widget, 82049910e9994fb88dab5c38292b7abd}
androidx/room: {androidx/room, beb8a867a205dd884060a4bd3951ba5f}
com/google/errorprone: {com/google/errorprone, fb38b95097bc1e8400862c93925cd20e}
androidx/activity: {androidx/activity, e2927bf49cf3ac105c648c382ed9b387}
butterknife: {butterknife, b79e80e2fef471a373ac05560337cc08}
androidx/coordinatorlayout: {androidx/coordinatorlayout, f6f74eb720b8c1b846f4ecb39889a684}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, bd415add6947518154998e1b8769266d}
androidx/preference: {androidx/preference, 63bdc1bf0066ed669b03cf1fe6ee6d2f}
androidx/sqlite/db: {androidx/sqlite/db, 9d06578b8cb1e06ed8d357574c6be78c}
com/danielstone/materialaboutlibrary: {com/danielstone/materialaboutlibrary, 0a134d792b6eada188c02bc5f869a526}
androidx/lifecycle: {androidx/lifecycle, 5239a3fcc730eec795ae08a75dd1c3e4}
androidx/fragment: {androidx/fragment, 0a8c1ad8179790b958c4f2014e074755}
androidx/loader: {androidx/loader, 7e4302e8c37768bb33a1adde97db2787}
androidx/vectordrawable: {androidx/vectordrawable, b69f4e2955d6aaf98cb4d2622a9b752e}
com/nineoldandroids/animation: {[com/nineoldandroids/util, com/nineoldandroids/animation, ], 37a009a00ffb48736f9710c83b3817d5}
androidx/viewpager: {androidx/viewpager, f3f2704857cece1a4947d3ff6e09da5d}
sp/phone/mvp: {[sp/phone/param, sp/phone/mvp, ], 020eb29b524d7ba672d9d48bc72db455}
com/zhouyou/view: {com/zhouyou/view, e6784cfc53f5929098047b73049d27f1}
com/google/android: {com/google/android, ab4e556cb14366451646aa755dcbf3d5}
androidx/interpolator: {androidx/interpolator, 0c69a79d8fafa699f045df9a3a7a429c}
com/alibaba/android: {com/alibaba/android, 8c8c766716ae6bb73875731fb0be7a56}
androidx/versionedparcelable: {androidx/versionedparcelable, faf36dcf1558dda60aef09224f4cca03}
es/dmoral/toasty: {es/dmoral/toasty, e8888cd018ad33de64b15d7657021c9c}
androidx/core: {androidx/core, 4a831af382fe7b5f76d030b0bc7e4a31}
androidx/collection: {androidx/collection, c66031a979530bce9b25328645d52106}
butterknife/internal: {butterknife/internal, 6197b903edc17dbe1f73ae3d8c294e7c}
androidx/transition: {androidx/transition, b89deeaf2f9747491bc9ad7cdfe4c137}
com/google/j2objc: {com/google/j2objc, c87862682c743f2598f33e02f76523a4}
androidx/asynclayoutinflater: {androidx/asynclayoutinflater, 0520e84f7ceaa9763ff257c57077e11f}
androidx/cursoradapter: {androidx/cursoradapter, 3e6035f3aa49c98bdc173a86be92153f}
androidx/slidingpanelayout: {androidx/slidingpanelayout, ba2154f2b3750e00bca6b3d3280cd04f}
gov/anzong/androidnga: {gov/anzong/androidnga, c0c128d0ce659ff6ec0fad85cdf05fbc}
androidx/cardview: {androidx/cardview, b141fccdfa199d8088c363fba4a48a1c}
com/trello/rxlifecycle2: {com/trello/rxlifecycle2, 325270269d9475168d961f127e7c1b4a}
androidx/drawerlayout: {androidx/drawerlayout, 6c30083f7e8c8765c689656d8935fade}
androidx/legacy/coreutils: {androidx/legacy/coreutils, da1c5c0e9e4d4de1ee6852a39fa1fee1}
androidx/legacy/coreui: {androidx/legacy/coreui, f5649c67bb0f45aebcffe7a7a3f8e869}
androidx/media: {androidx/media, 338caecf4513e613a0f04ca848eb621f}
androidx/exifinterface: {androidx/exifinterface, 7b3ed13fdbe29c76086ac924883ecf63}
com/google/thirdparty: {com/google/thirdparty, 21669f7dbabd176516757081bc452030}
butterknife/runtime: {butterknife/runtime, da1c5c0e9e4d4de1ee6852a39fa1fee1}
com/getbase/floatingactionbutton: {com/getbase/floatingactionbutton, dcc9f0b73d63542f43eaa4955836b20c}
androidx/legacy/app: {androidx/legacy/app, 73586196007eeddf98849e3b1c819e3e}
com/tbruyelle/rxpermissions2: {com/tbruyelle/rxpermissions2, 226eb45fa6d91ae3b728ac0ba682c544}
androidx/arch/core: {androidx/arch/core, 46a94a5c7fd8016b698c55183e91fb8e}
com/github/chrisbanes: {com/github/chrisbanes, 05c6aecd8a669000449e249c94c97a41}
com/nshmura/recyclertablayout: {com/nshmura/recyclertablayout, f4552b0e18596674dab1b3cba0a8c60d}
com/alibaba/fastjson: {com/alibaba/fastjson, aa61111e553a6616095a9789565fab44}
androidx/viewpager2: {androidx/viewpager2, 6286be8664fa9025dd9b9fb87aebd1fc}
androidx/savedstate: {androidx/savedstate, 680d5e032af8cc3575811fefca1f3032}
androidx/documentfile: {androidx/documentfile, 711183db6f7fccccd10f85fd9df5f969}
androidx/print: {androidx/print, 5f2713fc2008f1c9e0ca6c4bc81dbac3}
com/bumptech/glide: {com/bumptech/glide, d53078eadf431806edf147d96000dcda}
androidx/legacy/content: {androidx/legacy/content, 1b9fc79b5e2ab9f8b67bba853d17e558}
io/reactivex: {io/reactivex, bb7ced35b3241d572dc67d5ad5ed55b4}
androidx/legacy/v4: {androidx/legacy/v4, f5649c67bb0f45aebcffe7a7a3f8e869}
sp/phone/task: {[sp/phone/task, sp/phone/param, ], 020eb29b524d7ba672d9d48bc72db455}
androidx/recyclerview: {androidx/recyclerview, 06b58b865f0e9c374394613d91bac561}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, 66565045cee10d4400f6806beb800545}
androidx/customview: {androidx/customview, 4f319ad9ac355478ce5f292169075d56}
androidx/annotation: {androidx/annotation, 99b241eac8bd823a5170e8275db321d6}
com/google/common: {com/google/common, b8e33cf4bc7a9d64dc4cad390d683b00}
