androidx/appcompat: {androidx/appcompat, 6b39c5f77eee6c087a30a382682905a2}
coil: {coil, ff90b4af8fd66661814ee0c0306a77fe}
fr/cryptohash: {fr/cryptohash, e766ddfdf1a86159d7d0b7f68e40444e}
androidx/browser/browseractions: {androidx/browser/browseractions, 3a683c9ce8ce141ff2dc7a90ad57e143}
coil/fetch: {coil/fetch, 3445490fc1e9ba62787c363111242796}
kotlin/internal: {kotlin/internal, b121c5fe722084ab782bda3fbe703aac}
androidx/activity: {androidx/activity, fb9429f8f8ae2e89b5fc4dbaa4405f9b}
androidx/preference: {androidx/preference, cb6925b5b28ed415d7afe96cbd244d07}
com/securepreferences: {com/securepreferences, c149fa0f904ebefe45abdc07bfc2bc76}
coil/collection: {coil/collection, f0db3950efa0fafc7fac2a5db59a514f}
kotlin/math: {kotlin/math, ebde85e0b6a2a4fb43f117883c25b0e9}
org/spongycastle/i18n: {org/spongycastle/i18n, 90521ec5d67c2976eee5c7992111b8d3}
android/os: {android/os, b3aa8bb3068707a8b240fa33c8a0114f}
brut/androlib/res: {brut/androlib/res, a46978c3075781b587100ce1467ab897}
androidx/constraintlayout/core: {androidx/constraintlayout/core, 2862c92c331f1501e8de1d3f9726ff64}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, d36268a387e7d00f480ef9615d5cf57e}
kotlin/random: {kotlin/random, 531fbd0240ca14537810816dd06120c8}
kotlinx/coroutines/flow: {[kotlinx/coroutines/channels, kotlinx/coroutines/flow, ], 020eb29b524d7ba672d9d48bc72db455}
de/schildbach/wallet: {[de/schildbach/wallet, de/schildbach/wallet_test, ], cad74529a487897964539d5e4c766e40}
androidx/cardview: {androidx/cardview, e0c23dfe6f48babb27ee9b2e7735ebe3}
j$/util/stream: {[j$/util/function, j$/util/stream, ], 020eb29b524d7ba672d9d48bc72db455}
androidx/dynamicanimation/animation: {androidx/dynamicanimation/animation, 0e7ca213d5877080b329cd3562b93c6f}
androidx/interpolator/view: {androidx/interpolator/view, b0cd30ad7edc905a01d8c1d4b1903fa4}
coil/map: {coil/map, c7a590eeb11e1337a412a73433e6f60c}
org/spongycastle/cms: {[org/spongycastle/math, org/spongycastle/cms, org/spongycastle/x509, org/spongycastle/crypto, org/spongycastle/asn1, org/spongycastle/operator, org/spongycastle/util, org/spongycastle/jcajce, org/spongycastle/cert, org/spongycastle/jce, ], 12b23e9d2c228710623887c65e57425b}
androidx/localbroadcastmanager/content: {androidx/localbroadcastmanager/content, 4d4b1ca27cf90224fd867408ba4aced1}
android/icu/text: {android/icu/text, 0c248c7ad95169e1412945fd6b802162}
com/tozny/crypto: {com/tozny/crypto, 0cb17f3a40db38e319acb17302ea05df}
androidx/hilt/work: {androidx/hilt/work, 174ebb3290f63955bd5d3e6748e4fab2}
androidx/savedstate: {androidx/savedstate, ee084ff4b1b4155d5155e45a1a428922}
j$/time/format: {[j$/time/format, j$/time/temporal, ], 020eb29b524d7ba672d9d48bc72db455}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, a9d7755e4fec50a513c88e0d5a8b7df7}
com/lambdaworks/crypto: {com/lambdaworks/crypto, 1304b094789742777ef2fd0fd193bcc0}
com/tbuonomo/viewpagerdotsindicator: {com/tbuonomo/viewpagerdotsindicator, b182726c8aeac480581a32e7607766c5}
org/spongycastle/eac: {[org/spongycastle/math, org/spongycastle/asn1, org/spongycastle/eac, ], 9bc4d423b1df7b7de397c4b2199ecdd2}
coil/bitmap: {coil/bitmap, 63864c644a843739e34c01505ec598b6}
com/hashengineering/crypto: {com/hashengineering/crypto, 08aede4a0c60c74de663c4d109703dc0}
kotlin/reflect/full: {[kotlin/reflect/jvm, kotlin/reflect/full, ], 41baff57bf8ea7e30d2dfa1b2043c2e0}
androidx/loader/app: {androidx/loader/app, 5e2f6f5cb1163641fc43545d8bca4511}
coil/drawable: {coil/drawable, c2436e1cc94a748af3d5e2c207e164a7}
androidx/room: {androidx/room, 746ab39080b8333a6008a6e58e56694e}
androidx/sqlite/db: {androidx/sqlite/db, 79651fbb1f29b516c21513244a5e721b}
androidx/lifecycle: {androidx/lifecycle, 3da945fb33904d6fe574bf250bba7968}
androidx/navigation: {androidx/navigation, 90b043ecf0fd854f0a1d06de918c1c7c}
androidx/cursoradapter/widget: {androidx/cursoradapter/widget, 8e205654fad69383132f6ba847577ba2}
