androidx/appcompat: {androidx/appcompat, a74ebfb6241cacc076872fc91d4d9b20}
com/rarepebble/colorpicker: {com/rarepebble/colorpicker, 78ca0a1a3f34d55bbb6ac7534402fafe}
com/google/errorprone: {com/google/errorprone, fb38b95097bc1e8400862c93925cd20e}
androidx/activity: {androidx/activity, e7eea739e946b7f90aa9d036b78e15ab}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 186bad34a09d5e4fdc34a97bcc729732}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, 416fc851cce054a5445f13b7d7d74f2d}
androidx/lifecycle: {androidx/lifecycle, db315763ed463edfdeaecfa7a181822c}
androidx/fragment: {androidx/fragment, e69d8ca24f6ef52f5d0c568590d549eb}
com/github/mikephil: {com/github/mikephil, a8275f1a3ea094ddae3791459c92eb6f}
androidx/loader: {androidx/loader, ef6bb0c8c9fa2c480dca3f0c11e7ff02}
androidx/vectordrawable: {androidx/vectordrawable, e4c2c8def81984e1ded35da83f1d71bd}
org/checkerframework/checker: {org/checkerframework/checker, 9c6c0b66d6c47154da14ad4cd741c190}
com/google/android: {com/google/android, f6491b2a2bc2f1229de6a5dca1bc3682}
androidx/interpolator: {androidx/interpolator, 9520954530ce7215903ebf692e2215c5}
androidx/viewbinding: {androidx/viewbinding, 68bbcc46ece24dd0a1e3607c393ec27a}
com/j256/ormlite: {com/j256/ormlite, caa82af16ef1aeb3c309af521a056b6b}
androidx/versionedparcelable: {androidx/versionedparcelable, 285fd2ff8a450c0a5527ec8a79f7e24e}
okhttp3: {okhttp3, b6c4cf804a20ff1a166e89ca61548e92}
androidx/core: {androidx/core, 5fcea94a3af7f43dcf8b3a9c428641ae}
androidx/collection: {androidx/collection, 0c961416291ef394f8b4f6cbdb5a4f78}
androidx/transition: {androidx/transition, 0290c06ebbcad774f49de03466aba92a}
com/google/j2objc: {com/google/j2objc, c87862682c743f2598f33e02f76523a4}
dagger/internal: {dagger/internal, e0834379ef6b3f4518380b57b797bcc3}
javax/annotation: {javax/annotation, c4e8d7026c1dadaa234254b09ba07263}
androidx/multidex: {androidx/multidex, b612dfbecca9fbb5def9c50f21a8a2d6}
dagger: {dagger, 537c1e2b4b9ee13f1f0a39e131b5c3ed}
androidx/drawerlayout: {androidx/drawerlayout, 5133b9bc0a6cb64baf8ea1520f080dfb}
androidx/legacy/coreutils: {androidx/legacy/coreutils, da1c5c0e9e4d4de1ee6852a39fa1fee1}
androidx/viewpager: {androidx/viewpager, 2d1e3d157e9304062889070dcec5cafa}
javax/inject: {javax/inject, 9c6c0b66d6c47154da14ad4cd741c190}
com/google/thirdparty: {com/google/thirdparty, 0b22c5715a7452dfffe3c628cfb9fc88}
androidx/cursoradapter: {androidx/cursoradapter, 445d8fefef6b98b805cebc2f997dd52c}
androidx/browser: {androidx/browser, 1999fa771622f420e680edd34c1183db}
androidx/arch/core: {androidx/arch/core, 0f3405338d44d8ed9bdf7b5abc600be6}
com/opencsv: {com/opencsv, 47799ae4c08468d0a120ba03092aaff2}
org/liberty/android: {org/liberty/android, ad28c19bb87766f9912613de5e857909}
androidx/viewpager2: {androidx/viewpager2, 831be94c3fe05a66fca783a101847500}
androidx/legacy/content: {androidx/legacy/content, 6f17542208ee49d01c4f55a89a691e19}
androidx/savedstate: {androidx/savedstate, bbfada5c309eff177eef2306bbb78dd1}
androidx/documentfile: {androidx/documentfile, 40d9ee9b6be100fdd435620e6bd88193}
androidx/print: {androidx/print, 81b255ac074ef72fb8ff93e53fcc9fd1}
org/apache/commons: {org/apache/commons, ae62cb95c22a38ce8c5371b45f4ac9ed}
android/support/customtabs: {android/support/customtabs, b41cb7be5f439f63b6687093dd997280}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 50e5696762c4ebc565497d94563c3007}
io/reactivex: {io/reactivex, e59b300762eba3afbcb2c502d4c54547}
androidx/constraintlayout/solver: {androidx/constraintlayout/solver, 3dc50aed4967072104cde03f62853159}
dagger/multibindings: {dagger/multibindings, 99bc1326bc2722e74f394811d7d87c3e}
okhttp3/internal: {okhttp3/internal, 561c290deccecc61ffb29ae575feaed2}
androidx/cardview: {androidx/cardview, de1f708856721c01b1099429b1f4a722}
androidx/recyclerview: {androidx/recyclerview, 2e6fa09caa7ebdb7fe05b70b7ae989c9}
androidx/concurrent/futures: {androidx/concurrent/futures, f5311065bf8a4c31dcaf951e5a1cb141}
androidx/customview: {androidx/customview, 9f727a4e14d20d83cf1391d8ee602951}
okio: {okio, d615fc98bb2a1e3797ca8f4c3600c4cf}
androidx/annotation: {androidx/annotation, 177ada72ad798c39b1ada4b8e26d71b3}
com/simplify/ink: {com/simplify/ink, 6f1264d8c435a6390ae40d6480c6f3c1}
com/google/common: {com/google/common, 4bbf837b6229e923a79e8f945e7f55c3}
androidx/databinding: {androidx/databinding, 4111776572baec5c39da52904541b854}
okhttp3/internal/cache: {[okhttp3/internal/io, okhttp3/internal/cache, ], 438b86d67684db94f94fa4d8bc255ae1}
