androidx/appcompat: {androidx/appcompat, 2659c2d3f42f35e55909c9787b2d44b9}
androidx/compose/foundation: {androidx/compose/foundation, 5bc384d5c1c9a42bab2c7e2ca32ab9f0}
androidx/activity: {androidx/activity, 9dce1d9836a7ad325416d53fcc01929d}
androidx/autofill: {androidx/autofill, cccae6c670ea08f4ba8d4d19ca32d93c}
kotlinx/coroutines/flow: {[kotlinx/coroutines/channels, kotlinx/coroutines/flow, ], 020eb29b524d7ba672d9d48bc72db455}
androidx/constraintlayout/core: {androidx/constraintlayout/core, e7ecc8082ab81473ca2fdfb3bb5fe509}
androidx/compose/material: {androidx/compose/material, 3af917ce47d8d2ca821ceb1cea76d771}
androidx/biometric: {androidx/biometric, a639354bdec3b28de6246e621472e2c6}
androidx/compose/runtime: {androidx/compose/runtime, 127967939c9fcd64ed5eb9043200d27e}
androidx/collection: {androidx/collection, 9515a5e9d1f8a1c91641f2813324c673}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 05f645d56b4b7da50e688c27a7d2350d}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, b39f133d20faa606c5184b986a2625db}
androidx/compose/material3: {androidx/compose/material3, dc940c7fc6450438537fb7bc6a4a8fff}
androidx/concurrent/futures: {androidx/concurrent/futures, 6cc0f4c4619cfbc79a8357399998e83a}
androidx/arch/core: {androidx/arch/core, fe678557b03f391f08e64398bcb1642e}
androidx/annotation: {androidx/annotation, ce1e62409ea897c18535670dc8e2d6ad}
_COROUTINE: {_COROUTINE, 969e426354e9bf7a21a6f4cc2ba3b6be}
androidx/compose/ui: {androidx/compose/ui, 6d442ac84f88960bb8031da20973475b}
androidx/compose/animation: {androidx/compose/animation, bb325f839a2520a646ae831635c01e66}
androidx/cardview: {androidx/cardview, 97214a18c026d85d1789b97d04a8724a}
