androidx/appcompat: {androidx/appcompat, 6ce07a089da58f7ebf39c58d07ec37e3}
kotlin/experimental: {kotlin/experimental, dfbe392b0c2a27f18e6927ec524f8462}
kotlin/internal: {kotlin/internal, 87555c5609c667f8cfaffe5ebdcb2aac}
androidx/activity: {androidx/activity, de32e401502d56cb65f3ff203c1902a5}
kotlin/sequences: {kotlin/sequences, 8e96cde1ead218b13ca3712e8897217b}
kotlin/annotation: {kotlin/annotation, 21df8e441d5d3d9a41990a382884260a}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, f3b63439f69b169b5ec5a82863e30091}
androidx/preference: {androidx/preference, 422956b24e76a49529849dddfb9ea2bb}
androidx/vectordrawable: {androidx/vectordrawable, 69d3f31d010a05bb75c2c6c003a5048b}
kotlin/math: {kotlin/math, 2c114c2e89740acc0227db7675a621db}
androidx/transition: {androidx/transition, b032e95268cd23e66fc214eae113dd7d}
kotlin/random: {kotlin/random, e1f9c13e75d17553aa1caee0a17fa9ba}
com/antlersoft/android: {[com/antlersoft/android, com/antlersoft/util, ], 642cfbb77e31c45b74edfdc830df3d18}
kotlin/streams/jdk8: {kotlin/streams/jdk8, cfc6903569ed97112fde3772985cb7b4}
androidx/savedstate: {androidx/savedstate, 2daf74d17b8edf8721f353484bdcc375}
junit/extensions: {junit/extensions, 66d66bb088a8550b606b4eb72ede0ea5}
androidx/emoji2: {androidx/emoji2, d0d41ab5983b08d4829eb73a82164bc6}
junit/textui: {junit/textui, da675471ed79af9bf0dd90eaa0d20c9b}
androidx/resourceinspection/annotation: {androidx/resourceinspection/annotation, a4bd91c515d62e517c2896e81b40cc24}
com/google/common: {com/google/common, acf7ef943fdeb3cbfed8dd0d8f584731}
io/moatwel/crypto: {io/moatwel/crypto, 4620775108b201ce5486c5d9d7b9f9a2}
com/iiordanov/bVNC: {com/iiordanov/bVNC, 70e7f1861918e4c0ac3a82d0da685f58}
com/github/luben: {com/github/luben, d5e948328de765f4803b33619d3c8bc2}
com/iiordanov/freeaRDP: {com/iiordanov/freeaRDP, d228aa0a82cfac7343f0a4d30c1458ee}
kotlinx/coroutines: {kotlinx/coroutines, 000e6c52260ec4dd51c16e180478ddd5}
androidx/startup: {androidx/startup, 4439c1db038de1a36776e08b1388871c}
androidx/window: {androidx/window, 40008b69f54228277840ad02650b62ea}
androidx/annotation: {androidx/annotation, 46e2f5a1d16153c1d9399ef5f5556de5}
com/jcraft/jzlib: {com/jcraft/jzlib, 9b6d51e8e40af0261e048c59ccb76415}
com/tigervnc/rfb: {com/tigervnc/rfb, dbcfbb6d18ec6f19317d7814fa012c3e}
com/undatech/remoteClientLib: {com/undatech/remoteClientLib, 7df1e3a677b051f2e454c4489ebf059a}
androidx/sqlite/db: {androidx/sqlite/db, 732b0cc7c5abb42a6eee9191a4751839}
com/tigervnc/rdr: {com/tigervnc/rdr, c4f37d2d8b607f35a9dcd2baa5854bcf}
androidx/lifecycle: {androidx/lifecycle, 6ddd240c2e796cab3610bedf8eabe76d}
com/iiordanov/freeaSPICE: {com/iiordanov/freeaSPICE, 542dd9699021b2a489ba6c7d8f6e4a23}
kotlin/reflect: {kotlin/reflect, efd233add3658947197af9e735e48ab6}
kotlin/text: {kotlin/text, dea36cf08064286dc17b03f347538fab}
androidx/versionedparcelable: {androidx/versionedparcelable, 35d15b808d818dae4ead63913a1bd71d}
androidx/core: {androidx/core, 29911be3b95e94bc6cce4833fb2dcd14}
androidx/collection: {androidx/collection, cd648389b6965078c352db5968abf416}
net/sqlcipher: {net/sqlcipher, a0f23638df3d6a98f1462de2e92b7764}
androidx/asynclayoutinflater: {androidx/asynclayoutinflater, cb88db17463f6bd25608b89b0f3849ed}
androidx/cursoradapter: {androidx/cursoradapter, f70b0bfe455d900d7aa0350915fdc2be}
androidx/multidex: {androidx/multidex, f01b292d4ea30f735433ceb655b4e0a6}
androidx/legacy/widget: {androidx/legacy/widget, 82049910e9994fb88dab5c38292b7abd}
androidx/media: {androidx/media, 4158ac18e11f508d6a4e687a4cf087dc}
com/iiordanov/CustomClientPackage: {com/iiordanov/CustomClientPackage, 542dd9699021b2a489ba6c7d8f6e4a23}
com/google/android: {com/google/android, a3dc86b7f8c55e5c5e743405edf5b003}
junit/framework: {junit/framework, 261879d46eec23c9816c13c8eafc1687}
kotlin/jdk7: {kotlin/jdk7, 1f3424d22bf7081b247818c1fb2eebaf}
io/moatwel/util: {io/moatwel/util, 80cd04860b05071f678d1fe6ff412ce5}
androidx/documentfile: {androidx/documentfile, 2c6f2600d5fec5372b08bd634a4e9835}
org/apache/commons: {org/apache/commons, 64c9f61698db3a607cae883ab3c1a52b}
com/undatech/remoteClientUi: {com/undatech/remoteClientUi, cca9562e2330cb65abab44dc8eff25f4}
androidx/recyclerview: {androidx/recyclerview, 7b02dc3629b03c496ecd4efcacf62c62}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, 34144ead163e927e1ad8e3934eb55f0b}
kotlin/jvm: {kotlin/jvm, b1947eefe42afa54236eb7402dee127a}
kotlin/io: {kotlin/io, a330281ad5e4c52d5c1b1cf8ad9daf9e}
com/trilead/ssh2: {com/trilead/ssh2, d0550e58859e9a51ee6790b93958946e}
androidx/loader: {androidx/loader, 4bbd55766663f95316e1cfaa9f11d6b3}
androidx/interpolator: {androidx/interpolator, e32effd5aad27dabdd49bfe10025a181}
com/iiordanov/freebVNC: {com/iiordanov/freebVNC, 542dd9699021b2a489ba6c7d8f6e4a23}
com/iiordanov/aRDP: {com/iiordanov/aRDP, 542dd9699021b2a489ba6c7d8f6e4a23}
com/iiordanov/aSPICE: {com/iiordanov/aSPICE, 542dd9699021b2a489ba6c7d8f6e4a23}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 0f570209b439403a7707a9cb38bd29be}
com/morpheusly/common: {com/morpheusly/common, 595dd0785198663a62352fa002649d0e}
androidx/slidingpanelayout: {androidx/slidingpanelayout, 5eb9a92116f57a5d2877679bf599c44b}
djb: {djb, d0a13fc660c43eae9f1f0e8924c2ca30}
androidx/drawerlayout: {androidx/drawerlayout, 94c9149951c5b7f9b0afc941e8b49d40}
androidx/legacy/coreui: {androidx/legacy/coreui, e97521e81a9f1d37da0597160bf5ab00}
androidx/viewpager: {androidx/viewpager, 02cbe8e336f7b04509987e6a69bfee8f}
net/i2p/crypto: {net/i2p/crypto, 20ca57b4bdb2c95f98bc3c25b7defac2}
androidx/arch/core: {androidx/arch/core, 23e79d65469d82e26353bc325581681a}
kotlin/properties: {kotlin/properties, 7b17590e1bdfb31b39aa5a28d044ff56}
kotlin/system: {kotlin/system, 1611ffd7b3fe1a7d724238ba58f76ecb}
androidx/legacy/content: {androidx/legacy/content, 07faabcafda309b615198d4b582b9cb3}
junit/runner: {junit/runner, 923c929f66eb0831fe15544892fb4612}
com/google/crypto: {com/google/crypto, 22431e19ba9a042c9007d306922813b9}
com/iiordanov/pubkeygenerator: {com/iiordanov/pubkeygenerator, 5aec6e3dd5caec6e10e575ee30a4ae7b}
androidx/concurrent/futures: {androidx/concurrent/futures, 7b929ee65567b82a978992a4de58d565}
kotlin/collections: {kotlin/collections, e9b1f623cc0fbdbd2393f20b0d1db43f}
androidx/fragment: {androidx/fragment, 94b78285b8b0dbfbee99bd025e1c7ab2}
com/iiordanov/android: {[com/iiordanov/android, com/iiordanov/util, ], c6f56f3450627ab927b37eb91a17e8b4}
kotlin/contracts: {kotlin/contracts, 9c8bef231f249be25df528c988e85561}
com/undatech/opaque: {com/undatech/opaque, 2bd52f1a41eeecea4f54e010984de2b2}
kotlin: {kotlin, 245c625c372fe04e1c88b3c776772f26}
kotlin/coroutines: {kotlin/coroutines, 35e6c85b4507e49f8508e3437c0db3a2}
kotlin/concurrent: {kotlin/concurrent, 99ba8644906ccfda6477d1c9eb73a56b}
net/sourceforge/jsocks: {net/sourceforge/jsocks, e70dc1ba71db5c28dc5cf4937c8279f6}
kotlin/comparisons: {kotlin/comparisons, 609388fdfa025ed347ea807f4d48ac83}
com/ksmaze/android: {com/ksmaze/android, eec502a7f320d4ebf50f6fc4da7699e0}
androidx/legacy/coreutils: {androidx/legacy/coreutils, da1c5c0e9e4d4de1ee6852a39fa1fee1}
net/vrallev/java: {net/vrallev/java, 9face35ada4aa3ffa10a094493bbb982}
com/google/firebase: {com/google/firebase, 897842b23e34b7f786ee50b7734e39ea}
androidx/legacy/app: {androidx/legacy/app, 0ce703508e0e2ea7f9a977858f898a97}
com/iiordanov/tigervnc: {com/iiordanov/tigervnc, 689c63aaa9ee5cd8063083879e712833}
kotlin/time: {kotlin/time, 769f8c07c14fad54ab79548fa4c8330a}
androidx/print: {androidx/print, e261ca456bbbb6e99177e5d4f1599fe4}
