androidx/appcompat: {androidx/appcompat, a2e14b6a0a95d5698da88f7de79e7034}
kotlin/experimental: {kotlin/experimental, 182585c3458d700187699e2ae5989a66}
kotlin/internal: {kotlin/internal, df17003325f0867b15807794bf61a62c}
androidx/activity: {androidx/activity, 520ba2c983b33f5915de9d18ac868fcb}
kotlin/sequences: {kotlin/sequences, 0417c39f9aeac9ccf9ebc42b2f52337c}
kotlin/annotation: {kotlin/annotation, 21df8e441d5d3d9a41990a382884260a}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, 65e7bccacc9368b24cb944e382ed91a6}
androidx/preference: {androidx/preference, d419f6e4f53daf174f5f9fdb491c1261}
androidx/vectordrawable: {androidx/vectordrawable, 3a3033e8f88335e6e5f691256f2d0dca}
kotlin/math: {kotlin/math, 2e4254faee66d53bb84b10ab3d0543ca}
androidx/transition: {androidx/transition, b7dbb18cebcb794c8dbe666c4f137149}
kotlin/random: {kotlin/random, 67223177a67d166d9dc84829f604d5fe}
com/antlersoft/android: {[com/antlersoft/android, com/antlersoft/util, ], 6dc6b15d8e5cf2d469922f0ad05d8202}
kotlin/streams/jdk8: {kotlin/streams/jdk8, cfc6903569ed97112fde3772985cb7b4}
androidx/savedstate: {androidx/savedstate, 6c9371d40fd9347f0e5298bb7d8f4327}
junit/extensions: {junit/extensions, 29f95a2043c02d19da1a24bd6af7c801}
org/jetbrains/annotations: {org/jetbrains/annotations, b0a74309ee391d554cae699bd2538bf5}
androidx/emoji2: {androidx/emoji2, 1926aef85d9d165fa59abfbf4c2e3b35}
junit/textui: {junit/textui, 25a2296948a8bee1abf9a93948edb2f6}
androidx/resourceinspection/annotation: {androidx/resourceinspection/annotation, a4bd91c515d62e517c2896e81b40cc24}
com/google/common: {com/google/common, acf7ef943fdeb3cbfed8dd0d8f584731}
io/moatwel/crypto: {io/moatwel/crypto, 3adb8e60fa914f01f0c046c2a6398395}
com/iiordanov/bVNC: {com/iiordanov/bVNC, 7a776db6e1e3e4dbd350effeef0d91c9}
com/github/luben: {com/github/luben, ceeb93bfd3ecc9925a802884487df897}
com/iiordanov/freeaRDP: {com/iiordanov/freeaRDP, 542dd9699021b2a489ba6c7d8f6e4a23}
kotlinx/coroutines: {kotlinx/coroutines, 65076f4958abe4838f3a535eefc09cd2}
androidx/startup: {androidx/startup, 914797f3e24a11526a9bd3440847489e}
androidx/window: {androidx/window, 75dee77e4574177df9057e32ecb83d1a}
androidx/annotation: {androidx/annotation, 46e2f5a1d16153c1d9399ef5f5556de5}
com/jcraft/jzlib: {com/jcraft/jzlib, 4ffef75c6d0993bc8ac1847cdb3bdff4}
com/tigervnc/rfb: {com/tigervnc/rfb, c73f72dc81e51d8bbe0e305ee363a470}
com/undatech/remoteClientLib: {com/undatech/remoteClientLib, 7df1e3a677b051f2e454c4489ebf059a}
androidx/sqlite/db: {androidx/sqlite/db, 732b0cc7c5abb42a6eee9191a4751839}
com/tigervnc/rdr: {com/tigervnc/rdr, 2ebee5f4c4790c56397514c7a22cf4fd}
androidx/lifecycle: {androidx/lifecycle, ad1aaa4c6dbb3b0893e915d6163e687c}
com/iiordanov/freeaSPICE: {com/iiordanov/freeaSPICE, 542dd9699021b2a489ba6c7d8f6e4a23}
kotlin/reflect: {kotlin/reflect, 1ea920ba2299449ff5f9aaf924f213ac}
kotlin/text: {kotlin/text, 9eaab4381e55d84dc7827c67bb32eb1e}
androidx/versionedparcelable: {androidx/versionedparcelable, 376bf5d316da37e69bea46b2a562d1f1}
org/intellij/lang: {org/intellij/lang, 08fcc9fe620b2a07273a23f0194df8ee}
androidx/core: {androidx/core, 50144551fd9dfda29c765bc4722ebdb3}
androidx/collection: {androidx/collection, 65f2938ff95dab312e1bd56ed4854f31}
net/sqlcipher: {net/sqlcipher, de3dfc76301568a90351ab8d6b6f67ac}
androidx/asynclayoutinflater: {androidx/asynclayoutinflater, da87e1309ecf1a175c5c0a8df067da38}
androidx/cursoradapter: {androidx/cursoradapter, f70b0bfe455d900d7aa0350915fdc2be}
androidx/multidex: {androidx/multidex, 7a39ef5eee8095fa3006822f083966e2}
androidx/legacy/widget: {androidx/legacy/widget, 82049910e9994fb88dab5c38292b7abd}
androidx/media: {androidx/media, 17e6db9ec03db467e5d35ad0883781ba}
com/iiordanov/CustomClientPackage: {com/iiordanov/CustomClientPackage, 542dd9699021b2a489ba6c7d8f6e4a23}
com/google/android: {com/google/android, 6c424b67934622212be9878c543cf89b}
junit/framework: {junit/framework, 1dcabe1bdd95a6fda9bcb9355c39da0f}
kotlin/jdk7: {kotlin/jdk7, 1f3424d22bf7081b247818c1fb2eebaf}
io/moatwel/util: {io/moatwel/util, bcdff25755d7dd8b9b7d4991a160a6b7}
androidx/documentfile: {androidx/documentfile, dc252d1de50c4affd61775ab7160cfd2}
org/apache/commons: {org/apache/commons, 0fc33da0f09b29f675ed0397ebb3b4a9}
com/undatech/remoteClientUi: {com/undatech/remoteClientUi, cca9562e2330cb65abab44dc8eff25f4}
androidx/recyclerview: {androidx/recyclerview, e559fbc68fe156a5ee38188f30c70004}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, 25bfb810f193fe40fde1c0c2143920ee}
kotlin/jvm: {kotlin/jvm, ddf16349ec4a9277a9088bf258ae928d}
kotlin/io: {kotlin/io, 0dc9618504eb7745d77a695a4306d2e5}
com/trilead/ssh2: {com/trilead/ssh2, c6ca7e639d1cb984c95beba4bcb17ef8}
androidx/loader: {androidx/loader, 4bbd55766663f95316e1cfaa9f11d6b3}
androidx/interpolator: {androidx/interpolator, e32effd5aad27dabdd49bfe10025a181}
com/iiordanov/freebVNC: {com/iiordanov/freebVNC, d228aa0a82cfac7343f0a4d30c1458ee}
com/iiordanov/aRDP: {com/iiordanov/aRDP, 542dd9699021b2a489ba6c7d8f6e4a23}
com/iiordanov/aSPICE: {com/iiordanov/aSPICE, 542dd9699021b2a489ba6c7d8f6e4a23}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 305febeb59ae5241451ff5627edfc317}
com/morpheusly/common: {com/morpheusly/common, dbbfd0ee1e9cf58aba8fb6d17ed39b36}
androidx/slidingpanelayout: {androidx/slidingpanelayout, 7433065151a35f624285ad2d0c0f2bb0}
djb: {djb, 457c99a5900ce39776535ac4585a0122}
androidx/drawerlayout: {androidx/drawerlayout, 5a1e34f93704bbc63111933dbf548a04}
androidx/legacy/coreui: {androidx/legacy/coreui, e97521e81a9f1d37da0597160bf5ab00}
androidx/viewpager: {androidx/viewpager, ebe4d3e4440d39a55177dddc71e95fad}
net/i2p/crypto: {net/i2p/crypto, 43cb7c359dd143cadc9d20a3eeb8445f}
androidx/arch/core: {androidx/arch/core, 23e79d65469d82e26353bc325581681a}
kotlin/properties: {kotlin/properties, 7b17590e1bdfb31b39aa5a28d044ff56}
kotlin/system: {kotlin/system, 1611ffd7b3fe1a7d724238ba58f76ecb}
androidx/legacy/content: {androidx/legacy/content, 07faabcafda309b615198d4b582b9cb3}
