p2: {p2, 01dbd3eeade954720e460904984789b6}
androidx/compose/foundation: {androidx/compose/foundation, de79a1401cf60ebf55bff3f326b12786}
androidx/core/widget: {androidx/core/widget, c7fa9ac530c8873b563aebffe0c3bba3}
j: {j, 02f9ab9f7bd978034b2788e987fcd0f6}
c1: {c1, 9de7b67b1302a305787a1d52f9410e18}
android/view: {android/view, de1c2b92945417ecd988923d07abfa41}
q4: {q4, 41865c6974b40a80612fcaaf9703f860}
androidx/activity: {androidx/activity, c1084480dd8d6d49f3b42a217bfc1bbf}
b1: {b1, 406b3bd0687e97359687fe829cb049b3}
l1: {l1, 9acc576176d209de46c40acbf478301d}
androidx/preference: {androidx/preference, d9bc9a1aac02b491b69c926e9fe7053a}
i4: {i4, c8d41e7a44d50a4d7aada2b283617ffa}
o0: {o0, 396eba38717ab7410328841cd2f18925}
b5: {b5, e5db28f997c7061274f4a76bdd91bdfd}
kotlin/jvm/internal: {kotlin/jvm/internal, 8811bb3e8c249696400a10f98a43f0e5}
com/google/android: {com/google/android, e425cccce494af53b32fa05f55f7991c}
com/kizitonwose/colorpreferencecompat: {com/kizitonwose/colorpreferencecompat, bd984f779e4e571cfb72da420259b15f}
z1: {z1, f3ebea766f4717632dd9a18ca9d7a8c0}
t2: {t2, 2dd24a466df634c1795a7ddf48cd3c6f}
w0: {w0, 9041315a4c6d3810011e29e4cdd4eea4}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 7fdce51ce9ee59efb3a6f22846df538c}
r1: {r1, c0bf07b97c8be8b7a9579e1fceeebcb7}
j5: {j5, 2150c7321cda8738ec5d1f11490eee2f}
kotlin/coroutines/jvm: {kotlin/coroutines/jvm, a936cd9e2ce30b83b5037a06fcd8590a}
d0: {d0, 4b120e88196499c8135272e12baf967e}
f4: {f4, afc8155e7bc3c5455b1542115c59f145}
b: {b, 5f60c9869eb6b9f975554fd146292002}
k1: {k1, 810823c9b6b25a748449ce5013a4b343}
k: {k, e74889268b4ea9cb4ff0e90f8698ff99}
g1: {g1, 09eb6bd2661701d9ad30e9080d87cc96}
c0: {c0, f98730de3ac4b9749b155b256f618ee8}
a5: {a5, 467c049c202d45413cc9a829a119e8d6}
p3: {p3, e1c56acd447bb9fe4a63e526fe28c5ec}
e5: {e5, 564d03e1fd2c502d898c72282c5736dc}
