androidx/appcompat: {androidx/appcompat, d857cfb73dc36a4ca95160ff4d195826}
kotlin/collections: {kotlin/collections, 2e9fb8b10db681b778e05436b130812d}
retrofit2/http: {retrofit2/http, 084c6c1a83e4f48381cdfa6517fbf60b}
kotlin: {kotlin, 96aff8491a42fd1ec82679bba00b5faf}
kotlin/io: {kotlin/io, bf78859827d5a086e77cdc38f114fafe}
androidx/customview/view: {androidx/customview/view, b5cdfa065e3a3b75a289919ef247c136}
me/saket/bettermovementmethod: {me/saket/bettermovementmethod, aec1ba98eee884941261328b68c5f61a}
kotlin/internal: {kotlin/internal, 945e9d2a49c532cfacbc717d6a3e7704}
androidx/activity: {androidx/activity, b5edef393f3fb51b9a11163868e37e45}
androidx/profileinstaller: {androidx/profileinstaller, 81a06e11956239f9d5a4510fa9d13e3e}
androidx/customview/poolingcontainer: {androidx/customview/poolingcontainer, e03c85daee3092303ca31d42696a537e}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 5d71f04c23d4e30aaa6cb346728ea99b}
androidx/compose/foundation: {androidx/compose/foundation, 59789c9498acde88dd4c0c68ded69a89}
androidx/preference: {androidx/preference, 1c8167b6ee43d4ce60484ce9dccee93e}
androidx/customview/widget: {androidx/customview/widget, 90a0206b551288a1203a911bc56bb300}
org/ligi/snackengage: {org/ligi/snackengage, f37a1aa64035f25872324b4b89983db1}
androidx/compose/material3: {androidx/compose/material3, b5e7d170f0896cde42dea269779081b2}
androidx/lifecycle: {androidx/lifecycle, 8b32524e9f430c67ab1ac0739e2506ae}
androidx/fragment: {androidx/fragment, daae274c7f46e51022ebdaa4587ecbc5}
androidx/emoji2/text: {androidx/emoji2/text, 2ef27a66777d981582ff4993fdae91d6}
androidx/cursoradapter/widget: {androidx/cursoradapter/widget, 86968f0cc3982deb80e9273cf0ccf037}
kotlin/reflect: {kotlin/reflect, 30fca3c14c02be01bee2c6c9c0108bda}
kotlin/coroutines: {kotlin/coroutines, 0f1dd90bf461563cef213ed4520629f3}
kotlin/math: {kotlin/math, feb4b9c0adabe239fb82be8462cbd0be}
kotlin/text: {kotlin/text, 7d1834e93e37fbe153f2e0fbf846ce3c}
androidx/window/layout: {androidx/window/layout, 94e39a3e7df8c058c92a878fd1f23fb1}
nerd/tuxmobil/fahrplan: {nerd/tuxmobil/fahrplan, 74ec9f72ee05ba5349bc6ec6e5808f72}
androidx/versionedparcelable: {androidx/versionedparcelable, 43279262471d777d1068e3b1fbe04d59}
okhttp3: {okhttp3, f58d8bfc4d088f59a3dcf54f633b0811}
androidx/startup: {androidx/startup, 3e65518dc1783a5b4e0396a0c8ec0298}
androidx/constraintlayout/core: {androidx/constraintlayout/core, fcb1f31adfd8873bca5f3b4d23fce4c7}
androidx/core: {androidx/core, 275fe755562696c4a01ce35b5d9e7d4f}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, 07c3b5fa0415abd85232b5929cc07db0}
androidx/collection: {androidx/collection, 18b49279e8b495ceaac5bd6acd94c306}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, c3784f4e364f362fd30dcb8d9b6b758f}
androidx/transition: {androidx/transition, b05952ed8c33a848906417ac81dfee7a}
kotlin/random: {kotlin/random, af435efc57a7fef7fb2e83a9e9719110}
androidx/interpolator/view: {androidx/interpolator/view, 561c23e33a4b5f7c33faf68878d12ac4}
okhttp3/internal/http2: {[okhttp3/internal/concurrent, okhttp3/internal/http2, ], ca6cf48d6b7d998b90647bc842e85308}
androidx/multidex: {androidx/multidex, 9112f84bef1c33e8f97a76c43ebb41fc}
androidx/cardview: {androidx/cardview, 018647c38b6e9578fb4274a4989252b4}
androidx/drawerlayout: {androidx/drawerlayout, 53ba6dc32d48e63f1c094c6624de8c3b}
org/ligi/tracedroid: {org/ligi/tracedroid, 85cff23f56fff4d6b88ee5fac0700bcb}
androidx/dynamicanimation/animation: {androidx/dynamicanimation/animation, 5cdec0ce3cf5e934f388f490ff3058cb}
androidx/slidingpanelayout/widget: {androidx/slidingpanelayout/widget, 5e8c18fb51c85ca87af910671fd98db8}
de/cketti/mailto: {de/cketti/mailto, db56687e5b1d507d18f0a212c44c0352}
kotlinx/coroutines: {kotlinx/coroutines, b039b9ec37ad321d42d6e5d2f387ce02}
androidx/compose/material: {androidx/compose/material, 267c92f4ff706fb3f145023e07344c1e}
androidx/compose/ui: {androidx/compose/ui, cac9eee94ffd36a79a1121aea0bc0b66}
info/metadude/kotlin: {info/metadude/kotlin, 8e651014262cf629c38637cb2bf53e73}
androidx/viewpager/widget: {androidx/viewpager/widget, 1a44e4f53273b8debae6eeac55763cdf}
kotlin/sequences: {kotlin/sequences, 90361b4b493d1ba5ff3a9d5cca3679e3}
androidx/compose/animation: {androidx/compose/animation, 078f4e2d594b01f530621d840724e8dc}
com/squareup/moshi: {com/squareup/moshi, cc6c2d010545c34db60d4ba1c353936d}
com/google/android: {com/google/android, f3419afc865c3af1974efe9f2e66c9c2}
androidx/emoji2/viewsintegration: {androidx/emoji2/viewsintegration, 75f7cf12b37cb74e98fa1ce270ded577}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 3b3f2e77c301bfa429ba242b1670e571}
androidx/arch/core: {androidx/arch/core, b6d6bc37a20c1f6ae4680b2003b0c056}
