androidx/appcompat: {androidx/appcompat, e35813db56f5a7d1e30d220e36a812b1}
kotlin/collections: {kotlin/collections, 909cb5b8d13aa74de15902ac97679b83}
retrofit2/http: {retrofit2/http, 084c6c1a83e4f48381cdfa6517fbf60b}
kotlin: {kotlin, c463e6cf86d3bf26baa5e76cfc82b381}
kotlin/io: {kotlin/io, bf78859827d5a086e77cdc38f114fafe}
me/saket/bettermovementmethod: {me/saket/bettermovementmethod, c78151ae166e36e9d8e09ebc402afb10}
kotlin/internal: {kotlin/internal, d2696755dd6f7fa923934ef5cd8a0643}
androidx/activity: {androidx/activity, bf8067840a48b4e1876e4dcbc66310fc}
kotlin/sequences: {kotlin/sequences, 1cee88acd1f62af330177baef97ee7a0}
androidx/core: {androidx/core, b16469aaa877ec161537fc5df91cd038}
androidx/preference: {androidx/preference, b7171744a7035a05dacb697c5a87c476}
androidx/customview/widget: {androidx/customview/widget, f914bcdac817443ce62b26ce446763e1}
org/ligi/snackengage: {org/ligi/snackengage, 79b189879da14997df2ec9d3bdc667c8}
androidx/lifecycle: {androidx/lifecycle, f0e1ea87a15d6f835de2f0b0748da5e9}
androidx/fragment: {androidx/fragment, 0e340364f775f0958cd949b322962039}
androidx/cursoradapter/widget: {androidx/cursoradapter/widget, 0b9949568eda4141c1e85bad3e2b98b3}
kotlin/reflect: {kotlin/reflect, 9c6c0b66d6c47154da14ad4cd741c190}
kotlin/coroutines: {kotlin/coroutines, 858c1cdb121da5ab9e0c37da5416ea4d}
kotlin/math: {kotlin/math, 7b51c8acaa214e18dff164edf18ac63b}
kotlin/text: {kotlin/text, 40c08c74cf6ac71cca456c77e610894c}
androidx/window/layout: {androidx/window/layout, 09308c253e11e6ed2d429a6fb1c4580d}
nerd/tuxmobil/fahrplan: {nerd/tuxmobil/fahrplan, e78e293da36e9ac1c1c843ff056272d2}
androidx/versionedparcelable: {androidx/versionedparcelable, a30de75d6f97dba1417a468bb6610693}
okhttp3: {okhttp3, 147a317a5d8e3192174b7f3c09aa84ab}
androidx/startup: {androidx/startup, 2b8a96a2970587a91d9bd3483c5d5582}
androidx/constraintlayout/core: {androidx/constraintlayout/core, c902ab5baadd551ece983a702d896d75}
androidx/coordinatorlayout: {androidx/coordinatorlayout, b0f8de8f60a2c25764321b01ee38854d}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, 4d175f651c278a16290ab3fe34e33ebb}
androidx/collection: {androidx/collection, bfa303a1e1b6002144a6599b5b7602d4}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 5f613af957a001d58f7eb186938ceaab}
androidx/transition: {androidx/transition, 16d398541eaf6ff94669cb030420b02e}
kotlin/random: {kotlin/random, af435efc57a7fef7fb2e83a9e9719110}
androidx/interpolator/view: {androidx/interpolator/view, ee54aef26025686b20793115ba6db979}
androidx/multidex: {androidx/multidex, 54732f0dba13d674376c6b8ec98751ca}
