a6: {a6, d3ab764f34f1112e2801648d48b99dac}
kotlin/sequences: {kotlin/sequences, 715ee34c8d73b9004baa9fac7fb72800}
l1: {l1, abf518c6979fcf5323794f4f2d106553}
i4: {i4, 7e3f1d3c8ddf0dc46163449d6ca81453}
g6: {g6, 23ab7de20f8811bc4b9e1a4db699f097}
r9: {r9, d52206726ec63ebc292d6eaf2d490911}
ua: {ua, fa0da52ed94076026c66aab3de2e3899}
v2: {v2, 8da3ecfa000da8e6737177407f846d6c}
w8: {w8, be7849d7f83d31410394ba4a67f619b7}
m6: {m6, 5340e1a127140d028c3ae18f7d720da2}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 797992a2d075f50cb43935b8a2068f81}
h9: {h9, bf5a3e31f9f627329ae62d0d7a0edb61}
u4: {u4, c8798472b70159ee2ecd84790240d2f9}
g1: {g1, df0d1e2615c39dea8c4e07957608542a}
c0: {c0, d7960ff22fb89cce27c224ea27908075}
ea: {ea, 93b428ed434b88cc69131171f604b3ae}
x6: {x6, 41f694ea3b13b28f104679ea0fb5fe57}
o8: {o8, baf452c54ff98a7f0774fe1012fc33da}
androidx/core/graphics: {androidx/core/graphics, 68b0bd29c78d2a2b90d766768126087f}
h2: {h2, e2ac25489801cb41ceaaf3ebc6c6a3f4}
u3: {u3, 1182cff82da536a80a440d1c9fb98cd0}
c9: {c9, dc9c8de80a557a45c984173566f9f92d}
z: {z, 8af8a727b49003d90c396ee57d6a293e}
r6: {r6, dd314af2e6e36c1d59f8bffc20a4e495}
s4: {s4, 35788796995ba821dc06df7916d28bca}
na: {na, e3c0a425ec2c47b67599a8ff5554c565}
b3: {b3, 59159bb970dd9ea5f548ee5b39ed92b8}
q2: {q2, 1ed508ec3415cdc32c30e8283ec74b59}
e4: {e4, 1e727ad4eaec4c72548d11dbc916d191}
androidx/sqlite/db: {androidx/sqlite/db, d52e499b3ffa8129c2a7954a0938fc85}
ta: {ta, 6b3219e7af33d107cf85d64401339d4e}
androidx/navigation: {androidx/navigation, 76ab75ef675d63ea6f2f0a34918b81a8}
t: {t, 1bdb215bd99a93e3ecdd07a753164ced}
androidx/versionedparcelable: {androidx/versionedparcelable, 68ded5629f6d159311b8360d2f2f71a5}
s: {s, 12784ecc155dd23761f17b0ba951d1fa}
net/yslibrary/android: {net/yslibrary/android, 24c295da219f1947d293cc696bb6ce32}
f2: {f2, 3c507851b6e97d0e13b032dfb98f77a6}
g8: {g8, 7fe9318f6c48069b9ad4dd8b46edddd8}
s0: {s0, 5962aa882ebbe05d1ea1d0e12ee67b0c}
androidx/legacy/widget: {androidx/legacy/widget, c19756283a50b0dabd9d7d65833bc81a}
v9: {v9, d0bf8911ce5204523156d6d09b10af84}
da: {da, d0e45283b1c2a1ce42b98801532f186c}
w5: {w5, 95add8276dfe87239ab256629e244959}
z4: {z4, f4537241d0914259a9c988818160eb84}
p5: {p5, 7b56b3eafae0d3093b9ea740d460cb99}
d3: {d3, 6a1fc4113d8d2c3b379b14ac44e1aa31}
q9: {q9, dcd868053bea8cd0b3f4813dbc822df7}
e3: {e3, 06abf07f9286428683bca7396367cfa2}
y4: {y4, 288b5c3b0edf687725d04a4a4f908e79}
u8: {u8, e07b4ddaa460df1f56b8d8706cac3c17}
m1: {m1, 1bc21bfe52cbdd7725565fb673559c5c}
x2: {x2, 5ff17c4bceb9f44f88c0fff3c3f6e882}
a2: {a2, 2be07571946488d553bbd9a4b7a57df0}
n9: {n9, 3c12fc6b8f55fab0318e6b22ba73f244}
s9: {s9, 448ba935df5a8fb223c4eb0c3ef37b87}
n0: {n0, 524395362af8a78fd8ec756bd03d62c8}
k5: {k5, e09f0dbe9913a90f86d5120bde2b52c8}
f: {f, 873df671ff56fec6438f944f354658ef}
x9: {x9, dc4b7c5bd10486478bcd2f464f80af3c}
i9: {i9, 90050283b632d6918d35e14fe934285b}
me/tankery/lib: {me/tankery/lib, d231ec0b9bc1596c04362bc49ceee87c}
j1: {j1, 33864f28c0933175bb9516eeb7310153}
com/heinrichreimersoftware/materialintro: {com/heinrichreimersoftware/materialintro, 0556aaec48e3f78823a886a0461f6c0b}
a9: {a9, 55e8e6ee784ee4b48cbf174c50d06f7c}
h7: {h7, 0d4a8db371f1c2307741797a4e8d4793}
org/koin/android: {org/koin/android, 129f8d615361714ec334c1ed141dc588}
f9: {f9, dda71a04b3e1f20cc90946a13d64ae33}
i7: {i7, e95c3c811adf0e2114d614a955fec3cb}
g5: {g5, d17a0c06dddae5c17b6b4d7be884dc6d}
u7: {u7, 348e667acd6d15ea55a779ae5095e252}
l5: {l5, 024d2ecf6734b8118ca379689e257c9c}
i0: {i0, fe27f887e4415d0fb3a16ea7c0fa757b}
org/jaudiotagger/utils: {org/jaudiotagger/utils, 70b25cf0b982cf84320bd1cce825298e}
t7: {t7, 3f6a258fa8b23565bf4a98df47e86b89}
com/yalantis/ucrop: {com/yalantis/ucrop, 001000e922fb390fd62d8aad7dd99a65}
b7: {b7, 272dc1dc4d19c093a092a8a9ab17b63d}
c7: {c7, 2280b7e8de98243d0140550ec336c0d5}
p: {p, 4d1d0f4bd7fa0108af744b1b353c2080}
kotlin: {kotlin, 9d13b649f981e87b3c74622794b277a6}
e8: {e8, 461024ebffce29d2ee568ba46d410bd5}
x8: {x8, ce24c46136ccc9d73a5c842f1e7d09bb}
kotlin/coroutines: {kotlin/coroutines, c78f2edf5f6eb12c7cd6a3a9191346ee}
o7: {o7, c1bba173c74b7aef953c82e706573440}
t0: {t0, f69f09c866ae4a2cd048fec428b4872c}
i8: {i8, 989c7616a45500259e7ae53533364bed}
ca: {ca, dd4178ef9f505ea1c440cd388ece208e}
r3: {r3, a6616231387984f4d87cbb299c435559}
i: {i, 02412cee22a1d1312405c1082ca1d207}
p1: {p1, 644df66f57e55cc4d88de92847da27fa}
d7: {d7, c43360f304614d5b9f76607fa0ac0d0f}
androidx/window/core: {androidx/window/core, 986d799bb569de074fcb61dfed29e5bf}
com/google/gson: {com/google/gson, 5c43588d65487d3a7e616ce6c9b02dd2}
q5: {q5, ad16ea00afe42b8fe675c247acb533b8}
e7: {e7, 2de190850ea45cef0224ff9fba246d25}
f7: {f7, 492d2cf00bcb6a18825eddf55b3b06eb}
androidx/activity: {androidx/activity, 07e68ea3692d9079176c0598fe356731}
k8: {k8, 90fd4f4e0b585171154889dd34b3fcaa}
y0: {y0, c9e43ec7fc44e6625fd513f1dbb87f2e}
y9: {y9, 93c852f0894f59b44cda0bf1f50819e6}
com/google/android: {com/google/android, 223f804422b071624b6a9a7b14da3d2b}
z1: {z1, f6ae17a7b5f81209fdc69bcea8faed8c}
com/bosphere/fadingedgelayout: {com/bosphere/fadingedgelayout, 1d0ad9ff874cd2a76c3bddc9c30cbbf6}
com/afollestad/materialdialogs: {com/afollestad/materialdialogs, 303d574960de52479c8287975027e3ad}
ba: {ba, 9069678b3e99af00c9ce483bc73ebfba}
j5: {j5, e882b005a826d131131b9d52a41c648f}
ia: {ia, bd5476529c8b0a2e8ba7d32799a1d2bc}
