androidx/appcompat: {androidx/appcompat, 98f12530c2080d70039a93f6f7425c67}
coil/size: {coil/size, 9e000be89baa3a30895b92ea3a5a71f4}
coil: {coil, c17d6ee53060d775631c8dc8f4c023e7}
androidx/legacy/v4: {androidx/legacy/v4, e97521e81a9f1d37da0597160bf5ab00}
coil/fetch: {coil/fetch, 24134e7530c44233dd5d40c20aa7f04c}
androidx/room: {androidx/room, 13dbbb3b08052870795fe81c1758b951}
androidx/activity: {androidx/activity, fe5dbec01b6065d0f1221a55e97300b2}
coil/drawable: {coil/drawable, cbb0f946049376a9cab3815eb985037b}
androidx/core: {androidx/core, e13dec4be1a69d7c3849a036a4def03d}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, 4b9c71fce5359e3f565417eb9e01471e}
androidx/preference: {androidx/preference, 657529b9f229332041bb85e5483cfa52}
androidx/sqlite/db: {androidx/sqlite/db, e5d930ddf5077500f45799b6d0fcd7ae}
androidx/lifecycle: {androidx/lifecycle, 1f79e14ebcf7563b0045642e96672717}
androidx/fragment: {androidx/fragment, 472ce5e1ebb949c072aceb1b20b82bcc}
androidx/concurrent/futures: {androidx/concurrent/futures, 53b16705242f78a4b65eacc83187f3e4}
androidx/loader: {androidx/loader, 9ce49e3c5325632dbc214354996d4145}
androidx/vectordrawable: {androidx/vectordrawable, d52839969020df2d7f8e3b45349acb28}
coil/collection: {coil/collection, 34d3c0a3822889d871972e438a4615f8}
androidx/viewpager: {androidx/viewpager, 7c40dfa8067d9b63852d2318fb75077e}
com/google/android: {com/google/android, 44840eec11bcaaf57cae91f3f22d588c}
androidx/interpolator: {androidx/interpolator, 9520954530ce7215903ebf692e2215c5}
androidx/viewbinding: {androidx/viewbinding, 68bbcc46ece24dd0a1e3607c393ec27a}
androidx/versionedparcelable: {androidx/versionedparcelable, a952b343d690383f3ee60ba02fa68487}
com/daimajia/swipe: {com/daimajia/swipe, 0b4e8e08fa773eaefef3358988f42578}
coil/transition: {coil/transition, 7bebeef62bb2e842622c2a40272ebad3}
androidx/constraintlayout/core: {androidx/constraintlayout/core, 9e191e23fc58205728aa73a63de97875}
