p2: {p2, f1c25f2fbd1ba245d94a4f9bb7ba5058}
androidx/camera/view: {androidx/camera/view, a8e630b411b1d85f3b6503b1e14f4c3b}
A: {A, d05edebd83bab94728c2278730808e88}
j: {j, 45d0986d4479235404d76b59580a8842}
c1: {c1, 66d670be10cf6c86db671c3cf03e3d59}
c3: {c3, 532f70384a5914c7a3335a8ec2599e0b}
H2: {H2, 0ed01f9d9c310619db790bd093188144}
androidx/activity: {androidx/activity, 33a40d4010f33e81ad99d6fced54f6f5}
androidx/viewpager2/widget: {androidx/viewpager2/widget, 4f6648a1b8ca6a1f0a465910dd2aaf8d}
l1: {l1, fd0df69534738c31c5927b9e0cad1602}
androidx/preference: {androidx/preference, 9849d5c5ac30404ef572cd800b17fc3f}
J2: {J2, 9d1c99ac1a6278833c0d74ab7c135233}
o0: {o0, e0b34d7ca67f253c058cb709cf85292b}
K0: {K0, ce01a1d7a42dc3e9c7524ed3e8813f3d}
R0: {R0, ccb572e75dfde83c0b5db1c998ce4476}
y0: {y0, 11b015170541d590b0ea26bca1c145a5}
P2: {P2, d6622dc583c0aeb69a1fdf431ad884bd}
com/google/android: {com/google/android, 6e2e9667952812f29af43d831164f604}
D0: {D0, 97dfd82c74296123bcd7d07ccd388247}
Y2: {Y2, b80b25f6b6e4db92e9e54c6038c42cfc}
v2: {v2, fd0cd08449542d94971daab47cd137da}
H: {H, 7404df286dbbaf7e0aa32e4bfe591d64}
z1: {z1, 80455860b553999ca7e920eaffebc8b8}
t2: {t2, 54972c3c074737a7a22f23589ba9b0c4}
P: {P, c52867cfe7869a78b77f0803cc6b4b2e}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, f0e40694865c7bafbee424907ac6aebf}
r1: {r1, fef17adb7eb133d55ff5c30fb5cd2c9a}
Z0: {Z0, 2d225440c8850825a9906ce31d7b00dd}
A0: {A0, e246842daffce828a5cb76bb6211b15c}
O0: {O0, 5d04a574a3e2ef87b268356c8efacb67}
I2: {I2, f3f3d899400838c804bc6f4d444a0d40}
d0: {d0, 900cc5c57f53772dc604c52f995ac60d}
b: {b, df9900934b64bfbd7a26768c9599aafa}
k1: {k1, abecbca0159f1d4e75b6893c50299a1b}
k: {k, 0916dd2a9186338572f23a2ee62b69ed}
g1: {g1, 3f9b595bb613f89a5d86e0d6f68757fe}
c0: {c0, 4200e0738a5b1a05e137eb84fd680928}
go/libbox/gojni: {go/libbox/gojni, 542dd9699021b2a489ba6c7d8f6e4a23}
U2: {U2, e381f6991873210ea6cc1b6be99b5314}
Z1: {Z1, 8a2f99359984441c2f6ece5c072e0077}
b2: {b2, 38807e3d2d0ee09cb965c74bc33d3985}
R1: {R1, aa895cfd8cfb8bab81ef97e7cc7dc8e6}
l2: {l2, 8a4e2760da97ed0bcb669bdd04f03a16}
androidx/browser/browseractions: {androidx/browser/browseractions, 82ebd8c8f40e5c3c35cdc0c56c2182de}
i3: {i3, 3725def54030249f45f923391517a93f}
V0: {V0, 7326fec2c0f41b92158faf6be8be3f27}
Y: {Y, 28d198d68bb938dbeca9095de344822c}
V: {V, 70ff9d0643bea46162612846a9a3dbee}
B: {B, c78568a3de2dddc7a92af1b535eb1720}
j2: {j2, 50c6d45076772dbb8084800bb618d580}
androidx/core/graphics: {androidx/core/graphics, 02db58117241e7d2e254a5e732b7a3f3}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 491e3fd912084acdad3cc52883705b99}
h2: {h2, 0fb150a198422c3c2748fd282b027a40}
I: {I, 45b19735cfda071e85263b75f795de96}
r: {r, 70c7cf85180cce38782e28c876c64124}
androidx/startup: {androidx/startup, 08c5775df7901f348750f14f4def3be5}
L0: {L0, c8d68199f6e5f464d52fc52b62705cb6}
androidx/navigation/fragment: {androidx/navigation/fragment, 3d2e1928591629da41ec94bc1aeeb0f4}
z: {z, 522c38ab8200b3992ddca91c9a1ffbb2}
d1: {d1, ec83c2de82234a0bd819aca7bad333e1}
c: {c, 708733b5a585637ae9e32b41bc7d2533}
k0: {k0, a7e1152f2faceb1908ffc0c3540e734d}
g0: {g0, 8700929818bfcfd89dd3fe8a5f7da85c}
androidx/viewpager2/adapter: {androidx/viewpager2/adapter, ff13fbda4217654550e03665824bfb68}
J0: {J0, b0ab9ca79fbb68f93c305e85ac48c7db}
x0: {x0, 4d416cca5975325d5ad2b89aebf0e332}
b3: {b3, 4756128025d68e5daf27eaae9560a02e}
androidx/room: {androidx/room, 9f03e7e6dc0bd93a09dfb4c3fd2ef903}
w2: {w2, 11ac1dc1142029485a514a18b15ddf65}
q2: {q2, 3341694bd0d64cd47af3a53e09e4c6e9}
U1: {U1, a576953249728f7a5dbaae000d107ce4}
R: {R, 2a0f58befd012b023fac8c5a9882646d}
androidx/core/widget: {androidx/core/widget, df4e8757acfe65fa358efc7e32bc9253}
