android/support/v7: {android/support/v7, bd4821f8f5cd4f0fe1855bd519addf95}
android/support/compat: {android/support/compat, 21c2f29ee827021519c2b46679f0308c}
android/support/design: {android/support/design, 5ab3531be3765ddb7650983b2881301e}
es/voghdev/pdfviewpager: {es/voghdev/pdfviewpager, 63d4f70347ba58df594ea57390b57def}
butterknife/internal: {butterknife/internal, 7aef57caf5e1918a6020d024b02074bf}
com/jalotsav/jdpdimens: {com/jalotsav/jdpdimens, 952af950844b0102a51732de462eb7ce}
com/google: {com/google, ddc019326ad15f5ec84c62c1767ee091}
uk/co/senab: {uk/co/senab, b5ff65d1ace9e24637a104252a59dbd7}
butterknife: {butterknife, 6efc1590cbe9db3e5e7c687035597fcc}
android/arch/core: {android/arch/core, 0b0e640e76f4b6ce104f7394120ba4de}
com/jalotsav/aalayamnavjivan: {com/jalotsav/aalayamnavjivan, e37db21684a4c46de3df59c1983057e6}
android/support/coreutils: {android/support/coreutils, 21c2f29ee827021519c2b46679f0308c}
android/support/graphics: {android/support/graphics, 6a200a02ac5392ba939962c10b95a23c}
android/support/mediacompat: {android/support/mediacompat, 21c2f29ee827021519c2b46679f0308c}
android/support/fragment: {android/support/fragment, 21c2f29ee827021519c2b46679f0308c}
android/support/constraint: {android/support/constraint, 53c7a6611269cb7d52646808fa5c4fef}
android/support/transition: {android/support/transition, 626079107d4668fb9c374827fe6c0467}
android/support/annotation: {android/support/annotation, 66ab5680af85d2e32a9e57f6c8280650}
android/arch/lifecycle: {android/arch/lifecycle, 6d4a2c80c2e3b6e0f0aab5e64c298de8}
android/support/coreui: {android/support/coreui, 21c2f29ee827021519c2b46679f0308c}
