androidx/appcompat: {androidx/appcompat, 4af97eff358fa8858cf903e4bc68c692}
io/codetail/widget: {io/codetail/widget, d212c9f2e5e217be0049d89f9d073a2a}
kotlin/jvm/functions: {kotlin/jvm/functions, e381f6991873210ea6cc1b6be99b5314}
lb/library: {lb/library, 074567986916d8428ea9d5d28ce98153}
kotlin/internal: {kotlin/internal, 16196a24550c009a60aeb291ae1d929e}
androidx/activity: {androidx/activity, 8d8e7a670ba1cd8b0f92c7cf06bf8211}
kotlin/sequences: {kotlin/sequences, 13d78b3607c00f785a766153f8b899aa}
io/fabric/sdk: {io/fabric/sdk, b1a21d230b0348d2feab7cab0e69d287}
androidx/preference: {androidx/preference, 80f124db5d09afd5df3b5654ae872d24}
kotlin/jvm/internal: {kotlin/jvm/internal, 364aa91097030ba8285463b13c2ae829}
org/jxmpp/stringprep: {org/jxmpp/stringprep, af95c9531d9123ac0c0cdb07592c2bb4}
com/segment/backo: {com/segment/backo, 4402fe241e316d380c96704244fdbec3}
com/afollestad/materialdialogs: {com/afollestad/materialdialogs, 1e22b81f5bd3681c70e4295253844dca}
org/greenrobot/eventbus: {org/greenrobot/eventbus, f5f5fdd36a7f04e32778f9e64e87d288}
androidx/cardview: {androidx/cardview, 54199db5697098cefb6ccf42ef0c6375}
org/jxmpp/jid: {org/jxmpp/jid, 2078e4d08631c3c6ad9182a46bdff2b7}
org/minidns/hla: {[org/minidns/hla, org/minidns/dnsname, org/minidns/dnsmessage, ], ac9c542684f271e7215c00369bbb793e}
com/getkeepsafe/taptargetview: {com/getkeepsafe/taptargetview, 59d59368e8e582a49a83b39306cb4bf1}
androidx/localbroadcastmanager/content: {androidx/localbroadcastmanager/content, 68232a5ae7765a58d16d30de51ac01f3}
com/vanniktech/emoji: {com/vanniktech/emoji, 89cf966982e2bce849217f2c4658b020}
androidx/savedstate: {androidx/savedstate, 725caed86fceac9f2ac6766e894e3849}
androidx/multidex: {androidx/multidex, deefc620ac61b0b00a42c9328e4b1dd9}
okhttp3/internal: {okhttp3/internal, 9a132b8e0f50dd85808e93ab8da93747}
me/leolin/shortcutbadger: {me/leolin/shortcutbadger, 46cf8411a211fa175cc123fbff7de27b}
okhttp3/internal/http1: {[okhttp3/internal/http, okhttp3/internal/connection, okhttp3/internal/concurrent, okhttp3/internal/http1, ], 8be8eeb58b1bef8cff5722c1ed81e3fc}
androidx/loader/app: {androidx/loader/app, b8011a3c42160400e64eed7995ff2367}
com/nispok/snackbar: {com/nispok/snackbar, 9074c1ba3bd4f3105fb7df10a5f6ad7a}
me/dm7/barcodescanner: {me/dm7/barcodescanner, 6013f6fd66dff89695054db44b33e9a9}
androidx/sqlite/db: {androidx/sqlite/db, e3c0a425ec2c47b67599a8ff5554c565}
androidx/lifecycle: {androidx/lifecycle, 5637599bc24cf755a9417fc01275d386}
androidx/cursoradapter/widget: {androidx/cursoradapter/widget, def8959d7aa687aa5e306e0a65a1de93}
me/zhanghai/android: {me/zhanghai/android, a87bd95a75e537f585002236cf574cc0}
kotlin/text: {kotlin/text, 8cb91b4391a00264e2d2bea25c42d327}
androidx/exifinterface/media: {androidx/exifinterface/media, 5b67c9e27d013be79d406ef84033f5b5}
org/jxmpp/util: {org/jxmpp/util, 8d163b6f72dd5f86b395c5c41048731e}
androidx/versionedparcelable: {androidx/versionedparcelable, 072d6bd65ad1b9bbfacf5950e14a8eb6}
okhttp3: {okhttp3, 212e4534d2ef0094963d0c10785b6403}
org/bouncycastle/apache: {org/bouncycastle/apache, 09cff8f57ca8cd4192d0992f4cc06543}
androidx/core: {androidx/core, df0e913833e2e35ba6deb0d2e1359ae8}
androidx/collection: {androidx/collection, b87bce8425162b2369985ccc3b2a4f5e}
androidx/transition: {androidx/transition, b89cf3491dc0f03fcaf770eedcb46627}
pub/devrel/easypermissions: {pub/devrel/easypermissions, 2f98f4fd60829d2567feda6a980af495}
androidx/legacy/widget: {androidx/legacy/widget, 39a72f6a06cbb34c791cb6a06b7a6bc6}
androidx/media: {androidx/media, 3fa307b2c515fa229a9382fb8f4c8a65}
androidx/viewpager/widget: {androidx/viewpager/widget, 89ee24d1bc19238a56ed9b8935d89cc3}
butterknife/internal: {butterknife/internal, a81635551d62e337d0c493c78dc65219}
io/requery/android: {io/requery/android, 11fb605f498dac039e7629479dd98264}
androidx/customview/view: {androidx/customview/view, 2e907f344d4890f33f157e50a6f64e32}
fr/castorflex/android: {fr/castorflex/android, 8f614380a135f1d0da5e2d5404f55ea6}
androidx/recyclerview: {androidx/recyclerview, 613c116171a0ed796df15c31fc7bd8ed}
kotlin/comparisons: {kotlin/comparisons, 0cf5f06c2b2d541d63654091158112a1}
org/jivesoftware/smackx: {[org/jivesoftware/smackx, org/jivesoftware/smack, ], e07b10819df2b645f494f3156cdae7e6}
kotlin/io: {kotlin/io, a8a33973ce8725de2124e584473f45db}
androidx/viewpager2/adapter: {androidx/viewpager2/adapter, 34749f922a03629622427547485c401f}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 051e037a1428449fa5918e39d516a361}
com/google/zxing: {com/google/zxing, 4f379f70cb135352a6995a7a7bda4615}
dagger/internal: {dagger/internal, b6b63ebbe92390d9481d90efb1c7e1d2}
de/hdodenhof/circleimageview: {de/hdodenhof/circleimageview, c1dd4bb68ce92bc3be3ff2d904393a07}
androidx/loader/content: {androidx/loader/content, 4a328ceecfcfa80f3a8f8a6ecfd017b7}
info/guardianproject/netcipher: {info/guardianproject/netcipher, dd100b36101d08674f4d463c4397f6da}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, 13fcae7523443ae68ceb864634b8855f}
androidx/legacy/content: {androidx/legacy/content, 46c777a429636fee0368ee13639ad43d}
okio/internal: {okio/internal, 0feb0a25bd3337c996d85966811c6fc4}
androidx/gridlayout: {androidx/gridlayout, 4906adc0ecd8733060fcae6f55c8be98}
org/bouncycastle/pqc: {[org/bouncycastle/pqc, org/bouncycastle/crypto, org/bouncycastle/util, org/bouncycastle/math, org/bouncycastle/asn1, ], b4fea8396044ebae4f8af9cd0973ef2b}
com/android/providers: {com/android/providers, 4b7cb1144bc0d3568cbb0212b4900800}
kotlin/collections: {kotlin/collections, 7fb6870eaf379b2f69fe80b53c6b00f5}
androidx/fragment: {androidx/fragment, f894515916abd549e48f177d243aa51c}
com/google/i18n: {com/google/i18n, da2abefa29a1e5017034f870af81e07f}
butterknife: {butterknife, 272eeaa66c859af68ad711c232698ccd}
androidx/customview/widget: {androidx/customview/widget, f9c35e7d381e2623241e28806b031368}
kotlin: {kotlin, 27905b98945d9f7180ec67e6afad376a}
