retrofit2/http: {retrofit2/http, 084c6c1a83e4f48381cdfa6517fbf60b}
butterknife: {butterknife, 20e780102d6b3a11858d6b1ecd980c56}
c/b: {c/b, d682366c4cdfc0a4bccb4d1fbe096898}
io/github/krtkush: {io/github/krtkush, 3a319ca5061b8e67ae59ae1bb27aa6a6}
c/a/a: {c/a/a, 96dea992f8cd511c940c21a998e1a4d2}
retrofit2/adapter/rxjava: {retrofit2/adapter/rxjava, 60da69bba833caf287708cc715158197}
android/support/b: {android/support/b, 46a7e5deb3357f25a5c6835846c3c9a2}
a/a: {a/a, 9d67b3992a514e9be736da3919dd4b8e}
d/a: {d/a, c0b35979981c3237de6768500afdfe4d}
c/f: {c/f, 16a76dda861797c3875da6036c0b8563}
android/support/d: {android/support/d, 6ba960311edd7337395813ac5cbebc81}
uk/co/chrisjenx: {uk/co/chrisjenx, 18b9207c5657089d1849569d3def493f}
c/h: {c/h, de8d1141d11069edfdc5dba61567ef49}
android/support/transition: {android/support/transition, 4ef1e3a664df024deb559d94a6d66ad5}
b: {b, 5a51c111ded2d9e9b59e67058ce49737}
android/support/v7: {android/support/v7, 9b7b050354e04ed4a82db3ab4aa2a850}
butterknife/a: {butterknife/a, b89cc1bb0068b8950a7942f62ae8fe47}
c/a/b: {c/a/b, 9611033a39d5a0752b887ad05a21066c}
a/a/a: {[a/a/f, a/a/a, ], 644f29cc3d4589447a70759ea433dda9}
c/e: {c/e, 3ebdb764a2c4ea714af2f2b03992686f}
c/c: {c/c, 5c993c7a95967269363919fd26338864}
com/a/a: {com/a/a, 6a325cb1f2e1ca584b56c34ddb5ea6b1}
c/d/c: {c/d/c, 2762154091aa5dde4ca22aef59fc125a}
androidx/browser/browseractions: {androidx/browser/browseractions, 3a683c9ce8ce141ff2dc7a90ad57e143}
com/squareup/a: {[com/squareup/okhttp, com/squareup/a, ], e5cf54d3d0487e2e296914c096b0dc82}
retrofit2/converter/gson: {retrofit2/converter/gson, 8e4a8103d3b9f988d7fba78c302c89cf}
c/d/d: {c/d/d, cb33015dca1e75906ed92d5b98ce9bda}
android/support/c: {android/support/c, 7133b4706b84cdc6d947d84cf368d1e5}
a: {a, c00fa6880c70179c6b8fe4dd3a333c16}
android/support/design: {android/support/design, 9dddf22b7e7bfb7c5579412415c15ba3}
android/arch/a: {android/arch/a, 72faf0b99c937d0012b0a63545ce1841}
com/squareup/leakcanary: {com/squareup/leakcanary, cd64fa61669ad29fc6f8f81fb9e83123}
android/support/a: {android/support/a, 04eb03a4073a46a7c777b8b1cdd1fa4e}
a/b: {a/b, b3fd8baf0ad300422f6a37e958a7e95c}
c/g: {c/g, db3f62170d5ea60364916dd8b832b6c4}
android/arch/lifecycle: {android/arch/lifecycle, 0919b0837af7cfe5ec0d4b94c6824885}
c/d/a: {c/d/a, 75ef2a3d74ba7c39109590956604d58e}
c: {c, bd3328c1c042430601da4d8ce94c218d}
c/d/b: {c/d/b, 76cdebde40890627baf32e2b98f4d3a9}
retrofit2: {retrofit2, d3f6dbfaff6a00bb74f26b5ac537ca3a}
