android/support/v7: {android/support/v7, c806eed2c0f8db8833b6cba863350b73}
com/bxl/util: {com/bxl/util, a0576087839f91eeff5d8068c5bb4a55}
com/google/android: {com/google/android, 0530b94a76c4617e749094f7e8c7ce59}
jpos/util: {jpos/util, f026db032cf5ee489a576287873c18fa}
jpos/profile: {jpos/profile, ed6abdd6512dac9229212ae64063467e}
jpos/loader: {jpos/loader, 2b18b9c5917fae1cbc1e38ebafc2bec2}
com/bxl/loader: {com/bxl/loader, fad83abdf9910be5e6659b8240c1758d}
mf/org/apache: {[mf/org/w3c, mf/org/apache, ], 40a7a41775a1d67b4593adcf2c73bd90}
com/example/sipappwatch: {com/example/sipappwatch, 4e7f993c36920bce4678af114067d01a}
com/bxl/services: {[com/bxl/services, com/bxl/printer, com/bxl/connectivity, ], 9162fdb0e61cb90b355e6d5b45d08a3a}
jpos/services: {jpos/services, 22c5a0c726076c81e152d675ba9bd594}
jpos/config: {jpos/config, 63839d71a782b3e43a05aeb0a3e688e6}
com/example/tscdll: {com/example/tscdll, 4e08109fe907213cba6e47e14a96766b}
com/example/tscwifidll: {com/example/tscwifidll, 4f29f1469a0972e3551d2fbbe7a985d1}
com/bxl/config: {com/bxl/config, df1f52ffaccd9145d304a980220a1689}
org/apache/http: {org/apache/http, 7fa3334aa8bd62fc2a07c079fc805607}
jpos: {jpos, ba0a869ae76f61e4889d5431bf01ba62}
android/support/annotation: {android/support/annotation, b0adb10c115d59b33d39026729be4fc6}
mf/javax/xml: {mf/javax/xml, 603e6af30ec13352f282c7633df23577}
jpos/events: {jpos/events, c634c0c7027783ed32dc4c8a46b5e7af}
