kotlin/collections: {kotlin/collections, 3b964870619b67a184c47b3ee4cb2ae6}
rx/functions: {rx/functions, 23a020687b4031afa2e63de80f5a1710}
kotlin/experimental: {kotlin/experimental, dfbe392b0c2a27f18e6927ec524f8462}
rx/subjects: {rx/subjects, ab07275688d2326e06c221b2c3d618c5}
rx: {rx, 0ed57dd9d966027a095ad5886b912d49}
kotlin/io: {kotlin/io, d4e17bcb704ddc676ed01137d7fd02ae}
android/support/compat: {android/support/compat, f0c897d148a7bdd3648bed4c8604463d}
android/support/coreutils: {android/support/coreutils, f0c897d148a7bdd3648bed4c8604463d}
kotlin/internal: {kotlin/internal, 35bccad4b4186a866a68f997246f7f08}
kotlin/sequences: {kotlin/sequences, 1b58dd0372cd956d37c9e1002645a7df}
kotlin/annotation: {kotlin/annotation, 27a89864425155d3f81778ed8c9f7390}
rx/subscriptions: {rx/subscriptions, c57412c6467d26c98ba92952c6642bb7}
android/support/v17: {android/support/v17, 3264853e83b46e940abffc774d30f27c}
kotlin: {kotlin, 869d2c94b5369b3552b6bc3986ac002f}
android/support/fragment: {android/support/fragment, 2bf41454f63b2e0fadbeaac191681f40}
android/support/recommendation: {android/support/recommendation, 542dd9699021b2a489ba6c7d8f6e4a23}
rx/plugins: {rx/plugins, 044001c4aa4e0f1aed3bee56ec329ef0}
android/support/annotation: {android/support/annotation, 0c1b74d013947cdb47d96438329ec1af}
android/support/coreui: {android/support/coreui, 2bf41454f63b2e0fadbeaac191681f40}
kotlin/reflect: {kotlin/reflect, 645c5c1613bc38f192e6b730226dcbef}
kotlin/math: {kotlin/math, 0d59c087620a9df0da9ce81462a018ca}
kotlin/text: {kotlin/text, 92c119bf45510bfc0651dfeb1975f8e2}
okhttp3/internal/ws: {[okhttp3/internal/http, okhttp3/internal/connection, okhttp3/internal/ws, ], dc4c74a22e0b4baae9aff0902431ff5f}
rx/internal/operators: {rx/internal/operators, 55856f4c8480c6e83297b81737da2fe6}
okhttp3: {okhttp3, ae9d723eef3002378f69f71ed10e9c23}
com/google/android: {com/google/android, e361632858520d6ead151e0213a7ced1}
com/android/databinding: {com/android/databinding, 68941e68b881da89b7f47a09f620bbf8}
rx/observers: {rx/observers, 8e3e40535c8e70ab71ee903ddf6d4e03}
android/support/app: {android/support/app, e8930dcd331a52fa21a68d3e38b627bd}
android/support/v13: {android/support/v13, eeade6dd26bf7a25eb8c7990c6c2d400}
com/squareup/picasso: {[com/squareup/okhttp, com/squareup/picasso, ], ddfef83e7fd0dbe8c2358ea7feb4c8da}
net/butterflytv/rtmp_client: {net/butterflytv/rtmp_client, 0b5a18afc1544ba426cd7532b3dc44da}
org/threeten/bp: {org/threeten/bp, c0a7cbf0abb5636d94fe997df2b12514}
android/databinding: {android/databinding, c55f3256e9e38321558bc22476015c3a}
android/support/v7: {android/support/v7, 047173535da9798becf013510d64a8a7}
com/microsoft/appcenter: {com/microsoft/appcenter, 8047f51cc7ddf72661fc8afcf35ce3eb}
com/jakewharton/threetenabp: {com/jakewharton/threetenabp, 46ae8322130049b9441a202bb1745a32}
org/intellij/lang: {org/intellij/lang, 2dec1adfa53189f66a49f5ff580f2804}
org/jetbrains/annotations: {org/jetbrains/annotations, b0a74309ee391d554cae699bd2538bf5}
rx/singles: {rx/singles, 525206ed3d3be0182b601ad54ad6c67f}
rx/exceptions: {rx/exceptions, f27020889382b0bc486670bcc59bc5fc}
rx/internal/producers: {rx/internal/producers, 8a2e413f3c49d7cdcea813a048d81953}
jp/keita/kagurazaka: {jp/keita/kagurazaka, f443c7e4b3daa7b380e61ca09a0d9e19}
android/support/v14: {android/support/v14, cb212536d9631994e7d70d5c63c522db}
org/misuzilla/agqrplayer4tv: {org/misuzilla/agqrplayer4tv, e6c1aea7f0254a0408a9877ce9603444}
kotlin/concurrent: {kotlin/concurrent, f6a2ebd7b44474a17455d7a8aa2bc966}
android/support/graphics: {android/support/graphics, fb46a4e9be2df6442a1f14f61c828db7}
kotlin/coroutines/experimental: {kotlin/coroutines/experimental, 61e4110c3cbbd19ce6622884fb206a74}
rx/android: {rx/android, 6543a29aebcc66162552d806a762d6de}
kotlin/properties: {kotlin/properties, b97d55cc9f6ca7e7b115a49f2f5b16fa}
com/bumptech/glide: {com/bumptech/glide, 964712a2e66e66c485cb756859944b52}
okhttp3/internal: {okhttp3/internal, e3cf1dff2bfc0faa91c15f94c412ad3d}
rx/observables: {rx/observables, 16014647656e1b3d1a6a683a3be67cc2}
kotlin/system: {kotlin/system, df2009cf378fcc5b9c10e4c3622086b6}
android/support/design: {android/support/design, 5d677d626d6d1b3764f0f793ab702574}
kotlin/ranges: {kotlin/ranges, decc4f73b2e305052eba41bb2801d540}
android/arch/core: {android/arch/core, 319afbf72b4f1e1f2998893e882ef4a9}
rx/internal/subscriptions: {rx/internal/subscriptions, ba5186a5fb5772b57129ef0d0a1a2259}
android/support/mediacompat: {android/support/mediacompat, f0c897d148a7bdd3648bed4c8604463d}
rx/schedulers: {rx/schedulers, 5dcf1844ccf2c07ad42f2b5364cf7ef3}
kotlin/comparisons: {kotlin/comparisons, d6cb06a5ce48c04b938c232706669bb7}
android/arch/lifecycle: {android/arch/lifecycle, 28b18de69f2aa7717ce0b997afd77be2}
rx/internal/util: {[rx/internal/schedulers, rx/internal/util, ], 393a865d1dafe54ec1c83146b642641a}
okio: {okio, 00447b379579ea09567993e7a3dd5295}
com/google/gson: {com/google/gson, fdd0110684096dd4983373c27251e341}
kotlin/jvm: {kotlin/jvm, 5f436ff7868f9b02b20bd976b8c7d4b7}
okhttp3/internal/cache: {[okhttp3/internal/io, okhttp3/internal/cache, ], 582eb1da223f5f784e95a76d3feb97ad}
