androidx/appcompat: {androidx/appcompat, 0e6f5816b102634fe85c70a6db190536}
com/esotericsoftware/kryo: {com/esotericsoftware/kryo, 88ee80724a14a84ca8cd90d81b3e6631}
kotlin/experimental: {kotlin/experimental, 182585c3458d700187699e2ae5989a66}
kotlin/internal: {kotlin/internal, 6299c538fb40358d3bd2d118c7c93c33}
androidx/activity: {androidx/activity, c1de17dc70ebd59b48fb93d45e36810a}
kotlin/sequences: {kotlin/sequences, eb9067d8684ca7907bb28f2cfdad1f06}
kotlin/annotation: {kotlin/annotation, 9c84b6b379832b459364b2001ca18a6a}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, 416fc851cce054a5445f13b7d7d74f2d}
androidx/preference: {androidx/preference, 0456a4b7143209681eb71d4c125ff3e4}
com/github/mikephil: {com/github/mikephil, d8603c1eafd129e636f12f908e6564bc}
androidx/vectordrawable: {androidx/vectordrawable, 0bec9c2f4bf3315f2d1fcacbe22fb6a6}
kotlin/math: {kotlin/math, 2e4254faee66d53bb84b10ab3d0543ca}
me/anon/controller: {me/anon/controller, c66042411bb538dfbe541ee0479aaf2b}
androidx/constraintlayout/core: {androidx/constraintlayout/core, 043403dd081adb3576e5362442d948ad}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 1b94a8a1bb313b7e779c92fb8abfd2c0}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 434a5d6d39951fe162a9394638fcf726}
kotlin/random: {kotlin/random, 23db6ca9a14484c34b31fc9a53e3f518}
androidx/cardview: {androidx/cardview, 74ebf48089f5668f00fd35daf374fb0a}
org/jetbrains/annotations: {org/jetbrains/annotations, b0a74309ee391d554cae699bd2538bf5}
androidx/emoji2: {androidx/emoji2, 45b78b489d4b7de4e75ce86674ee5e70}
androidx/resourceinspection/annotation: {androidx/resourceinspection/annotation, a4bd91c515d62e517c2896e81b40cc24}
com/esotericsoftware/minlog: {com/esotericsoftware/minlog, 111ac0d30f712db3e02ed000a71f5d73}
com/google/common: {com/google/common, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/savedstate: {androidx/savedstate, 8a8898fabd619eda1b1bef1c680f17ac}
com/jakewharton/threetenabp: {com/jakewharton/threetenabp, e476e81f7422354db4a2ff7e346cfc37}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 361f390c6abf2d8bd9017279871b7978}
com/esotericsoftware/reflectasm: {com/esotericsoftware/reflectasm, f8c9582327b1c95325093015a3a79614}
kotlinx/coroutines: {kotlinx/coroutines, d104a837190ab00fb584b09fd6957391}
androidx/startup: {androidx/startup, 914797f3e24a11526a9bd3440847489e}
androidx/window: {androidx/window, 7b4e22620d32e4ff58040c926009fcb3}
androidx/annotation: {androidx/annotation, 46e2f5a1d16153c1d9399ef5f5556de5}
androidx/lifecycle: {androidx/lifecycle, 40eb1e420b151a2b258e261dd8249b0c}
kotlin/reflect: {kotlin/reflect, 5e74f4a477e7004d8d8105cb9aaf2b85}
kotlin/text: {kotlin/text, e9dddb3582b269662cb2536155cbdf8f}
androidx/viewbinding: {androidx/viewbinding, 68bbcc46ece24dd0a1e3607c393ec27a}
com/prolificinteractive/materialcalendarview: {com/prolificinteractive/materialcalendarview, 978c15718bb02e6385df1b582ac16375}
androidx/versionedparcelable: {androidx/versionedparcelable, 8f35a69caa7c8771cf3096494e80f2b1}
org/intellij/lang: {org/intellij/lang, 08fcc9fe620b2a07273a23f0194df8ee}
androidx/core: {androidx/core, e1fe28047deec091927ab89d2bf150e8}
androidx/collection: {androidx/collection, efdee41edb92d90ce592cf9bff8e5f50}
androidx/transition: {androidx/transition, 4365e790e1bd7bbacc12874ed31d7221}
androidx/asynclayoutinflater: {androidx/asynclayoutinflater, da87e1309ecf1a175c5c0a8df067da38}
androidx/cursoradapter: {androidx/cursoradapter, 383d520a11b62a6e28bfcf6810337e95}
androidx/multidex: {androidx/multidex, 7a68c34f61e41ff8624bb49764f1953c}
kotlin/reflect/full: {[kotlin/reflect/jvm, kotlin/reflect/full, ], 493a03914311ca8d26fff37560faa539}
androidx/legacy/widget: {androidx/legacy/widget, 82049910e9994fb88dab5c38292b7abd}
androidx/media: {androidx/media, 9d6920bd7efdac108bf58630d34d9f53}
com/google/android: {com/google/android, 749310a652a367eeef58bb8803e7ce52}
kotlin/jdk7: {kotlin/jdk7, 1f3424d22bf7081b247818c1fb2eebaf}
androidx/viewpager2: {androidx/viewpager2, df57d617c13fc20141608bf6e4528434}
androidx/documentfile: {androidx/documentfile, c6a59b38215c9da87bd54773ed455682}
androidx/recyclerview: {androidx/recyclerview, 2787003a55c1bb3452fb694d503169ad}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, be7b95b5e936d11ecd049cd3794356cb}
androidx/dynamicanimation: {androidx/dynamicanimation, 1f9a5d45e51b6a7477a6151da88f6e7b}
kotlin/jvm: {kotlin/jvm, 960e4d01e900b51f708b77e91295b328}
kotlin/io: {kotlin/io, 595dd407a47359f133134420e421f7aa}
kotlinx/parcelize: {kotlinx/parcelize, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/loader: {androidx/loader, 4bd754190be5b8a02f5a541bf0cb3a66}
androidx/interpolator: {androidx/interpolator, 9520954530ce7215903ebf692e2215c5}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 647ac94efd6effb15b0f18fbb4eea173}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, 3af32e239c2835ac2bd0c7386fe79949}
androidx/slidingpanelayout: {androidx/slidingpanelayout, 75dfb7617e672bb9e0a271e6dcf3fa73}
androidx/drawerlayout: {androidx/drawerlayout, 6b14bc737854edd87f4885706f23fb5d}
androidx/legacy/coreui: {androidx/legacy/coreui, e97521e81a9f1d37da0597160bf5ab00}
androidx/viewpager: {androidx/viewpager, 5c6a428df6532f6761d17e9f5809e324}
androidx/exifinterface: {androidx/exifinterface, e888f8e88f6dfe014afd9539bcba8122}
com/squareup/moshi: {com/squareup/moshi, 0625e6c1c5b320637bbc9258035d1505}
kotlinx/android/extensions: {kotlinx/android/extensions, 2259e96eef31781306c1729f2119919c}
androidx/arch/core: {androidx/arch/core, 4aedd1b836e501b0e82521ff6824fb7f}
kotlin/properties: {kotlin/properties, fad51e28e802ed85818896060e4bded4}
me/anon/model: {[me/anon/model, me/anon/lib, ], 9b89571b416caadaea92cc1133f4a835}
androidx/legacy/content: {androidx/legacy/content, 6f17542208ee49d01c4f55a89a691e19}
androidx/concurrent/futures: {androidx/concurrent/futures, 545abb1aed1b0f5be5c504018e2271be}
kotlin/collections: {kotlin/collections, e86644fcd1ac56d9a6bbe35cac2ac594}
com/squareup/otto: {com/squareup/otto, 28d8147878836aad175ac058db5b4e60}
androidx/fragment: {androidx/fragment, 3eef5643c5d2638df34ecefbef377453}
kotlin/contracts: {kotlin/contracts, 713173a8325aa1bfa39464429d6f3e25}
kotlin: {kotlin, 6df6555237c66d29fefa304ac641f408}
com/davemorrissey/labs: {com/davemorrissey/labs, 9c38f8c30c067391f22231a3c1af7e1c}
kotlin/coroutines: {kotlin/coroutines, aef9fd7b719fa37e4bb736de06775aa5}
kotlin/concurrent: {kotlin/concurrent, 609d0ba14373122c18d5182f18c0c69a}
me/anon/grow: {me/anon/grow, 1ce0ac60c53650e73b12465d098ec5c4}
kotlin/comparisons: {kotlin/comparisons, 609388fdfa025ed347ea807f4d48ac83}
androidx/legacy/coreutils: {androidx/legacy/coreutils, da1c5c0e9e4d4de1ee6852a39fa1fee1}
com/nostra13/universalimageloader: {com/nostra13/universalimageloader, bb89ceff8b97eef84d7d2d3b96f2002e}
androidx/legacy/app: {androidx/legacy/app, 062cdfa6acbd2876b4c02bb6b6404f04}
kotlin/time: {kotlin/time, d7282b4ff53fd3cc3812224f738f8b1e}
androidx/print: {androidx/print, 60bf5c11bd96ef5e4ddd65374fd1cb0c}
androidx/legacy/v4: {androidx/legacy/v4, e97521e81a9f1d37da0597160bf5ab00}
kotlin/ranges: {kotlin/ranges, 86c83a6266beb6e6d32390f4694f23cc}
androidx/tracing: {androidx/tracing, 1691b9585cc135c6595781ab31216573}
kotlinx/android/parcel: {kotlinx/android/parcel, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/customview: {androidx/customview, ee90bbac21b5d0cead2d93cc52a21fea}
okio: {okio, bc5dab292b663293bdd64df2e9e8931b}
