a6: {a6, d09d27de6bf5f2f8a94a5abbed843c86}
p2: {p2, 97915896a2529c3d53fa17492d94e077}
t0: {t0, 65fabb1dd7187d522b2fa697a5339cfa}
androidx/browser/browseractions: {androidx/browser/browseractions, 3a683c9ce8ce141ff2dc7a90ad57e143}
j: {j, 0a01d4ab612f713bb0c3071de081ce99}
c1: {c1, 4a61f73e5fe61fdce265ee5e47e4bc65}
android/view: {android/view, f46566594693573979c1f8d25c5392a0}
q4: {q4, d808f9b31505ae709668e5aababa12d1}
androidx/activity: {androidx/activity, c576d324205256cb7272c4711389d388}
x6: {x6, 243def5a10b753754d33bf91c604f98d}
l1: {l1, db9aa24d5891e2be41bbc4d37725b0e7}
androidx/preference: {androidx/preference, 2709c3b0e4687de3d3ffb8f89a70495b}
i4: {i4, 1d80dfc948d0ac8b6c6ab744dbef8bb4}
androidx/core/widget: {androidx/core/widget, c3e8379877e2080d77f0e4b54e7c164f}
androidx/core/hardware: {androidx/core/hardware, 322c428f0a78ee0f9b9f9c2d8c2e89b6}
g6: {g6, 62563335034daa47f1563c461b7ccc3f}
com/github/mikephil: {com/github/mikephil, cded209e241991ef0404f5b4375ab572}
o0: {o0, ca5c4b34a57006891db2cf9cd1947df0}
android/util: {android/util, 06520e5b8ee516d8a6b72e0c179ddcc3}
b5: {b5, 7b209501996e210cbd773b6c53b592ea}
kotlin/jvm/internal: {kotlin/jvm/internal, 469dd4a79b21d933aa57a31a1b2fbc5d}
com/google/android: {com/google/android, 03320c7c7cb5d331f107e57a9ab94a04}
com/simplemobiletools/commons: {com/simplemobiletools/commons, 3927d6ab8e44c5f60d9391b0d1957d8b}
androidx/renderscript: {androidx/renderscript, f3f8f9851c2417538069ecdda0e70753}
v2: {v2, defb1be6efbf6192cffe3956402f31e8}
z1: {z1, da7fa90482c1e5e604b50786973010b9}
m6: {m6, 7e2686142999c0b9b03d74300a54062c}
t2: {t2, 1e9689aadd1ddf41e506ab2f8240bedd}
w0: {w0, f0555097dfa7ca9498f7a5b3c750fefc}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, af69d2d238f1516638ff5918d3d7c3ec}
r1: {r1, 9367ee6aad297b63224623db5b2f3052}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 5fcaec4eb9fa64c57362a6dd3fbd64d7}
e6: {e6, 0de3d227c6961cfbbf0547989ad69641}
j5: {j5, 48ad8ac8c6f5d1bc193fdc46571ebe44}
kotlin/coroutines/jvm: {kotlin/coroutines/jvm, 0912fe30b513bdc86aec2a2abf803ead}
androidx/appcompat/widget: {androidx/appcompat/widget, 0e10627fbeb395699494399706c111e4}
y: {y, 6b808c64f9a4486328a6b697299cf7d1}
f4: {f4, be0f1b80e6ed1aec43b556cf1be6b556}
b: {b, 08e845807c397ae084ead2dfe29a40b7}
k1: {k1, 1f582c68891b6a7cedc5166a39a89530}
k: {k, 2a23e3f1bd21e4f00e3650ac6f9e182b}
g1: {g1, de75da0112d84f1185e320349a586592}
c0: {c0, d19baf8316656315be6098c95e7fd953}
a5: {a5, 00f90d1fa9dd5979ce03d753f170f0a6}
p3: {p3, 3edea2720f7f748e71dab8804510a97f}
e5: {e5, 3e96660b88f71812e1b4b9cd8705d6cd}
b2: {b2, c6cbb2b7a2004583f5602a10558e474f}
com/werb/pickphotoview: {com/werb/pickphotoview, 9c15fe81ce314a9bebc4b6b71524fbae}
com/werb/eventbus: {com/werb/eventbus, 38336d0baaa180966737bc5ead79b152}
q3: {q3, d07e7f4cf955f19a843eb035233edc00}
d6: {d6, b23962a93cc15e548efb44e101a311a3}
androidx/cardview/widget: {androidx/cardview/widget, 5059fab39830a23eb89d3be87842f9b8}
l2: {l2, 02303fb47a894228cd95a17b431b06a2}
android/icu/text: {android/icu/text, bbbb85a53439b2cdf98ecbc1953d87d9}
i3: {i3, 8892f83e19c235f74fe7b026a4c11aab}
android/media: {android/media, 701d42cddb1c2c7b68db15f316a36fa7}
androidx/core/graphics: {androidx/core/graphics, 97fdf4fd8259cf4529cb78d03b73e665}
o3: {o3, 2ce56adb6d5b52ef29122880396573c2}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 6b2451f6fc99b25370d45a330bbcfb93}
