androidx/appcompat: {androidx/appcompat, 6e5eef77c86259dfc7787443c14eb122}
coil: {coil, d6cdeb82692767913232e26c3b9816dc}
coil/fetch: {coil/fetch, 9c420cff8e3f3cc43db6940451ffc048}
kotlin/internal: {kotlin/internal, 032cd1c17d037eaa810f66403e13e72a}
androidx/media3/common: {androidx/media3/common, 3b6d74ca689d8260ef3193afcfb9ae5e}
androidx/activity: {androidx/activity, 6e522e91c2824c6f339724c4be66ddca}
kotlin/sequences: {kotlin/sequences, 075d7ee462893eee3d6f0430dbf28381}
androidx/compose/foundation: {androidx/compose/foundation, e0e1f2949a51ff3fc88e3cc6a82f8b75}
androidx/preference: {androidx/preference, 0d377d7093563a3a34825bf6f31c208b}
androidx/media3/datasource: {androidx/media3/datasource, cbaf9027d20dfcb321cc4794729d550c}
kotlinx/serialization: {kotlinx/serialization, 740873004030a3c927dfaac14d4d2982}
kotlin/math: {kotlin/math, 4078a83b5c3e7b5c3d94ce579dd42a43}
androidx/compose/runtime: {androidx/compose/runtime, 6e421720ab2a3c7eb1cfdc420658c158}
kotlin/random: {kotlin/random, c099bbdede865a2d6cb1854ec14706e3}
coil/map: {coil/map, 0eccac382fc0fe328cade464123e33df}
android/telephony: {android/telephony, d5b1091f8787f99bda974cda9593bb64}
com/google/common: {com/google/common, b031300625a86fdfa82cb14fde43f9f0}
android/media: {android/media, e079f4fb8febf5b63effbb6583d13a90}
androidx/palette/graphics: {androidx/palette/graphics, d331ff4ad97d1d8974ba67f7c616f058}
androidx/savedstate: {androidx/savedstate, 5a78e6a98107aebb09518a444e27e60d}
kotlinx/coroutines: {kotlinx/coroutines, 10af99dc5143e0e1d7719df695327039}
androidx/startup: {androidx/startup, 3e65518dc1783a5b4e0396a0c8ec0298}
coil/intercept: {coil/intercept, 5d621dcb4a673861a4cfdba2b9211178}
androidx/compose/ui: {androidx/compose/ui, 3dc4812b60db19854098d4ccc97a4c14}
okhttp3/internal/http1: {[okhttp3/internal/ws, okhttp3/internal/http, okhttp3/internal/connection, okhttp3/internal/concurrent, okhttp3/internal/http1, ], bff2a0792e736ffe985913a7c95fe64a}
androidx/loader/app: {androidx/loader/app, d341c5ec2b48e17156e3d123e609e57e}
coil/drawable: {coil/drawable, 646ff7b67c61f1282b7767f81b0c63f9}
okhttp3/internal: {okhttp3/internal, 5f6df34391ffbb92049d8c24a0b61d16}
coil/compose: {coil/compose, 3359dc74d02d089f738babe4acf878ec}
androidx/lifecycle: {androidx/lifecycle, c430ecf21df9a9ed585f15b0528523e3}
kotlin/enums: {kotlin/enums, 1829a9574b35e701b2ce18bd854706cd}
com/mikepenz/aboutlibraries: {com/mikepenz/aboutlibraries, a331ab87673d0ae9dead10275d94f322}
androidx/compose/animation: {androidx/compose/animation, 244e6862d78d648b95fd109ac9bf111a}
kotlin/reflect: {kotlin/reflect, 8f839394dcda8ef7514b8b0e2f5f9880}
