androidx/appcompat: {androidx/appcompat, 83459e3e0d57e51367b4f2bb16ec8d96}
androidx/arch/core: {androidx/arch/core, 4a92b8dd3eaa0c872fca0e76e2149523}
androidx/room: {androidx/room, 42451f7728e8ce2f6627e40724e7230e}
com/google/errorprone: {com/google/errorprone, 490aec19a7c612fd9bfafffb9dacde26}
androidx/activity: {androidx/activity, 3b84b33cb175a0f22f74c3defa20096c}
androidx/profileinstaller: {androidx/profileinstaller, 29711999080c3b96d677cdc09ec5236b}
androidx/core: {androidx/core, 16a4baccfdc65fba716b3461ee1d2d21}
androidx/datastore: {androidx/datastore, e7e4fb02336d054db08bb4b4b9871cd5}
androidx/palette: {androidx/palette, 72731cb94d67de5171dd25398b3837ef}
androidx/sqlite/db: {androidx/sqlite/db, a989b22d686cdd0dcdbd15079bc5852c}
androidx/lifecycle: {androidx/lifecycle, ffbbc594fec4cc7a82a69d82a4120f51}
androidx/fragment: {androidx/fragment, 9b2e2a571e65774823017f47a72ceadc}
com/hippo/unifile: {com/hippo/unifile, 4f620835bcad65d11050956322276c69}
androidx/navigation: {androidx/navigation, a193ffc175d885948f589c93eb46aa84}
androidx/loader: {androidx/loader, 0bbed9d29534ae7ed9da619fb1999cfd}
androidx/vectordrawable: {androidx/vectordrawable, 561b694ae0fc2efc2b5c7c67e297d0a2}
androidx/recyclerview: {androidx/recyclerview, ba367bb82881e8888055faa17abeec40}
androidx/viewpager: {androidx/viewpager, aa64e458dcf754cd772b4f00497b49af}
com/google/android: {com/google/android, c4343b23f6e5f1e4378a4d880e946f3f}
androidx/interpolator: {androidx/interpolator, 77ee116dbda5d427e46b7a8d165d8c62}
androidx/viewbinding: {androidx/viewbinding, 320e4a218483379fe56d033b368fe113}
androidx/versionedparcelable: {androidx/versionedparcelable, 26e9e5efe27fadca3cd3306f67273eb2}
androidx/constraintlayout/core: {androidx/constraintlayout/core, 5b8223d0ab22bef2c937ba87fd8e8beb}
androidx/coordinatorlayout: {androidx/coordinatorlayout, db776d2c08a6b640621b9c06e709d645}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, 55dd80b10c5de3bb61ffe5f482104a8e}
androidx/collection: {androidx/collection, ba24c088e83ce2bf48f090e01cb42cf7}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, a0f53db5ada4f83be14a92a44d490e4e}
androidx/sqlite/util: {androidx/sqlite/util, 9331e32633ac39f5cbf155a742714c7a}
androidx/transition: {androidx/transition, b4a2d7396a7b8fcb00f872a67872d105}
kotlinx/coroutines/flow: {[kotlinx/coroutines/channels, kotlinx/coroutines/flow, ], 020eb29b524d7ba672d9d48bc72db455}
androidx/cursoradapter: {androidx/cursoradapter, f94378f87942d596e8c1a9057b8e84e0}
androidx/slidingpanelayout: {androidx/slidingpanelayout, 1d1c49cf31372fef3fc46852ea840712}
androidx/cardview: {androidx/cardview, fb0ea7010a6c30eac971283ae7f11e2c}
io/sentry/context: {[io/sentry/context, io/sentry/event, ], 020eb29b524d7ba672d9d48bc72db455}
androidx/drawerlayout: {androidx/drawerlayout, 8dc0f4ab189b966381289a4ca10f9492}
androidx/legacy/coreutils: {androidx/legacy/coreutils, da1c5c0e9e4d4de1ee6852a39fa1fee1}
androidx/media: {androidx/media, b8865f982f4ea7a34653a0a485c9a8ad}
androidx/inspection/work: {androidx/inspection/work, 542dd9699021b2a489ba6c7d8f6e4a23}
dev/rikka/tools: {dev/rikka/tools, c2a659ccf8c6a68db3757cb74f9134d3}
androidx/emoji2: {androidx/emoji2, 040193a9519436f1cfef24e90cd544f7}
androidx/print: {androidx/print, a901bc455e5d2451d493a2c1dcf782ce}
androidx/work: {androidx/work, 3bc2672f0e6b00c4ca1e34b224f0ad99}
com/pluto: {com/pluto, 9f4f3801948c202d2a1a20178d600c53}
com/amrdeveloper/codeview: {com/amrdeveloper/codeview, 3e9b769b97a6108078a4fae5217a12a1}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, eda458fd674f6f8e84cc8876849fb261}
com/google/common: {com/google/common, acf7ef943fdeb3cbfed8dd0d8f584731}
android/media: {android/media, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/resourceinspection/annotation: {androidx/resourceinspection/annotation, a4bd91c515d62e517c2896e81b40cc24}
androidx/viewpager2: {androidx/viewpager2, 4d5860576d10313d308d92a2f8dbb743}
androidx/legacy/content: {androidx/legacy/content, 6aaaf26997950d8416bb1ce1ae77d7aa}
androidx/savedstate: {androidx/savedstate, df7f7e33343aca6a61c5f37c5fe65126}
androidx/documentfile: {androidx/documentfile, 32568abfd09a23174463f1a7e324dc33}
androidx/mediarouter: {androidx/mediarouter, 42e8c69dd8694863665b6e3247e99b61}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, 27ad343df49272c95570410cd9bd7ac2}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, f022e3e3046db3f847a95bb468c240b7}
androidx/preference: {androidx/preference, 8394a50e257eaf46185947deb9b01fe6}
androidx/tracing: {androidx/tracing, 0f887924f48d4afdcf30c8192e4ed459}
fr/bipi/tressence: {fr/bipi/tressence, b3f01f9a6fbb8c5bbaec167f83cd10cd}
org/koin/androidx: {[org/koin/core, org/koin/androidx, ], 020eb29b524d7ba672d9d48bc72db455}
androidx/startup: {androidx/startup, 86fcc9acd3be58c7de92432067895bf4}
com/google/gson: {com/google/gson, 6443640ea5e0ad036026d6226ab8ad45}
androidx/concurrent/futures: {androidx/concurrent/futures, 42e716888089a0fd728d77e729b48cfc}
androidx/customview: {androidx/customview, 8ca1d0d946656e3c0a6bc64c1af410f0}
androidx/window: {androidx/window, 44422283181ab7392efa1133b11e248c}
androidx/annotation: {androidx/annotation, 89bbdc285a7755ef31c2bd010e40f482}
androidx/dynamicanimation: {androidx/dynamicanimation, f0d7ab7b4fade115f47f4355bd247e34}
