androidx/appcompat: {androidx/appcompat, d7feade16c3905db285d240f5bff35b0}
androidx/activity: {androidx/activity, 31fc036c7032accd83485b359d27fa2a}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 1b57215d89a5981a9a52e43c91ad4d96}
androidx/datastore: {androidx/datastore, 32524bc167199d3d98458cd9ee2b9097}
androidx/compose/animation: {androidx/compose/animation, 7991c9aa7295ad2a412080220342e9e9}
androidx/autofill: {androidx/autofill, fab46c12d5878e8e5edadb275bec3b77}
androidx/compose/runtime: {androidx/compose/runtime, 3af56d92f2782ce8e300dd76ec1124bb}
androidx/core: {androidx/core, 924be190875f5394ab7ebd28e0fc6558}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, 8a1efe16c0f677917386354d89c4bfb2}
androidx/collection: {androidx/collection, 05625c6ce6d230ef05e378e4bd17213f}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 69b7f657930c2c802f0dbaa2586b8713}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 9b30215fc84637738348b083f47134a5}
kotlinx/coroutines/flow: {[kotlinx/coroutines/channels, kotlinx/coroutines/flow, ], 020eb29b524d7ba672d9d48bc72db455}
androidx/cursoradapter: {androidx/cursoradapter, f70b0bfe455d900d7aa0350915fdc2be}
androidx/cardview: {androidx/cardview, 66488820fbbf820772dff5461d30fb0b}
androidx/customview: {androidx/customview, 664a1cc7b026d0cf509e0b8c2e1303b7}
androidx/compose/material: {androidx/compose/material, aab3c1dd572e655d90c774a7e61b516c}
androidx/arch/core: {androidx/arch/core, a59cadfb1f89c065a19cfef41c8e88ed}
_COROUTINE: {_COROUTINE, 969e426354e9bf7a21a6f4cc2ba3b6be}
androidx/compose/foundation: {androidx/compose/foundation, d4a28b993a3d29e4a9dbe2e4cf2733b0}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 7ac1377606c9ba98dea2e06476e2473e}
androidx/constraintlayout/solver: {androidx/constraintlayout/solver, 77f0f6ff904be824c481cfffc4e5c0ef}
androidx/concurrent/futures: {androidx/concurrent/futures, ac7a2ac6e9f02e0c14e8bf5d18bcc7a0}
androidx/compose/ui: {androidx/compose/ui, ef5ba4a2060fccf68930fdb9d9a2ee43}
androidx/annotation: {androidx/annotation, 73ed7255db321281be2ca3ca3ef79a27}
com/google/common: {com/google/common, 5c8425f6875234d9c49e1e84f805b81f}
